"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","38.28","42.56","38.20","52.47","53.16","45.31","46.67","49.02","52.83","45.81","38.04","36.47","34.94"
"01200","Arabako Lautada / Llanada Alavesa","39.50","39.48","41.49","44.60","46.56","48.72","48.12","44.66","37.62","35.20","33.78","35.91","33.87"
"01300","Arabako Mendialdea / Montaña Alavesa","21.90","26.60","29.89","29.29","33.70","28.99","29.23","23.97","27.17","22.48","16.77","23.75","17.82"
"48100","Arratia Nerbioi / Arratia-Nervión","29.87","33.18","33.04","37.32","38.59","34.61","34.67","33.78","34.93","28.99","23.95","28.22","28.53"
"20200","Bidasoa Beherea / Bajo Bidasoa","38.13","40.92","40.90","40.04","37.30","40.77","41.46","39.29","37.75","38.58","35.01","37.55","33.30"
"48200","Bilbo Handia / Gran Bilbao","45.85","47.39","49.22","49.03","45.47","45.45","49.74","48.27","45.26","45.51","44.82","43.49","41.93"
"20100","Deba Beherea / Bajo Deba","30.20","33.52","31.44","32.82","33.30","32.45","34.84","27.89","25.31","24.67","24.99","21.41","20.29"
"20300","Debagoiena / Alto Deba","23.13","21.16","23.00","27.28","24.45","27.15","27.22","21.57","21.74","20.89","17.12","17.10","15.54"
"20400","Donostialdea / Donostia-San Sebastián","31.39","32.58","31.14","31.46","32.56","31.89","34.86","33.14","29.51","29.99","25.41","25.94","24.62"
"48300","Durangaldea / Duranguesado","27.39","29.84","32.68","33.93","34.21","34.68","32.60","39.87","34.37","33.37","31.21","28.45","30.71"
"48400","Enkartazioak / Encartaciones","33.01","37.00","34.40","34.79","34.35","32.70","35.15","31.87","32.28","32.75","34.08","30.72","28.51"
"01400","Errioxa Arabarra / Rioja Alavesa","30.70","42.61","39.51","40.39","39.86","34.27","40.45","40.60","35.37","34.14","32.44","28.43","28.09"
"48500","Gernika-Bermeo","40.73","40.12","41.30","39.65","40.34","38.95","42.95","42.12","36.79","32.79","31.60","29.53","29.13"
"20500","Goierri","38.07","33.51","34.38","38.70","35.96","35.33","32.35","30.32","26.29","26.36","23.56","19.88","20.95"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","39.66","39.05","37.69","44.38","49.87","53.32","50.46","52.43","49.35","51.45","46.04","53.28","53.76"
"01600","Kantauri Arabarra / Cantábrica Alavesa","27.20","28.27","28.67","29.45","30.03","24.98","28.40","28.70","26.69","27.58","23.31","30.97","30.65"
"48600","Markina-Ondarroa","29.77","27.80","24.47","24.03","25.46","26.47","30.46","26.48","24.66","19.90","18.26","17.10","19.14"
"48700","Plentzia-Mungia","35.53","40.94","41.05","40.52","43.67","44.55","42.18","42.71","43.30","36.84","41.71","36.79","42.57"
"20600","Tolosaldea / Tolosa","41.36","42.45","40.89","40.05","35.72","36.83","37.76","36.07","32.68","29.39","25.11","26.68","26.77"
"20700","Urola-Kostaldea / Urola Costa","25.94","27.94","29.38","32.64","29.58","33.54","35.55","28.31","23.81","25.61","26.29","24.85","23.27"
