"Lurralde kodea","Lurralde","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","62.86","62.40","56.38","56.15","73.70","71.95","64.52","69.94","65.88"
"01200","Arabako Lautada / Llanada Alavesa","47.45","49.64","50.36","50.37","56.62","56.40","54.32","57.99","58.65"
"01300","Arabako Mendialdea / Montaña Alavesa","61.39","60.96","62.05","61.10","64.97","52.75","53.43","52.63","9.09"
"48100","Arratia Nerbioi / Arratia-Nervión","61.28","62.73","63.42","63.66","72.07","60.25","44.17","44.18","39.11"
"20200","Bidasoa Beherea / Bajo Bidasoa","32.02","32.81","32.27","31.00","31.51","32.24","33.59","34.34","34.45"
"48200","Bilbo Handia / Gran Bilbao","44.13","44.83","45.23","42.19","42.90","38.23","33.43","31.60","30.65"
"20100","Deba Beherea / Bajo Deba","31.91","33.04","33.62","32.97","33.82","35.09","36.13","37.66","37.27"
"20300","Debagoiena / Alto Deba","42.80","43.99","46.77","33.87","33.89","34.99","34.97","36.06","36.10"
"20400","Donostialdea / Donostia-San Sebastián","45.38","47.28","48.57","48.00","49.06","48.92","46.33","45.87","42.31"
"48300","Durangaldea / Duranguesado","40.81","36.02","36.78","29.54","29.96","30.27","26.48","20.64","19.93"
"48400","Enkartazioak / Encartaciones","86.50","88.61","91.04","76.75","82.04","76.41","74.36","70.93","75.40"
"01400","Errioxa Arabarra / Rioja Alavesa","43.15","43.00","55.46","56.00","66.58","66.61","62.08","65.85","65.50"
"48500","Gernika-Bermeo","59.79","58.22","52.88","55.31","54.66","50.56","49.80","49.95","47.51"
"20500","Goierri","38.83","39.50","40.52","39.87","33.64","25.25","24.60","25.48","24.82"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","142.75","139.52","75.82","76.37","80.29","79.55","72.99","75.39","75.52"
"01600","Kantauri Arabarra / Cantábrica Alavesa","31.41","32.13","33.17","33.87","35.24","36.09","33.90","34.22","32.03"
"48600","Markina-Ondarroa","43.76","44.11","32.02","32.40","32.11","32.18","32.47","30.12","29.99"
"48700","Plentzia-Mungia","87.40","91.64","94.20","96.72","99.33","101.45","101.33","102.92","103.47"
"20600","Tolosaldea / Tolosa","46.24","44.94","41.53","41.21","43.10","43.94","51.29","52.75","51.99"
"20700","Urola-Kostaldea / Urola Costa","44.01","44.03","44.43","33.27","34.22","29.12","28.64","28.86","29.47"
