"Lurralde kodea","Lurralde","2009","2008","2007"
"01100","Arabako Ibarrak / Valles Alaveses","0.00",NA,NA
"01200","Arabako Lautada / Llanada Alavesa","16.91",NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","0.00",NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","0.00",NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","36.31",NA,NA
"48200","Bilbo Handia / Gran Bilbao","23.71",NA,NA
"20100","Deba Beherea / Bajo Deba","23.67",NA,NA
"20300","Debagoiena / Alto Deba","10.40",NA,NA
"20400","Donostialdea / Donostia-San Sebastián","27.75",NA,NA
"48300","Durangaldea / Duranguesado","17.67",NA,NA
"48400","Enkartazioak / Encartaciones","20.88",NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","0.00",NA,NA
"48500","Gernika-Bermeo","10.51",NA,NA
"20500","Goierri","32.03",NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","351.92",NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","9.86",NA,NA
"48600","Markina-Ondarroa","37.03",NA,NA
"48700","Plentzia-Mungia","3.78",NA,NA
"20600","Tolosaldea / Tolosa","24.29",NA,NA
"20700","Urola-Kostaldea / Urola Costa","24.67",NA,NA
