"Lurralde kodea","Lurralde","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","20.79","21.79","18.28","18.87","19.66","15.06"
"01200","Arabako Lautada / Llanada Alavesa","6.75","6.44","6.08","5.00","4.04","2.62"
"01300","Arabako Mendialdea / Montaña Alavesa","0.00","0.00","0.00","0.00","0.00","0.00"
"48100","Arratia Nerbioi / Arratia-Nervión","8.49","8.88","7.12","6.69","3.77","2.60"
"20200","Bidasoa Beherea / Bajo Bidasoa","2.33","2.26","1.93","1.72","1.39","0.86"
"48200","Bilbo Handia / Gran Bilbao","5.86","5.54","5.14","4.47","3.63","2.66"
"20100","Deba Beherea / Bajo Deba","7.93","7.65","6.72","5.72","3.32","2.68"
"20300","Debagoiena / Alto Deba","11.43","10.59","10.58","9.04","7.51","5.97"
"20400","Donostialdea / Donostia-San Sebastián","3.99","3.60","3.34","3.01","2.55","2.16"
"48300","Durangaldea / Duranguesado","10.01","9.37","8.37","7.52","6.28","4.76"
"48400","Enkartazioak / Encartaciones","3.96","3.70","2.56","2.22","2.34","1.92"
"01400","Errioxa Arabarra / Rioja Alavesa","8.32","7.71","6.65","6.20","5.56","3.98"
"48500","Gernika-Bermeo","3.80","4.01","3.59","2.77","2.48","2.55"
"20500","Goierri","6.57","6.51","6.47","5.80","5.69","4.75"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","23.03","23.17","21.96","15.50","10.61","2.74"
"01600","Kantauri Arabarra / Cantábrica Alavesa","10.32","9.70","9.84","6.79","3.71","3.29"
"48600","Markina-Ondarroa","5.45","4.57","4.88","3.29","3.39","2.27"
"48700","Plentzia-Mungia","6.53","5.59","5.23","4.93","3.98","2.23"
"20600","Tolosaldea / Tolosa","6.11","5.69","5.66","4.97","4.37","2.19"
"20700","Urola-Kostaldea / Urola Costa","6.01","5.85","5.47","5.29","4.38","2.89"
