"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009"
"01100","Arabako Ibarrak / Valles Alaveses","29.94","29.07","28.79","29.03","30.21","28.78","27.94"
"01200","Arabako Lautada / Llanada Alavesa","46.04","45.12","44.62","44.76","44.71","44.33","44.11"
"01300","Arabako Mendialdea / Montaña Alavesa","36.36","36.19","34.66","34.32","34.08","33.25","34.02"
"48100","Arratia Nerbioi / Arratia-Nervión","43.16","42.13","40.82","41.19","41.68","39.34","39.11"
"20200","Bidasoa Beherea / Bajo Bidasoa","41.31","40.27","39.55","39.21","39.49","38.76","38.47"
"48200","Bilbo Handia / Gran Bilbao","41.17","40.35","39.51","39.77","39.15","38.18","37.85"
"20100","Deba Beherea / Bajo Deba","41.94","40.99","39.85","39.98","41.04","39.81","39.58"
"20300","Debagoiena / Alto Deba","46.06","45.47","45.49","45.62","47.16","46.71","46.25"
"20400","Donostialdea / Donostia-San Sebastián","45.45","44.35","43.65","43.66","43.35","42.46","42.52"
"48300","Durangaldea / Duranguesado","44.92","43.49","42.54","42.89","43.68","42.43","41.49"
"48400","Enkartazioak / Encartaciones","37.41","36.63","35.51","35.44","36.29","35.20","34.66"
"01400","Errioxa Arabarra / Rioja Alavesa","31.26","30.41","29.79","30.24","34.72","33.21","33.03"
"48500","Gernika-Bermeo","41.35","40.35","39.61","39.78","40.52","38.47","37.88"
"20500","Goierri","43.36","42.20","41.18","40.74","42.09","40.01","39.47"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","48.97","47.89","47.32","46.73","45.40","43.06","41.50"
"01600","Kantauri Arabarra / Cantábrica Alavesa","42.14","41.09","40.72","40.86","41.84","39.52","39.61"
"48600","Markina-Ondarroa","42.08","41.51","39.63","39.01","40.71","38.68","38.73"
"48700","Plentzia-Mungia","45.81","44.25","43.39","43.18","42.33","41.17","40.34"
"20600","Tolosaldea / Tolosa","47.11","45.58","44.68","44.45","45.42","44.22","43.98"
"20700","Urola-Kostaldea / Urola Costa","44.23","42.93","41.93","42.13","42.96","40.70","40.52"
