"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011"
"01100","Arabako Ibarrak / Valles Alaveses","40.04","40.67","40.90","41.51","42.35"
"01200","Arabako Lautada / Llanada Alavesa","31.67","31.77","32.54","32.93","33.68"
"01300","Arabako Mendialdea / Montaña Alavesa","45.18","47.20","49.92","49.92","49.93"
"48100","Arratia Nerbioi / Arratia-Nervión","32.53","32.79","33.62","34.23","35.43"
"20200","Bidasoa Beherea / Bajo Bidasoa","28.86","28.26","28.49","29.06","29.61"
"48200","Bilbo Handia / Gran Bilbao","24.07","24.12","24.43","25.01","25.98"
"20100","Deba Beherea / Bajo Deba","39.01","39.45","40.07","40.57","41.09"
"20300","Debagoiena / Alto Deba","37.44","37.52","38.26","38.98","39.82"
"20400","Donostialdea / Donostia-San Sebastián","26.51","26.32","26.28","26.65","27.43"
"48300","Durangaldea / Duranguesado","38.12","38.82","39.18","39.96","40.74"
"48400","Enkartazioak / Encartaciones","31.18","31.05","31.35","32.00","33.57"
"01400","Errioxa Arabarra / Rioja Alavesa","27.86","30.06","29.65","27.67","21.52"
"48500","Gernika-Bermeo","26.74","26.53","26.67","27.34","27.87"
"20500","Goierri","40.70","40.62","41.38","41.83","42.80"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","29.81","31.64","31.71","32.10","32.20"
"01600","Kantauri Arabarra / Cantábrica Alavesa","38.04","39.04","39.83","41.10","41.98"
"48600","Markina-Ondarroa","33.13","33.58","32.78","34.40","34.89"
"48700","Plentzia-Mungia","21.99","22.61","22.80","23.13","24.03"
"20600","Tolosaldea / Tolosa","37.35","37.45","38.02","38.54","38.92"
"20700","Urola-Kostaldea / Urola Costa","35.71","35.79","36.83","37.78","38.90"
