"Lurralde kodea","Lurralde","2015","2014","2013","2012"
"01100","Arabako Ibarrak / Valles Alaveses","5.96","6.05","6.35","6.49"
"01200","Arabako Lautada / Llanada Alavesa","4.26","4.39","4.52","5.11"
"01300","Arabako Mendialdea / Montaña Alavesa","6.30","6.53","7.05","8.23"
"48100","Arratia Nerbioi / Arratia-Nervión","5.43","5.57","5.63","6.16"
"20200","Bidasoa Beherea / Bajo Bidasoa","6.22","6.29","6.51","6.72"
"48200","Bilbo Handia / Gran Bilbao","6.16","6.15","6.27","6.83"
"20100","Deba Beherea / Bajo Deba","4.19","4.26","4.32","4.56"
"20300","Debagoiena / Alto Deba","3.33","3.40","3.36","3.77"
"20400","Donostialdea / Donostia-San Sebastián","5.53","5.68","5.76","6.02"
"48300","Durangaldea / Duranguesado","4.36","4.55","4.63","4.94"
"48400","Enkartazioak / Encartaciones","6.86","6.95","7.06","7.64"
"01400","Errioxa Arabarra / Rioja Alavesa","4.18","4.13","4.55","4.93"
"48500","Gernika-Bermeo","5.99","6.12","6.30","6.99"
"20500","Goierri","5.57","5.61","5.93","6.27"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","4.68","4.76","5.34","5.56"
"01600","Kantauri Arabarra / Cantábrica Alavesa","5.04","5.21","5.34","6.05"
"48600","Markina-Ondarroa","4.18","4.43","4.60","5.04"
"48700","Plentzia-Mungia","5.12","5.24","5.32","5.83"
"20600","Tolosaldea / Tolosa","6.00","6.32","6.50","7.13"
"20700","Urola-Kostaldea / Urola Costa","6.08","6.28","6.39","6.78"
