"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"01100","Arabako Ibarrak / Valles Alaveses","8.03","9.12","9.14","8.11","10.34","15.13","14.15","14.85","13.39","13.80","13.32","11.86","11.80","11.75","11.14","10.25","9.68"
"01200","Arabako Lautada / Llanada Alavesa","10.59","10.93","11.21","11.81","12.60","14.10","14.88","16.24","14.91","14.56","13.95","13.15","12.65","12.62","12.60","12.31","11.73"
"01300","Arabako Mendialdea / Montaña Alavesa","10.24","10.08","9.21","9.34","10.88","18.39","18.60","20.82","20.97","20.37","19.77","19.05","18.73","19.14","18.37","18.45","17.30"
"48100","Arratia Nerbioi / Arratia-Nervión","11.66","11.80","11.61","12.10","13.44","16.91","17.93","18.33","15.54","14.27","13.77","12.95","13.39","12.63","11.96","11.20","10.50"
"20200","Bidasoa Beherea / Bajo Bidasoa","14.52","14.68","14.89","15.36","16.05","16.61","17.78","19.32","18.16","18.10","17.24","17.19","16.93","16.71","16.21","15.73","14.36"
"48200","Bilbo Handia / Gran Bilbao","11.51","11.62","11.72","12.07","12.67","13.31","14.01","14.91","13.79","13.16","12.87","12.37","12.19","11.87","11.52","11.15","10.29"
"20100","Deba Beherea / Bajo Deba","9.08","8.68","8.87","9.57","10.41","11.35","11.96","12.62","11.54","11.31","11.37","10.94","10.81","10.95","11.06","10.79","10.03"
"20300","Debagoiena / Alto Deba","11.09","11.01","11.29","11.88","13.34","14.73","15.21","16.10","13.84","13.92","13.84","13.49","13.30","13.38","13.62","13.57","13.15"
"20400","Donostialdea / Donostia-San Sebastián","11.88","12.05","12.47","13.13","13.77","14.48","15.39","16.72","15.63","15.92","15.65","15.39","15.13","14.93","14.76","14.21","13.01"
"48300","Durangaldea / Duranguesado","12.28","12.33","12.29","12.91","13.85","14.94","15.49","16.38","14.92","12.66","12.30","11.94","11.68","11.74","11.45","10.84","10.31"
"48400","Enkartazioak / Encartaciones","11.98","12.10","11.81","12.73","13.81","17.08","17.65","18.96","17.96","16.56","15.74","14.58","14.86","14.53","14.26","13.83","12.32"
"01400","Errioxa Arabarra / Rioja Alavesa","6.57","6.83","7.33","7.53","8.60","14.21","15.14","16.02","13.17","13.52","12.92","11.93","10.95","12.51","12.15","10.92","10.34"
"48500","Gernika-Bermeo","14.43","13.90","14.17","14.34","16.06","18.10","19.20","20.99","19.98","17.59","17.13","15.80","16.22","15.70","15.28","15.18","13.79"
"20500","Goierri","14.81","14.47","15.33","16.26","17.56","18.40","19.40","21.50","20.10","15.52","15.10","14.58","14.74","14.75","14.42","14.78","14.00"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","9.27","9.48","9.26","8.79","9.45","11.31","12.39","13.23","12.73","11.22","10.08","9.69","9.55","9.30","11.76","11.72","12.14"
"01600","Kantauri Arabarra / Cantábrica Alavesa","11.46","11.59","11.57","11.91","12.43","14.70","15.58","16.64","16.06","15.26","14.90","15.11","14.64","14.84","15.38","15.31","14.39"
"48600","Markina-Ondarroa","10.56","10.57","10.38","11.32","11.54","13.63","14.55","14.30","12.92","12.29","11.88","11.18","10.84","10.84","11.65","11.67","11.16"
"48700","Plentzia-Mungia","10.57","11.08","11.76","12.36","12.45","13.49","14.23","15.18","14.21","13.84","13.04","12.77","12.96","13.41","12.85","12.24","11.30"
"20600","Tolosaldea / Tolosa","12.20","12.53","12.67","13.38","13.69","15.64","16.88","17.78","16.36","16.93","16.87","16.05","16.14","16.40","16.20","15.98","14.96"
"20700","Urola-Kostaldea / Urola Costa","11.32","11.68","12.05","12.21","13.06","15.58","16.28","16.97","15.33","15.16","14.93","14.50","14.43","14.16","13.68","13.56","12.91"
