"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007"
"01100","Arabako Ibarrak / Valles Alaveses","2.75","2.75","2.62","2.61","2.54","2.54","2.56","2.53","2.52","2.53"
"01200","Arabako Lautada / Llanada Alavesa","11.35","11.34","11.35","11.29","12.04","11.91","12.15","12.00","11.96","11.82"
"01300","Arabako Mendialdea / Montaña Alavesa","2.71","2.71","2.71","2.73","2.68","2.68","2.69","2.70","2.70","2.70"
"48100","Arratia Nerbioi / Arratia-Nervión","2.91","2.91","2.91","2.89","2.88","2.87","2.82","2.78","2.77","2.76"
"20200","Bidasoa Beherea / Bajo Bidasoa","20.84","20.24","20.44","20.23","19.66","20.86","21.65","21.49","21.31","21.18"
"48200","Bilbo Handia / Gran Bilbao","30.25","29.93","29.95","30.24","30.90","31.02","32.19","30.65","30.49","30.16"
"20100","Deba Beherea / Bajo Deba","4.84","4.88","4.88","4.82","5.00","5.00","5.14","5.14","5.02","4.55"
"20300","Debagoiena / Alto Deba","4.77","4.77","4.77","4.61","4.52","4.64","4.67","4.60","4.51","4.45"
"20400","Donostialdea / Donostia-San Sebastián","16.15","16.43","16.43","16.10","15.91","15.61","15.00","15.13","14.89","14.23"
"48300","Durangaldea / Duranguesado","7.58","7.56","7.56","7.34","7.41","7.28","7.26","7.24","7.27","7.13"
"48400","Enkartazioak / Encartaciones","2.62","2.64","2.63","2.55","3.12","3.12","3.10","3.09","3.08","3.11"
"01400","Errioxa Arabarra / Rioja Alavesa","3.77","3.77","3.77","3.76","3.90","3.66","3.63","3.65","3.65","3.65"
"48500","Gernika-Bermeo","4.01","3.96","3.68","3.67","3.79","3.72","3.73","3.51","3.51","3.51"
"20500","Goierri","4.34","4.28","4.28","4.24","4.29","4.19","4.23","4.23","4.15","4.14"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","3.52","3.54","3.52","3.38","3.30","3.37","3.37","3.36","3.38","3.38"
"01600","Kantauri Arabarra / Cantábrica Alavesa","3.70","3.71","3.70","3.69","3.70","3.62","3.62","3.57","3.57","3.81"
"48600","Markina-Ondarroa","2.91","2.91","2.92","3.08","3.13","3.12","3.14","3.05","2.90","2.87"
"48700","Plentzia-Mungia","11.31","11.00","10.99","11.22","10.96","10.85","11.21","11.11","11.14","11.06"
"20600","Tolosaldea / Tolosa","3.28","3.27","3.26","3.17","3.22","3.22","3.20","3.30","3.28","3.22"
"20700","Urola-Kostaldea / Urola Costa","4.76","4.76","4.75","4.62","4.75","4.81","4.97","4.97","4.80","4.52"
