"Lurralde kodea","Lurralde","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","349.59","348.61","332.71","353.52","362.58","96.36","117.45","126.90","124.21","114.76","13.95","15.52"
"01200","Arabako Lautada / Llanada Alavesa","430.40","471.31","518.28","533.05","580.30","395.88","228.94","183.32","181.61","174.04","189.10","184.29"
"01300","Arabako Mendialdea / Montaña Alavesa","149.79","157.45","190.17","153.83","248.42","37.99","56.17","51.66","61.04","84.78","139.57","62.89"
"48100","Arratia Nerbioi / Arratia-Nervión","242.57","274.05","293.40","314.69","379.56","387.49","397.20","408.61","458.02","536.32","365.86","172.31"
"20200","Bidasoa Beherea / Bajo Bidasoa","402.14","437.90","483.23","539.91","531.97","665.01","504.07","400.97","313.49","225.57","249.69","109.77"
"48200","Bilbo Handia / Gran Bilbao","124.38","132.92","144.56","148.35","106.28","138.98","128.24","141.80","172.98","189.03","204.82","203.26"
"20100","Deba Beherea / Bajo Deba","248.13","282.41","285.60","304.36","269.59","429.37","340.26","329.34","351.41","330.09","350.93","382.52"
"20300","Debagoiena / Alto Deba","416.23","473.02","541.03","627.38","404.33","622.28","479.86","486.80","520.61","490.93","438.43","467.22"
"20400","Donostialdea / Donostia-San Sebastián","363.50","414.65","360.84","431.85","443.18","593.44","454.00","366.88","378.95","419.39","429.51","464.14"
"48300","Durangaldea / Duranguesado","220.03","233.72","271.19","301.54","231.31","238.55","245.75","256.53","234.85","197.22","182.44","190.15"
"48400","Enkartazioak / Encartaciones","135.24","191.19","224.13","220.58","150.35","129.49","119.80","144.53","164.33","148.49","183.75","196.20"
"01400","Errioxa Arabarra / Rioja Alavesa","466.10","549.67","560.23","632.74","754.63","740.24","648.69","608.01","643.18","659.87","556.47","586.24"
"48500","Gernika-Bermeo","280.19","310.85","214.75","214.65","270.71","225.34","219.07","161.32","170.88","135.75","152.95","175.98"
"20500","Goierri","238.23","261.54","351.76","239.57","274.33","420.76","377.87","319.38","359.04","321.26","278.33","309.95"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","33.41","46.48","52.79","57.14","120.39","133.86","25.10","36.24","47.57","72.50","67.25","86.19"
"01600","Kantauri Arabarra / Cantábrica Alavesa","33.99","45.97","58.04","70.07","87.54","100.74","113.51","117.99","133.53","152.80","165.17","122.63"
"48600","Markina-Ondarroa","236.90","297.85","351.22","375.42","370.26","356.35","345.19","334.46","306.36","298.45","258.50","173.81"
"48700","Plentzia-Mungia","155.69","176.94","212.00","146.27","178.77","172.09","171.11","62.80","57.77","47.46","58.87","39.00"
"20600","Tolosaldea / Tolosa","458.14","486.45","535.73","571.42","539.44","666.08","594.66","595.81","512.62","347.93","313.70","243.72"
"20700","Urola-Kostaldea / Urola Costa","371.26","426.75","669.36","560.27","612.61","736.76","541.75","382.53","400.63","463.63","494.45","571.98"
