"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"01100","Arabako Ibarrak / Valles Alaveses","-1.15","-1.20","0.37","-1.05","0.28","0.24","3.45","1.11","1.23","3.25","1.21","2.81",NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","0.29","0.72","0.27","-0.31","1.16","0.59","1.19","1.51","1.48","1.03","0.65","1.36",NA,NA,NA
"01300","Arabako Mendialdea / Montaña Alavesa","-0.94","-1.65","-2.94","-1.79","0.41","-0.35","-0.16","0.28","0.32","0.41","-0.57","0.76",NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervión","-0.09","-0.17","0.07","0.41","0.75","1.17","0.66","1.13","1.80","1.35","1.06","0.99",NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","0.17","0.43","0.23","0.37","0.15","0.13","-0.01","0.23","0.77","0.40","1.17","1.10",NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","-0.18","-0.39","-0.49","-0.31","-0.01","0.01","-0.07","0.39","0.18","-0.14","0.12","0.09",NA,NA,NA
"20100","Deba Beherea / Bajo Deba","0.01","0.17","0.10","0.32","0.54","0.22","0.15","0.24","0.80","0.45","-0.11","-0.20",NA,NA,NA
"20300","Debagoiena / Alto Deba","-0.07","-0.14","0.34","0.41","0.69","0.09","-0.10","0.34","0.12","-0.03","-0.13","-0.25",NA,NA,NA
"20400","Donostialdea / Donostia-San Sebastián","0.18","0.15","0.09","0.12","0.16","0.37","0.19","0.67","0.63","0.24","0.28","0.16",NA,NA,NA
"48300","Durangaldea / Duranguesado","0.16","0.17","-0.17","0.24","1.05","0.41","0.28","0.90","1.13","0.93","0.85","0.67",NA,NA,NA
"48400","Enkartazioak / Encartaciones","-0.42","0.00","-0.15","0.24","1.38","0.95","0.79","0.92","1.09","0.88","0.42","0.45",NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","-0.98","0.10","-0.11","-1.18","0.26","0.34","0.65","0.04","1.80","2.37","1.27","2.61",NA,NA,NA
"48500","Gernika-Bermeo","-0.09","-0.35","-0.56","-0.01","0.73","0.56","0.40","0.48","0.69","0.50","0.51","0.82",NA,NA,NA
"20500","Goierri","-0.11","0.11","-0.05","-0.08","0.25","0.19","0.38","0.71","2.33","1.20","0.69","0.58",NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","-0.21","0.61","-1.07","-1.01","1.60","1.94","1.55","1.91","1.41","4.04","1.52","2.95",NA,NA,NA
"01600","Kantauri Arabarra / Cantábrica Alavesa","-0.13","-0.28","0.02","0.05","0.47","0.45","0.47","0.64","0.52","0.84","0.35","0.54",NA,NA,NA
"48600","Markina-Ondarroa","-0.28","-0.63","-0.63","-0.59","0.06","-0.08","-0.43","0.58","0.96","0.37","0.38","-0.06",NA,NA,NA
"48700","Plentzia-Mungia","0.80","0.75","0.68","0.89","1.44","1.43","1.81","2.01","2.05","2.13","2.35","2.63",NA,NA,NA
"20600","Tolosaldea / Tolosa","0.20","0.42","0.20","0.83","0.97","0.49","0.56","1.05","1.15","0.48","0.94","0.20",NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","0.38","0.78","0.72","0.36","0.68","0.70","0.57","1.42","1.31","1.09","1.01","0.98",NA,NA,NA
