"Lurralde kodea","Lurralde","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"01100","Arabako Ibarrak / Valles Alaveses","13.69","13.80","14.10","13.79","13.06","13.04","13.04","12.19","11.49","10.62","10.40","9.64","9.43","8.83"
"01200","Arabako Lautada / Llanada Alavesa","14.95","14.80","14.56","14.36","14.12","13.83","13.49","13.22","12.96","12.75","12.56","12.37","12.27","12.23"
"01300","Arabako Mendialdea / Montaña Alavesa","11.27","11.07","11.02","11.14","10.72","9.63","9.34","8.79","8.41","8.18","7.65","7.41","7.37","7.24"
"48100","Arratia Nerbioi / Arratia-Nervión","15.24","15.09","15.11","14.92","14.61","14.15","13.70","13.20","12.85","12.49","12.35","12.11","11.98","11.86"
"20200","Bidasoa Beherea / Bajo Bidasoa","14.78","14.86","14.88","14.93","14.81","14.77","14.58","14.28","14.15","14.01","13.84","13.64","13.31","12.98"
"48200","Bilbo Handia / Gran Bilbao","12.86","12.88","12.82","12.76","12.64","12.48","12.28","12.07","11.89","11.73","11.53","11.34","11.23","11.16"
"20100","Deba Beherea / Bajo Deba","14.81","14.73","14.34","14.07","13.65","13.23","12.78","12.41","12.11","11.76","11.42","11.28","11.19","10.99"
"20300","Debagoiena / Alto Deba","14.62","14.44","14.32","14.04","13.87","13.66","13.20","12.87","12.65","12.43","12.09","11.88","11.80","11.69"
"20400","Donostialdea / Donostia-San Sebastián","13.74","13.75","13.78","13.77","13.75","13.65","13.49","13.29","13.13","12.96","12.77","12.59","12.46","12.27"
"48300","Durangaldea / Duranguesado","15.08","15.07","14.87","14.74","14.56","14.27","14.01","13.78","13.45","13.19","12.90","12.66","12.48","12.39"
"48400","Enkartazioak / Encartaciones","13.82","13.73","13.47","13.35","12.86","12.54","12.24","11.90","11.64","11.25","11.07","10.87","10.72","10.70"
"01400","Errioxa Arabarra / Rioja Alavesa","16.07","15.97","15.95","15.53","15.36","14.97","14.38","13.70","13.62","13.38","12.90","12.44","12.42","12.00"
"48500","Gernika-Bermeo","14.07","13.85","13.73","13.62","13.46","13.08","12.80","12.42","12.19","11.92","11.66","11.45","11.22","10.93"
"20500","Goierri","15.91","15.86","15.72","15.65","15.47","15.19","14.85","14.49","14.08","13.72","13.30","13.09","12.88","12.74"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","16.49","16.72","16.90","17.16","17.18","16.69","16.54","16.26","16.03","15.63","15.13","14.84","14.31","13.96"
"01600","Kantauri Arabarra / Cantábrica Alavesa","14.02","13.80","13.63","13.36","13.16","12.86","12.57","12.26","11.96","11.77","11.63","11.51","11.43","11.42"
"48600","Markina-Ondarroa","13.47","13.48","13.50","13.27","13.04","12.83","12.61","12.26","12.04","11.92","11.80","11.44","11.21","11.32"
"48700","Plentzia-Mungia","16.76","16.63","16.54","16.47","16.29","16.17","15.90","15.62","15.41","15.11","14.75","14.46","14.26","14.27"
"20600","Tolosaldea / Tolosa","16.68","16.69","16.62","16.48","16.32","15.99","15.64","15.30","14.99","14.70","14.39","14.09","13.83","13.68"
"20700","Urola-Kostaldea / Urola Costa","16.68","16.70","16.69","16.61","16.50","16.27","16.09","15.77","15.43","15.26","15.15","14.96","14.83","14.71"
