"Lurralde kodea","Lurralde","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","88393.65","87381.21","86331.36","86648.20","85734.22","85972.08","86181.30","89156.79","90145.45","91257.13","95216.84"
"01200","Arabako Lautada / Llanada Alavesa","1327.50","1331.31","1340.93","1344.37","1340.09","1355.64","1363.64","1379.82","1400.62","1421.34","1434.62"
"01300","Arabako Mendialdea / Montaña Alavesa","20.31","20.79","20.45","19.85","18.55","18.62","18.56","18.28","2.58","2.59","1.33"
"48100","Arratia Nerbioi / Arratia-Nervión","5.46","5.41","4.14","4.15","4.16","4.20","2.10","1.92","1.94","1.98","0.33"
"20200","Bidasoa Beherea / Bajo Bidasoa","0.13","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.20"
"48200","Bilbo Handia / Gran Bilbao","116.05","115.85","115.40","114.70","114.34","114.30","114.31","114.19","114.64","114.84","114.66"
"20100","Deba Beherea / Bajo Deba","1.26","1.26","1.26","0.72","0.72","0.73","0.73","0.72","0.72","0.62","0.67"
"20300","Debagoiena / Alto Deba","3931.71","3928.92","3923.42","3936.71","3952.68","3980.00","3983.41","3979.56","3993.16","3998.15","3996.92"
"20400","Donostialdea / Donostia-San Sebastián","1.13","1.13","1.11","1.03","0.88","0.88","0.57","0.57","0.58","0.58","0.26"
"48300","Durangaldea / Duranguesado","2764.96","2769.49","2773.34","2768.44","2774.99","2803.53","2815.02","2822.87","2848.14","2880.41","2725.18"
"48400","Enkartazioak / Encartaciones","0.31","0.31","0.31","0.31","0.31","0.31","0.32","0.32","0.32","0.33","0.40"
"01400","Errioxa Arabarra / Rioja Alavesa","24.15","24.17","24.20","19.39","19.16","1.67","1.67","1.64","1.29","1.31","0.05"
"48500","Gernika-Bermeo","2.17","2.25","1.38","1.37","1.37","0.73","0.74","0.74","0.74","0.75","0.84"
"20500","Goierri","2.35","2.37","0.97","0.97","0.97","0.91","0.91","0.91","0.92","0.94","7.16"
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","1.15","1.27","1.27","1.26","1.25","1.27","1.29","1.31","0.85","0.86","2.25"
"01600","Kantauri Arabarra / Cantábrica Alavesa","1.74","1.62","1.62","1.62","1.62","1.63","1.64","1.64","0.76","0.76","0.93"
"48600","Markina-Ondarroa","2615.67","2608.52","2592.22","2575.82","2560.50","2562.04","2560.11","2549.18","2563.88","2588.57","0.00"
"48700","Plentzia-Mungia","1.75","1.83","1.85","1.86","1.80","1.83","1.78","1.24","1.27","1.22","1.00"
"20600","Tolosaldea / Tolosa","1.84","1.86","1.21","1.22","0.19","0.00","0.00","0.00","0.00","0.00","0.09"
"20700","Urola-Kostaldea / Urola Costa","0.27","0.24","0.24","0.24","0.24","0.19","0.19","0.19","0.20","0.20","0.12"
