"Udalerri kodea","Udalerria","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20001","Abaltzisketa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","25.82","26.39","26.40","26.44","26.40","0.00","0.00","0.00","0.00"
"20002","Aduna","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20016","Aia","0.00","0.00","13.20","13.07","12.94","12.78","13.11","0.00","0.00"
"20003","Aizarnazabal","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48911","Ajangiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20004","Albiztur","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20005","Alegia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01001","Alegría-Dulantzi","38.02","39.37","41.32","44.64","49.02","49.26","52.63","56.82","57.47"
"20006","Alkiza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48912","Alonsotegi","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20007","Altzo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20008","Amezketa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48003","Amorebieta-Etxano","12.22","12.73","13.03","13.25","10.44","10.69","10.46","10.66","10.76"
"48004","Amoroto","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01002","Amurrio","8.10","8.33","8.54","8.79","8.94","9.16","9.26","9.31","9.43"
"20009","Andoain","11.74","12.23","12.72","13.03","13.46","13.70","9.30","9.51","9.64"
"20010","Anoeta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20011","Antzuola","47.86","49.87","50.80","52.20","0.00","0.00","0.00","0.00","0.00"
"48005","Arakaldo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","34.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48006","Arantzazu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48093","Areatza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20013","Aretxabaleta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01006","Armiñón","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01037","Arraia-Maeztu","44.44","45.71","59.17","57.47","0.00","0.00","0.00","0.00","0.00"
"48009","Arrankudiaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20055","Arrasate/Mondragón","7.24","7.43","7.60","7.83","7.99","6.84","6.94","8.18","8.27"
"48914","Arratzu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01008","Arratzua-Ubarrundia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48010","Arrieta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48011","Arrigorriaga","27.04","27.62","43.13","14.54","14.76","14.82","14.87","15.22","14.92"
"48023","Artea","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48008","Artzentales","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01004","Artziniega","36.36","36.50","37.31","38.61","39.06","39.68","41.49","42.37","43.48"
"01009","Asparrena","31.95","31.35","31.45","31.55","30.21","29.15","0.00","0.00","0.00"
"20014","Asteasu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20903","Astigarraga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20015","Ataun","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48091","Atxondo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48070","Aulesti","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01010","Ayala/Aiara","24.90","21.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20017","Azkoitia","9.35","9.46","9.50","9.82","10.02","10.05","10.07","6.09","6.12"
"20018","Azpeitia","13.82","14.24","14.61","12.49","12.87","12.79","6.93","7.02","7.20"
"01049","Añana","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48012","Bakio","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20904","Baliarrain","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48090","Balmaseda","21.29","21.73","22.03","0.00","0.00","0.00","0.00","0.00","0.00"
"48013","Barakaldo","3.79","3.81","2.89","3.89","2.96","3.96","3.97","4.00","4.01"
"48014","Barrika","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01013","Barrundia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48015","Basauri","7.37","7.51","7.68","7.86","2.61","2.67","2.73","2.79","2.81"
"01011","Baños de Ebro/Mañueta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20019","Beasain","15.06","15.81","22.10","16.35","16.48","16.78","17.05","17.34","8.73"
"48092","Bedia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20020","Beizama","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20021","Belauntza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48016","Berango","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01014","Berantevilla","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20022","Berastegi","119.05","116.96","116.28","118.34","115.61","0.00","0.00","0.00","0.00"
"20074","Bergara","7.97","8.10","0.00","0.00","4.13","4.15","4.15","4.09","3.38"
"48017","Bermeo","7.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01016","Bernedo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48018","Berriatua","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48019","Berriz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20023","Berrobi","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20024","Bidania-Goiatz","130.43","127.66","123.71","125.00","127.66","126.32","122.45","116.50","0.00"
"48020","Bilbao","6.71","5.74","6.69","6.56","6.88","6.06","4.55","4.80","4.08"
"48021","Busturia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01017","Campezo/Kanpezu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","37.74","38.02"
"20029","Deba","19.49","20.60","21.14","21.83","22.55","21.91","13.64","18.37","18.45"
"48901","Derio","0.00","0.00","0.00","5.94","6.23","6.51","6.76","5.95","6.22"
"48026","Dima","76.63","76.34","77.22","75.47","72.73","72.99","76.63","77.22","57.69"
"20069","Donostia / San Sebastián","11.01","11.93","12.05","12.10","11.67","11.43","9.13","9.29","7.73"
"48027","Durango","10.16","10.38","11.55","11.83","15.63","15.94","3.52","3.58","3.59"
"48028","Ea","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20030","Eibar","4.27","4.62","4.69","4.72","4.72","4.72","3.14","3.14","2.81"
"48031","Elantxobe","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01021","Elburgo/Burgelu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01022","Elciego","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20031","Elduain","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20033","Elgeta","34.48","35.53","35.35","51.55","36.46","35.35","35.53","34.48","0.00"
"20032","Elgoibar","8.28","8.34","6.38","6.47","6.54","6.63","6.71","6.82","6.83"
"48032","Elorrio","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01023","Elvillar/Bilar","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48902","Erandio","4.38","4.51","4.65","4.84","5.06","5.07","0.00","0.00","0.00"
"48033","Ereño","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48034","Ermua","9.04","9.35","17.96","8.57","8.98","9.35","8.92","9.48","9.76"
"20067","Errenteria","11.75","12.15","12.63","7.55","7.75","10.73","10.91","12.68","8.19"
"20066","Errezil","74.77","74.77","76.92","80.00","77.67","69.57","67.80","50.42","0.00"
"01046","Erriberagoitia/Ribera Alta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48079","Errigoiti","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20034","Eskoriatza","20.05","20.63","21.40","21.80","22.56","22.76","23.44","14.22","0.00"
"48029","Etxebarri","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48030","Etxebarria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20035","Ezkio-Itsaso","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48906","Forua","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48035","Fruiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20038","Gabiria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20037","Gaintza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48036","Galdakao","4.77","4.90","5.03","5.19","5.32","5.41","5.55","5.65","0.00"
"48037","Galdames","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48038","Gamiz-Fika","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48039","Garai","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48040","Gatika","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48041","Gautegiz Arteaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20907","Gaztelu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48046","Gernika-Lumo","2.01","10.73","10.98","11.27","11.37","11.58","11.67","11.86","11.86"
"20039","Getaria","31.25","31.98","33.04","33.71","36.14","36.67","37.04","37.13","0.00"
"48044","Getxo","6.38","4.62","4.78","4.94","5.11","5.21","5.30","5.42","5.47"
"48047","Gizaburuaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48042","Gordexola","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48043","Gorliz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48045","Güeñes","11.92","12.10","12.46","12.38","12.47","12.24","12.24","12.22","12.07"
"01056","Harana/Valle de Arana","105.77","103.77","103.77","102.80","72.07","68.97","65.04","65.57","62.99"
"20040","Hernani","12.05","12.30","8.78","9.03","9.24","9.36","7.58","7.68","7.74"
"20041","Hernialde","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20036","Hondarribia","12.17","12.62","13.29","13.81","14.16","14.67","9.78","10.09","10.27"
"20042","Ibarra","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48048","Ibarrangelu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20043","Idiazabal","43.67","44.54","44.84","46.30","46.84","47.73","49.14","49.75","30.30"
"48094","Igorre","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20044","Ikaztegieta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20045","Irun","11.06","11.39","11.65","11.88","11.16","11.38","9.75","6.41","6.41"
"20046","Irura","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01027","Iruraiz-Gauna","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01901","Iruña Oka/Iruña de Oca","46.88","47.47","48.70","49.67","50.34","52.08","52.82","53.76","54.35"
"48049","Ispaster","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20047","Itsasondo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48910","Iurreta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48050","Izurtza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48022","Karrantza Harana/Valle de Carranza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48907","Kortezubi","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01019","Kripan","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01020","Kuartango","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01028","Labastida/Bastida","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01030","Lagrán","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01031","Laguardia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01032","Lanciego/Lantziego","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48051","Lanestosa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01902","Lantarón","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01033","Lapuebla de Labarca","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48052","Larrabetzu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20048","Larraul","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20902","Lasarte-Oria","4.05","4.19","4.38","4.58","4.87","5.76","6.07","6.43","5.89"
"01036","Laudio/Llodio","7.39","7.56","7.84","8.01","8.17","8.42","8.59","8.84","9.06"
"48053","Laukiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20049","Lazkao","21.16","21.53","22.12","21.91","44.89","22.42","22.52","22.96","0.00"
"20050","Leaburu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20051","Legazpi","12.24","12.44","12.85","13.14","13.33","13.41","13.53","13.76","13.81"
"20052","Legorreta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01058","Legutio","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20068","Leintz-Gatzaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48054","Leioa","14.42","15.18","16.00","16.88","17.66","18.23","18.53","19.34","19.68"
"48057","Lekeitio","11.72","11.77","11.80","11.98","12.11","0.00","0.00","0.00","0.00"
"48055","Lemoa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48056","Lemoiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01034","Leza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
