"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"48001","Abadiño","8.75","8.75","8.75","8.75","5.30"
"20001","Abaltzisketa","103.45","103.45","51.72","3.45","3.46"
"48002","Abanto y Ciérvana-Abanto Zierbena","8.60","8.60","8.60","8.60","7.95"
"20002","Aduna","5.03","4.72","5.17","3.79","4.70"
"20016","Aia","4.49","4.88","3.53","3.53","3.53"
"20003","Aizarnazabal","4.88","4.88","4.88","2.44","2.44"
"48911","Ajangiz","9.32","1.24","1.24","0.62","0.64"
"20004","Albiztur","1.79","1.79","1.79","1.79","1.78"
"20005","Alegia",NA,NA,NA,"17.54","17.53"
"01001","Alegría-Dulantzi","9.94","9.94","12.42","12.42","13.06"
"20006","Alkiza","12.50","12.50","12.50","12.50","12.56"
"48912","Alonsotegi","6.86","6.86","7.44","10.17","10.40"
"20906","Altzaga","163.16","163.16","163.16","163.16","15.67"
"20007","Altzo","4.40","4.40","4.40","4.40","4.40"
"20008","Amezketa","33.33","33.33","33.17","40.36","3.61"
"48003","Amorebieta-Etxano","5.87","5.87","5.11","6.68","14.56"
"48004","Amoroto","24.73","24.73","24.73","24.73","24.73"
"01002","Amurrio","12.08","12.08","12.08",NA,NA
"20009","Andoain","26.37","26.37","26.37","13.74","13.73"
"20010","Anoeta","4.12","16.46","16.46","14.40","14.39"
"20011","Antzuola","10.99","10.99","10.91","11.27","10.83"
"48005","Arakaldo","2.84","0.71","0.71","0.71","0.71"
"20012","Arama","42.42","42.42","42.42","42.42","42.42"
"01003","Aramaio","4.50","4.50","81.08","81.08","81.37"
"48006","Arantzazu","1.02","3.06","3.06","3.06","0.00"
"48093","Areatza","21.21","11.11","11.11","12.94","12.96"
"20013","Aretxabaleta","24.31","12.25","12.25","12.25","12.25"
"01006","Armiñón","16.67","0.42","0.44","0.44","0.44"
"01037","Arraia-Maeztu","4.42","4.42","4.42","4.42","0.46"
"48009","Arrankudiaga","13.19",NA,NA,"13.19","12.27"
"20055","Arrasate/Mondragón","17.61","17.91","17.91","17.89","17.18"
"48914","Arratzu","7.46","7.46","2.99","5.97","5.93"
"01008","Arratzua-Ubarrundia","9.05","9.05","9.05","9.05","9.05"
"48010","Arrieta","9.43","9.43","9.43","24.53","24.46"
"48011","Arrigorriaga","20.53","16.68","16.68","15.37","15.34"
"48023","Artea","12.17","12.30","12.30","11.23","11.22"
"48008","Artzentales","10.26","10.26","10.26","10.26","10.26"
"01004","Artziniega","9.78","9.78","10.88","10.88","10.88"
"01009","Asparrena","3.97","7.15","2.79","0.96","0.96"
"20014","Asteasu","28.10","28.10","3.76","3.76","3.76"
"20903","Astigarraga","15.46","16.47","21.39","8.66","8.46"
"20015","Ataun","19.63","12.15","12.15","12.15","12.16"
"48091","Atxondo","1.21","1.21","1.21","1.21","1.21"
"48070","Aulesti","48.51","48.51","48.51","5.94","5.93"
"01010","Ayala/Aiara","3.31","3.41","3.41","0.24","0.24"
"20018","Azpeitia","11.45","11.45","14.74","14.73","14.67"
"01049","Añana","5.26","5.26","4.61","0.66","0.66"
"48012","Bakio","10.72","8.73","8.78","8.78","8.78"
"20904","Baliarrain","25.00","50.00","47.62","5.00","4.88"
"48090","Balmaseda","2.65","1.90","1.89","0.19","0.19"
"48013","Barakaldo","12.28","12.28","12.28","10.10","10.56"
"48014","Barrika","40.40","40.40","34.34","18.18","6.82"
"01013","Barrundia","1.90","1.90","1.90","4.11","4.12"
"48015","Basauri","14.92","14.92","15.28","15.44","15.16"
"01011","Baños de Ebro/Mañueta","1.99","2.09","2.09","2.72","2.73"
"20019","Beasain","6.92","6.92",NA,NA,NA
"48092","Bedia","7.26","7.26","7.26","4.35","4.35"
"20020","Beizama","7.69","7.69","7.69","69.23","68.70"
"20021","Belauntza","3.94","1.18","1.18","1.18","1.18"
"48016","Berango","7.29","7.29","7.29","11.98","11.99"
"01014","Berantevilla","14.14","14.14","14.14","14.14","16.36"
"20022","Berastegi","2.58","2.58","2.58","1.55","1.41"
"20074","Bergara","7.61","7.61","7.78","8.61","8.61"
"48017","Bermeo","18.04","19.25","18.51","18.51","19.18"
"01016","Bernedo","2.40","2.40","2.40","0.84","0.84"
"48018","Berriatua","4.40","4.40","4.40","4.47","4.54"
"48019","Berriz","29.62","33.02","33.08","30.40","28.27"
"20023","Berrobi","29.73","28.38","4.17","4.17","31.15"
"20024","Bidania-Goiatz","17.39","27.83","27.83","27.83","27.90"
"48020","Bilbao","13.30","15.60","11.37","10.86","9.69"
"48021","Busturia","59.55","58.88","58.88","58.88","58.82"
"01017","Campezo/Kanpezu","3.66","3.66","3.66","3.66","3.66"
"20029","Deba","4.02","4.56","4.97","4.97","9.75"
"48901","Derio","8.79","8.79","8.78","4.98","4.70"
"48026","Dima","2.66","2.66","19.61","21.57","17.77"
"20069","Donostia / San Sebastián","59.94","37.29","38.12","23.24","23.24"
"48027","Durango","10.60","10.42","60.64","60.64","63.09"
"48028","Ea","607.32","21.95","19.51","19.51","19.70"
"20030","Eibar","3.40","3.50","9.08","11.31","9.42"
"48031","Elantxobe","23.81","23.81","47.62","35.71","35.89"
"01021","Elburgo/Burgelu","5.28","5.74","5.37","2.60","2.60"
"01022","Elciego","3.23","3.23","3.23","1.72","1.78"
"20031","Elduain","5.68","5.68","5.68","2.84","2.27"
"20033","Elgeta","9.75","9.75","9.75","5.51","5.51"
"20032","Elgoibar","16.86","15.92","15.92","12.34","17.85"
"48032","Elorrio","2.55","2.55","2.74","2.15","2.07"
"01023","Elvillar/Bilar","7.18","7.18","7.18","3.35","3.36"
"48902","Erandio","6.41","6.45","6.41","6.08","6.20"
"48033","Ereño","3.23","3.23","14.52",NA,NA
"48034","Ermua","19.63","19.63","20.29","17.70","17.43"
"20067","Errenteria","30.55","23.17","24.66","28.43","29.43"
"20066","Errezil","3.23","1.61","1.61","1.75","1.74"
"01046","Erriberagoitia/Ribera Alta","0.98","1.08","0.98","0.79","0.79"
"48079","Errigoiti","61.07","61.07","61.07","44.64","26.76"
"20034","Eskoriatza","4.79","4.79","4.79","4.79","4.79"
"48029","Etxebarri","18.09","18.09","18.09","14.91","14.27"
"48030","Etxebarria","89.93","8.99","8.99","8.99","8.99"
"48906","Forua","8.00","8.00","8.00","10.00","10.03"
"48035","Fruiz","145.45","18.18","14.55","10.42","10.33"
"20038","Gabiria","4.73","4.73","4.73","5.10","5.08"
