"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"48001","Abadiño","3.04","2.74","2.82","2.81","2.89","2.79","2.70","2.96","2.60","2.42","2.17"
"20001","Abaltzisketa","3.43","2.58","2.21","1.56","2.13","2.09","1.76","1.31","1.40","1.67","1.52"
"48002","Abanto y Ciérvana-Abanto Zierbena","3.09","2.95","2.69","2.59","2.58","2.66","2.61","2.44","2.34","2.21","2.46"
"20002","Aduna","2.05","2.20","1.86","2.30","1.86","1.96","1.41","1.65","1.68","1.69","1.63"
"20016","Aia","3.35","1.90","2.00","1.82","2.00","2.55","1.88","1.69","1.57","1.55","1.66"
"20003","Aizarnazabal","1.54","2.06","2.18","1.62","1.98","1.99","2.22","1.82","1.59","2.41","2.14"
"48911","Ajangiz","1.47","1.30","1.50","1.44","1.77","1.41","1.62","1.39","1.43","1.45","1.38"
"20004","Albiztur","1.89","2.42","2.29","2.06","1.86","6.12","4.26","2.42","2.30","2.12","1.57"
"20005","Alegia","2.68","2.38","1.85","2.31","2.59","1.85","1.82","1.82","2.03","2.57","2.12"
"01001","Alegría-Dulantzi","2.57","2.63","2.55","2.93","2.46","2.16","1.80","1.77","1.84","2.10","1.79"
"20006","Alkiza","3.83","4.62","2.68","3.22","1.23","2.52","1.84","2.34","1.78","1.78","1.54"
"48912","Alonsotegi","3.09","3.52","2.85","2.63","2.85","3.24","2.57","3.50","2.29","1.98","2.73"
"20906","Altzaga","1.14","2.17","1.89","1.60","2.20","1.25","3.00","2.00","1.86","2.22","1.43"
"20007","Altzo","2.34","1.79","2.16","1.78","1.96","1.90","1.54","1.59","1.66","1.71","2.09"
"20008","Amezketa","1.73","1.73","1.50","1.74","1.52","1.93","1.33","1.41","1.33","1.58","1.78"
"48003","Amorebieta-Etxano","4.03","3.66","3.75","3.51","3.16","3.42","3.19","3.00","3.00","2.86","3.03"
"48004","Amoroto","1.71","1.36","1.73","2.00","1.53","1.97","1.98","2.71","4.26","1.62","1.82"
"01002","Amurrio","6.89","5.75","4.61","4.59","4.04","3.23","2.44","2.92","2.83","3.10","2.94"
"20009","Andoain","2.94","2.75","2.34","2.07","2.14","2.59","2.06","2.21","2.15","2.30","2.37"
