"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","1999","1998","1996"
"48001","Abadiño","7.533.00","7.516.00","7.504.00","7.458.00","7.385.00","7.312.00","7.310.00","7.260.00","7.197.00","7.140.00","7.163.00","7.129.00","7.031.00","6.996.00","6.954.00","6.858.00","6.820.00","6.897.00"
"20001","Abaltzisketa","324.00","329.00","329.00","330.00","324.00","321.00","326.00","316.00","317.00","304.00","295.00","284.00","280.00","281.00","283.00","262.00","265.00","259.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","9.577.00","9.635.00","9.688.00","9.758.00","9.708.00","9.713.00","9.724.00","9.647.00","9.608.00","9.609.00","9.608.00","9.503.00","9.315.00","9.190.00","9.111.00","8.920.00","8.812.00","8.417.00"
"20002","Aduna","470.00","470.00","471.00","457.00","452.00","452.00","429.00","401.00","376.00","370.00","368.00","352.00","342.00","341.00","332.00","310.00","308.00","311.00"
"20016","Aia","2.046.00","2.051.00","2.039.00","2.038.00","2.026.00","2.002.00","2.007.00","1.958.00","1.854.00","1.829.00","1.773.00","1.750.00","1.707.00","1.652.00","1.643.00","1.663.00","1.651.00","1.646.00"
"20003","Aizarnazabal","775.00","775.00","775.00","770.00","766.00","733.00","708.00","669.00","653.00","638.00","614.00","629.00","579.00","552.00","531.00","546.00","543.00","551.00"
"48911","Ajangiz","469.00","459.00","463.00","450.00","457.00","458.00","450.00","445.00","445.00","442.00","441.00","438.00","428.00","430.00","425.00","416.00","401.00","388.00"
"20004","Albiztur","330.00","320.00","327.00","322.00","316.00","312.00","315.00","312.00","314.00","302.00","293.00","298.00","296.00","293.00","288.00","289.00","288.00","296.00"
"20005","Alegia","1.730.00","1.741.00","1.744.00","1.756.00","1.771.00","1.778.00","1.750.00","1.733.00","1.710.00","1.687.00","1.671.00","1.646.00","1.659.00","1.612.00","1.610.00","1.614.00","1.639.00","1.662.00"
