"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48001","Abadiño","8.27","9.73","10.43","10.13","9.75","9.00","8.96","8.57","7.20","4.18","4.06","4.55","3.45"
"20001","Abaltzisketa","4.26","6.38","6.74","7.37","11.70","6.38","6.59","5.21","4.60","2.30","3.70","2.47","1.28"
"48002","Abanto y Ciérvana-Abanto Zierbena","12.69","13.85","13.29","13.94","13.18","11.45","9.09","8.56","6.98","6.20","6.72","8.46","5.86"
"20002","Aduna","2.29","9.92","13.08","12.21","12.12","6.15","5.84","6.87","3.28","3.48","6.03","5.08","2.63"
"20016","Aia","5.64","6.97","6.57","8.72","7.01","7.93","7.09","5.78","5.31","5.59","4.60","3.35","1.84"
"20003","Aizarnazabal","12.55","14.23","13.88","13.60","12.76","10.57","12.34","9.79","8.64","5.53","3.79","2.99","5.58"
"48911","Ajangiz","5.19","2.22","6.02","3.79","6.02","4.41","3.60","4.90","2.74","2.63","4.11","2.72","2.07"
"20004","Albiztur","4.26","4.26","2.13","4.04","4.12","5.10","3.96","6.06","1.98","0.00","1.00","2.04","4.08"
"20005","Alegia","10.16","15.14","13.98","12.09","12.29","10.47","9.89","9.41","8.44","6.92","7.85","8.01","5.51"
"01001","Alegría-Dulantzi","11.34","12.32","11.38","11.52","11.19","9.61","8.38","9.26","7.48","5.42","4.63","4.29","2.52"
"20006","Alkiza","8.74","11.65","8.08","12.96","11.93","8.18","6.67","4.85","5.56","4.81","6.12","5.26","7.06"
"48912","Alonsotegi","15.78","16.57","16.74","15.65","14.11","13.02","11.81","9.89","8.58","8.20","7.76","6.68","6.84"
"20906","Altzaga","9.62","3.85","8.16","12.77","8.70","6.67","8.33","6.38","6.12","4.00","4.17","8.51","1.96"
"20007","Altzo","6.87","8.40","10.16","11.20","10.85","8.73","6.56","6.72","4.96","4.17","2.54","6.36","5.45"
"20008","Amezketa","8.56","13.23","8.40","9.09","8.96","8.00","8.12","7.43","5.93","6.59","3.32","3.20","4.24"
"48003","Amorebieta-Etxano","8.86","9.22","10.10","10.26","10.19","8.62","7.17","7.00","6.14","3.52","4.34","4.35","3.74"
"48004","Amoroto","3.15","3.94","5.83","4.31","4.39","2.70","3.45","4.24","3.39","3.36","3.42","3.57","2.83"
"01002","Amurrio","13.36","13.48","14.30","13.28","12.50","11.63","9.85","8.83","6.62","5.69","6.22","6.85","5.89"
"20009","Andoain","10.65","11.81","12.50","12.20","12.54","10.93","9.94","9.33","7.47","7.28","7.39","7.64","6.82"
"20010","Anoeta","12.64","11.54","14.83","14.14","14.48","12.09","11.73","11.02","10.11","8.76","8.65","7.53","5.51"
"20011","Antzuola","6.86","8.58","8.28","9.52","9.86","8.04","7.28","8.23","7.77","4.95","3.98","5.11","3.74"
"48005","Arakaldo","10.87","8.70","11.63","5.56","6.90","6.90","3.45","3.85","13.64","4.55","4.55","13.64","4.76"
"20012","Arama","5.08","6.78","10.17","9.68","9.23","6.78","6.67","4.84","3.45","3.64","5.36","1.82","3.77"
"01003","Aramaio","1.15","2.31","2.71","2.78","3.22","2.45","2.67","3.07","3.96","3.55","1.09","3.47","1.50"
"48006","Arantzazu","10.00","6.67","8.20","9.02","5.88","7.69","3.31","5.45","3.92","1.94","3.12","1.06","1.11"
