"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","8.13","8.14","8.26","8.24","8.14","7.96","7.96","7.72","7.26","7.33","7.40","7.22","7.18","6.85"
"20001","Abaltzisketa","8.84","9.52","7.33","7.95","8.11","8.39","9.59","9.42","9.93","10.77","10.32","11.29","12.61","12.71"
"48002","Abanto y Ciérvana-Abanto Zierbena","10.84","10.94","11.05","11.26","11.57","11.69","11.47","11.22","10.97","10.92","10.46","10.36","10.36","10.52"
"20002","Aduna","8.45","7.91","7.87","8.02","6.37","5.83","6.25","8.43","8.93","10.71","10.24","9.49","11.04","9.62"
"20016","Aia","9.66","9.61","9.45","9.82","10.40","10.16","10.56","11.00","11.07","10.17","10.03","8.90","8.61","9.05"
"20003","Aizarnazabal","6.54","7.29","7.25","7.69","7.59","7.49","7.16","8.39","8.72","9.15","8.86","7.61","8.11","9.13"
"48911","Ajangiz","11.89","13.00","13.84","13.57","13.96","13.90","13.78","13.97","13.42","14.22","14.73","15.04","14.68","14.55"
"20004","Albiztur","8.33","8.50","8.92","9.27","9.93","9.33","10.60","11.11","12.34","12.50","14.39","11.59","11.19","11.19"
"20005","Alegia","12.50","12.32","11.20","11.34","11.16","10.83","10.88","11.07","10.82","10.68","10.50","10.20","9.49","9.71"
"01001","Alegría-Dulantzi","5.18","4.39","4.18","4.32","4.40","4.94","4.55","4.66","4.59","4.84","4.98","5.41","5.86","6.93"
"20006","Alkiza","7.87","9.14","8.89","7.14","6.90","6.67","6.79","7.32","7.14","7.75","7.91","8.40","9.68","9.57"
"48912","Alonsotegi","13.45","13.96","14.04","14.30","14.56","14.71","14.37","13.91","13.02","12.98","12.83","12.83","13.95","14.37"
"20906","Altzaga","5.75","5.62","7.32","4.94","4.82","2.56","1.32","1.30","1.33","4.05","6.67","6.49","6.76","7.58"
"20007","Altzo","5.50","5.08","5.18","5.61","5.73","5.32","5.41","6.91","6.45","6.67","6.51","7.69","8.33","8.44"
"20008","Amezketa","14.85","14.58","15.20","15.65","15.99","16.30","16.41","16.23","15.22","14.72","13.92","13.71","14.14","14.52"
"48003","Amorebieta-Etxano","11.18","10.97","11.13","11.18","11.09","10.56","10.40","10.23","10.13","9.93","9.67","9.46","9.15","8.75"
"48004","Amoroto","14.42","15.15","16.50","15.82","16.49","16.33","15.50","16.34","16.58","17.09","15.71","16.04","15.73","13.81"
"01002","Amurrio","11.50","11.70","11.48","11.49","11.51","11.44","11.01","10.44","10.05","9.77","9.52","9.45","9.24","8.75"
"20009","Andoain","11.47","11.32","11.37","11.12","11.01","10.62","10.27","9.91","9.96","9.50","9.17","9.26","8.89","8.48"
"20010","Anoeta","7.11","7.52","7.53","7.70","7.67","8.52","8.28","8.26","8.06","7.42","7.81","7.19","7.22","7.07"
"20011","Antzuola","11.14","11.32","11.32","11.44","10.97","10.47","10.39","10.19","10.48","10.87","10.69","11.13","11.86","11.41"
"48005","Arakaldo","8.64","10.13","11.43","13.33","10.34","12.07","15.69","19.05","17.50","17.07","15.38","16.67","13.16","15.79"
"20012","Arama","8.00","8.74","8.57","9.26","8.25","9.09","8.74","12.63","15.56","17.05","18.60","17.86","18.29","17.86"
"01003","Aramaio","10.70","10.54","10.74","10.11","11.00","10.81","10.89","11.56","11.34","11.16","10.54","10.09","9.74","9.71"
"48006","Arantzazu","11.98","11.34","11.86","11.48","12.57","13.74","13.33","13.55","12.58","14.38","12.93","14.08","14.79","15.65"
"48093","Areatza","13.31","13.39","13.13","13.57","13.82","14.63","15.42","14.93","15.32","16.17","16.98","16.67","16.18","15.23"
"20013","Aretxabaleta","11.75","11.12","11.11","10.88","10.66","10.34","9.96","9.61","9.41","9.10","9.00","8.73","8.35","8.33"
"01006","Armiñón","7.08","6.61","9.92","9.48","9.48","10.26","10.62","13.46","13.68","13.19","10.59","8.64","7.59","9.64"
"01037","Arraia-Maeztu","15.34","14.61","14.85","16.14","15.22","15.62","15.53","18.06","19.23","17.90","16.41","16.51","17.38","17.33"
"48009","Arrankudiaga","11.98","11.72","11.61","11.84","12.09","12.50","12.18","11.26","11.95","11.26","10.80","11.11","11.50","11.65"
"20055","Arrasate/Mondragón","14.47","14.23","14.15","13.88","13.81","13.23","12.87","12.22","11.73","11.31","10.74","10.31","9.93","9.48"
"48914","Arratzu","16.98","16.99","19.10","20.53","21.24","18.37","20.74","19.46","18.54","19.10","17.71","17.34","15.56","14.36"
"01008","Arratzua-Ubarrundia","8.26","9.45","8.68","8.99","9.72","9.93","9.81","8.99","9.09","9.15","8.13","8.56","8.36","9.70"
"48010","Arrieta","14.34","14.75","15.60","15.61","15.30","15.79","17.58","18.28","19.26","19.19","19.17","19.62","18.88","17.28"
"48011","Arrigorriaga","11.22","11.48","11.49","10.69","10.64","10.24","9.79","9.33","9.08","8.66","8.48","7.93","7.75","7.38"
"48023","Artea","11.67","11.49","12.24","13.30","13.23","13.67","14.58","15.24","16.30","16.91","17.84","17.35","18.48","18.98"
"48008","Artzentales","15.03","15.16","15.50","15.85","16.29","16.57","16.46","16.04","16.56","16.56","16.09","16.67","18.12","17.45"
"01004","Artziniega","10.98","11.07","12.49","11.95","11.69","11.43","11.99","11.01","10.46","10.61","9.84","9.66","9.81","9.12"
"01009","Asparrena","13.47","14.15","13.85","13.80","13.35","14.41","14.00","14.69","15.55","15.47","15.59","14.62","15.11","14.85"
"20014","Asteasu","9.14","9.32","9.13","9.59","8.79","8.78","8.35","8.27","8.75","7.94","8.32","8.18","8.63","8.05"
"20903","Astigarraga","6.06","6.28","6.52","6.75","7.04","7.01","7.14","7.03","7.02","6.70","6.51","6.74","7.16","7.46"
"20015","Ataun","12.96","13.50","13.65","13.29","12.72","12.98","13.41","14.29","14.45","14.65","14.88","15.41","14.54","13.77"
"48091","Atxondo","8.38","9.64","9.21","9.66","9.49","9.20","9.42","8.24","8.58","7.46","7.82","8.47","8.97","9.13"
"48070","Aulesti","19.09","18.90","18.04","19.75","17.47","15.98","15.84","17.10","15.54","15.98","14.03","13.64","13.66","13.48"
"01010","Ayala/Aiara","10.10","10.14","10.35","11.04","11.70","10.94","10.56","10.60","10.74","11.33","10.91","11.10","11.93","12.65"
