"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009"
"48001","Abadiño","56.81","54.38","54.03","55.54","59.01","61.55","60.01"
"20001","Abaltzisketa","63.38","62.68","65.49","68.84","74.45","82.01","86.96"
"48002","Abanto y Ciérvana-Abanto Zierbena","49.79","49.13","49.65","49.53","52.52","53.63","50.04"
"20002","Aduna","60.71","60.20","56.00","56.92","62.18","60.21","63.04"
"20016","Aia","26.07","25.26","24.60","25.26","27.19","27.32","27.56"
"20003","Aizarnazabal","56.41","53.21","55.77","53.61","58.70","57.01","60.06"
"48911","Ajangiz","41.38","42.86","41.26","41.97","40.40","37.88","38.54"
"20004","Albiztur","50.74","52.21","48.92","46.43","54.35","57.04","58.82"
"20005","Alegia","55.45","52.79","52.71","53.65","55.53","56.06","55.41"
"01001","Alegría-Dulantzi","57.00","57.45","55.00","54.24","55.16","55.28","54.07"
"20006","Alkiza","62.33","60.27","59.60","53.50","52.20","55.19","54.84"
"48912","Alonsotegi","46.62","46.70","44.72","47.00","47.87","49.79","50.67"
"20906","Altzaga","51.56","53.12","52.31","50.00","49.23","50.75","47.76"
"20007","Altzo","57.58","54.55","57.14","55.69","53.18","54.76","57.23"
"20008","Amezketa","56.41","58.74","58.78","59.81","61.86","61.89","59.27"
"48003","Amorebieta-Etxano","54.19","52.94","53.07","53.02","56.14","57.26","56.68"
"48004","Amoroto","55.93","55.93","52.78","53.98","56.98","53.01","52.20"
"01002","Amurrio","50.98","51.16","51.91","53.26","56.76","58.43","58.20"
"20009","Andoain","53.37","52.35","51.75","52.51","55.03","56.07","57.82"
"20010","Anoeta","63.53","59.24","59.97","58.95","61.85","61.70","66.62"
"20011","Antzuola","57.22","56.43","55.10","55.10","57.82","56.80","56.81"
"48005","Arakaldo","46.88","42.19","44.07","46.55","45.61","50.88","61.22"
"20012","Arama","48.31","48.31","48.89","52.87","52.44","51.22","44.09"
"01003","Aramaio","49.62","47.96","50.55","48.53","50.15","49.69","48.02"
