"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"48001","Abadiño","65.26","64.29","63.14","62.01","63.14","64.60","64.77","63.27","63.95","64.77","64.21","65.97","65.15","64.06","63.79","63.07","62.50"
"20001","Abaltzisketa","58.33","57.58","58.82","51.28","52.50","81.48","80.00","79.17","77.78","79.17","73.91","68.75","70.59","68.42","70.00","65.00","68.18"
"48002","Abanto y Ciérvana-Abanto Zierbena","66.31","66.22","65.74","64.09","64.37","65.87","64.95","65.22","65.15","64.90","64.67","64.06","65.53","65.31","66.40","65.94","67.29"
"20002","Aduna","50.00","48.65","49.57","47.46","46.72","52.63","55.00","57.02","59.35","60.83","60.68","61.47","57.80","58.88","59.09","54.39","52.63"
"20016","Aia","40.75","39.35","36.39","33.89","37.59","53.59","52.75","52.00","52.44","53.37","54.17","54.14","55.36","54.82","54.71","54.84","56.33"
"20003","Aizarnazabal","51.39","52.94","48.68","49.33","49.33","61.67","66.04","66.07","66.07","60.78","62.00","59.09","58.14","62.16","64.29","65.12","66.67"
"48911","Ajangiz","58.62","60.00","60.00","53.85","51.85","68.18","66.67","60.00","63.16","66.67","63.16","68.42","61.11","61.11","57.89","52.63","50.00"
"20004","Albiztur","37.14","51.35","43.90","44.19","46.51","67.74","62.16","60.00","65.79","61.76","59.38","59.26","59.26","60.71","54.17","57.14","57.69"
"20005","Alegia","62.79","63.16","64.03","60.14","60.87","64.06","60.31","61.36","59.26","58.78","58.39","59.70","59.29","59.57","60.14","63.83","63.50"
"01001","Alegría-Dulantzi","62.96","62.78","64.52","64.13","64.42","70.59","70.72","68.45","69.11","68.36","68.07","67.33","67.16","66.94","65.52","65.09","67.74"
"20006","Alkiza","51.28","48.72","47.37","41.67","44.44","69.23","62.96","63.33","71.43","71.43","77.78","84.00","78.26","78.26","77.27","80.95","78.26"
"48912","Alonsotegi","59.82","60.00","61.84","61.04","59.58","60.35","58.70","57.92","58.94","58.27","58.17","58.80","58.04","57.33","57.08","58.69","61.68"
"20906","Altzaga","56.25","57.14","61.54","47.06","60.00","63.64","46.15","53.33","60.00","50.00","53.85","57.14","57.14","53.85","69.23","63.64","70.00"
"20007","Altzo","52.17","53.19","48.94","46.94","46.81","50.00","51.35","55.26","55.26","58.97","55.00","58.54","60.61","59.38","55.17","46.15","52.00"
"20008","Amezketa","31.43","30.84","28.70","28.32","33.01","49.28","50.60","49.43","52.38","51.85","53.85","56.00","50.00","48.10","49.37","48.19","53.01"
"48003","Amorebieta-Etxano","73.26","72.84","72.88","71.03","69.72","70.73","70.71","69.42","70.77","76.67","76.27","75.71","76.60","76.74","76.92","77.96","77.96"
"48004","Amoroto","53.85","48.39","48.15","35.00","34.21","70.00","72.22","68.42","68.42","68.42","64.71","61.11","61.11","63.16","61.11","58.82","60.00"
"01002","Amurrio","69.09","68.15","67.04","65.83","66.75","74.29","73.32","72.96","74.15","74.62","73.61","72.51","72.96","72.38","72.96","72.89","73.48"
"20009","Andoain","71.66","71.20","68.82","68.46","69.60","71.91","70.82","69.96","69.83","68.31","67.79","68.59","69.60","69.05","69.34","69.60","71.16"
"20010","Anoeta","65.67","64.96","64.03","67.81","69.23","71.43","71.92","70.83","72.41","72.86","73.23","74.40","74.34","73.50","73.64","72.09","72.22"
"20011","Antzuola","65.32","67.48","64.57","61.76","60.99","66.92","66.17","63.64","65.28","66.18","67.67","64.44","64.39","65.67","64.34","65.12","65.35"
"48005","Arakaldo","65.00","63.64","59.09","54.55","61.90","60.00","57.14","55.56","73.68","78.95","73.33","75.00","71.43","72.73","66.67","70.00","70.00"
"20012","Arama","75.00","69.23","73.08","68.00","70.83","66.67","66.67","67.86","69.57","66.67","68.18","63.16","66.67","71.43","75.00","83.33","71.43"
"01003","Aramaio","52.33","53.41","50.00","47.92","55.56","70.77","68.12","70.37","70.24","71.76","74.39","75.32","75.31","75.95","77.63","75.95","75.29"
"48006","Arantzazu","73.91","83.33","87.50","76.47","77.78","85.71","87.50","86.67","80.00","76.47","81.25","81.25","76.47","81.25","87.50","85.71","91.67"
"48093","Areatza","70.89","70.73","70.73","67.90","66.23","74.07","65.91","63.83","66.67","74.68","75.34","76.39","76.47","81.97","83.87","82.54","79.03"
"20013","Aretxabaleta","69.61","69.41","67.16","65.79","65.53","66.02","65.26","63.90","70.22","69.27","69.82","69.15","69.13","69.19","68.23","66.31","66.49"
"01006","Armiñón","63.64","54.17","56.52","52.00","56.52","72.22","73.68","73.68","73.68","70.59","73.33","68.75","68.75","70.59","70.59","66.67","64.29"
"01037","Arraia-Maeztu","39.13","40.66","39.33","40.66","40.91","62.50","60.71","60.00","61.02","60.71","57.41","61.11","64.71","64.15","66.00","65.96","66.00"
"48009","Arrankudiaga","60.48","58.87","60.68","59.20","59.40","58.27","60.61","58.09","58.21","55.00","55.81","53.33","49.12","48.67","50.44","48.08","53.21"
"20055","Arrasate/Mondragón","78.51","77.95","76.34","74.82","74.67","77.24","76.48","73.69","75.78","75.24","75.54","74.90","75.08","75.24","75.00","74.54","74.78"
"48914","Arratzu","41.94","43.33","48.48","50.00","51.72","57.69","54.17","45.83","52.00","57.69","56.52","63.64","66.67","70.00","65.00","61.11","65.00"
"01008","Arratzua-Ubarrundia","65.96","66.67","64.21","63.64","62.11","83.56","79.45","78.87","77.27","80.00","79.66","82.76","81.97","80.95","81.97","83.05","81.36"
"48010","Arrieta","48.72","47.37","50.00","48.72","50.00","65.00","63.16","66.67","65.22","60.00","55.00","50.00","50.00","55.00","55.00","61.11","60.00"
"48011","Arrigorriaga","69.52","69.32","68.68","68.95","68.93","68.99","68.85","66.89","67.33","68.12","67.71","67.98","68.90","69.05","69.12","71.52","73.37"
"48023","Artea","64.29","58.82","62.69","57.33","55.88","60.00","63.24","66.67","78.85","78.85","82.98","79.55","89.47","86.49","85.71","82.35","75.68"
"48008","Artzentales","37.04","34.52","36.90","34.94","38.16","52.00","54.90","54.00","56.86","60.87","61.36","74.29","75.00","66.67","73.33","63.64","65.62"
