"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"48001","Abadiño","0.23","0.16","0.62","0.99","1.00","0.03","0.69","0.88","0.80","-0.32","0.48","1.39","0.50","0.60","1.62"
"20001","Abaltzisketa","-1.52","0.00","-0.30","1.85","0.93","-1.53","3.16","-0.32","4.28","3.05","3.87","1.43","-0.36","-0.71","9.69"
"48002","Abanto y Ciérvana-Abanto Zierbena","-0.60","-0.55","-0.72","0.52","-0.05","-0.11","0.80","0.41","-0.01","0.01","1.10","2.02","1.36","0.87","3.73"
"20002","Aduna","0.00","-0.21","3.06","1.11","0.00","5.36","6.98","6.65","1.62","0.54","4.55","2.92","0.29","2.71","0.91"
"20016","Aia","-0.24","0.59","0.05","0.59","1.20","-0.25","2.50","5.61","1.37","3.16","1.31","2.52","3.33","0.55","5.93"
"20003","Aizarnazabal","0.00","0.00","0.65","0.52","4.50","3.53","5.83","2.45","2.35","3.91","-2.38","8.64","4.89","3.95","-0.38"
"48911","Ajangiz","2.18","-0.86","2.89","-1.53","-0.22","1.78","1.12","0.00","0.68","0.23","0.68","2.34","-0.47","1.18","-2.07"
"20004","Albiztur","3.12","-2.14","1.55","1.90","1.28","-0.95","0.96","-0.64","3.97","3.07","-1.68","0.68","1.02","1.74","4.73"
"20005","Alegia","-0.63","-0.17","-0.68","-0.85","-0.39","1.60","0.98","1.35","1.36","0.96","1.52","-0.78","2.92","0.12","0.75"
"01001","Alegría-Dulantzi","-0.90","-1.47","1.92","0.03","2.35","3.28","3.59","6.20","7.03","5.30","6.88","6.72","12.42","6.82","4.44"
"20006","Alkiza","-1.10","-2.95","-1.84","2.43","3.92","1.13","-1.12","2.88","7.76","0.63","6.31","3.79","6.23","2.63","-5.00"
"48912","Alonsotegi","0.04","0.46","0.57","-0.63","0.89","-0.28","-0.25","0.14","0.96","0.68","1.46","4.53","-1.20","-0.08","-0.45"
"20906","Altzaga","-2.84","6.67","0.61","1.23","1.25","0.63","-1.24","2.55","0.64","1.96","-0.65","4.05","11.28","14.66","10.48"
"20007","Altzo","1.98","1.25","-2.20","-0.49","1.48","1.76","-1.00","0.50","5.54","5.57","0.00","2.87","9.06","1.27","-6.23"
"20008","Amezketa","-0.42","-2.69","-0.41","-0.41","0.62","-2.41","0.40","0.71","3.04","-2.05","0.52","-1.12","-0.31","-0.51","3.56"
"48003","Amorebieta-Etxano","0.66","0.85","-0.38","0.74","2.06","0.95","0.71","1.23","1.29","1.69","1.86","1.15","1.29","0.19","1.14"
"48004","Amoroto","3.66","-1.68","3.73","-0.74","-1.94","-0.24","1.47","0.99","-1.22","3.28","2.33","4.59","-2.12","0.80","3.02"
"01002","Amurrio","-0.03","0.23","0.99","0.25","1.00","-0.36","-0.39","0.62","1.50","2.56","0.42","0.84","-0.45","-0.41","-0.14"
"20009","Andoain","-0.37","0.09","0.17","-0.11","-0.29","0.18","-0.12","1.75","1.49","0.94","0.64","1.38","-0.60","-0.57","-0.33"
"20010","Anoeta","1.94","3.49","1.12","2.30","-0.11","-0.97","-0.05","2.21","1.34","0.56","-0.39","0.45","-0.11","3.19","-4.33"
"20011","Antzuola","-0.78","0.00","0.18","0.55","-0.46","1.20","-0.32","1.07","1.13","2.32","1.57","4.88","1.83","0.53","2.81"
"48005","Arakaldo","0.00","9.03","10.77","3.17","-1.56","14.29","17.89","2.15","-4.12","3.19","4.44","-5.26","1.06","-2.08","21.52"
"20012","Arama","-1.90","-3.23","0.00","8.50","-0.50","-7.80","9.55","5.85","2.17","6.36","5.49","0.61","-1.81","1.84","1.88"
"01003","Aramaio","-1.05","2.71","-0.87","-1.45","1.14","-0.07","-0.13","0.67","-0.27","0.20","-0.86","1.08","-0.13","0.68","2.78"
"48006","Arantzazu","-1.31","0.53","4.40","1.11","1.69","8.92","6.56","-0.65","0.66","3.74","1.73","3.58","-2.11","-0.70","2.50"
"48093","Areatza","1.59","-1.32","-1.30","0.08","3.99","3.24","0.97","1.89","2.78","0.75","3.47","1.47","-0.58","-1.15","-1.52"
"20013","Aretxabaleta","0.27","-0.30","0.94","1.17","1.86","0.37","0.16","0.65","1.33","1.39","2.36","0.62","0.58","0.32","-0.48"
"01006","Armiñón","-4.10","-2.40","5.49","2.60","0.87","1.78","8.70","4.55","-0.50","11.17","2.29","8.02","-4.71","1.80","-36.98"
"01037","Arraia-Maeztu","1.40","-0.28","-2.33","-1.08","2.35","1.98","-0.28","0.42","-1.53","-1.37","-0.82","-0.27","-0.27","0.68","1.10"
"48009","Arrankudiaga","1.34","-0.10","1.04","0.31","3.00","1.41","1.21","2.71","4.36","2.91","2.74","2.95","0.52","-1.77","10.66"
"20055","Arrasate/Mondragón","-0.31","0.01","0.00","0.11","0.25","-0.18","-0.24","0.41","-0.64","-0.88","-1.32","-1.14","-0.92","-0.13","-4.10"
"48914","Arratzu","0.74","2.01","2.84","-0.26","-0.26","2.64","1.07","4.75","1.42","0.57","1.45","-3.08","-1.65","-2.68","1.36"
"01008","Arratzua-Ubarrundia","-1.81","0.30","1.33","-0.20","3.36","4.16","-0.87","2.11","2.50","2.09","6.82","1.51","10.88","-0.97","0.42"
"48010","Arrieta","-1.75","-0.17","5.14","-1.09","1.66","-2.87","1.27","0.00","-0.18","2.03","2.27","3.32","1.39","-3.07","0.00"
"48011","Arrigorriaga","-0.64","-0.28","0.00","-1.21","0.11","1.24","-0.62","0.29","0.47","0.78","0.91","2.22","3.09","3.08","4.89"
"48023","Artea","-2.73","-0.90","1.97","-2.94","0.00","3.03","1.20","3.30","6.75","0.89","-0.44","0.74","2.44","1.23","1.09"
"48008","Artzentales","1.78","1.11","-0.82","-4.21","2.43","1.78","2.39","0.28","3.50","-0.29","1.62","2.58","-0.90","0.00","1.68"
