"Udalerri kodea","Udalerria","2008","2007","2006"
"48001","Abadiño","1.63","1.65","1.54"
"20001","Abaltzisketa","0.00","0.00","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","1.39","1.42","0.40"
"20002","Aduna","2.44","2.50","4.27"
"20016","Aia","0.00","0.00","0.00"
"20003","Aizarnazabal","3.57","3.92","8.00"
"48911","Ajangiz","5.26","5.56","15.79"
"20004","Albiztur","2.63","2.94","0.00"
"20005","Alegia","0.00","0.00","0.00"
"01001","Alegría-Dulantzi","1.57","1.69","0.00"
"20006","Alkiza","0.00","0.00","0.00"
"48912","Alonsotegi","2.28","2.36","1.99"
"20906","Altzaga","0.00","0.00","0.00"
"20007","Altzo","7.89","7.69","7.50"
"20008","Amezketa","1.19","1.23","1.28"
"48003","Amorebieta-Etxano","0.92","0.83","0.76"
"48004","Amoroto","5.26","5.26","5.88"
"01002","Amurrio","1.22","1.10","1.17"
"20009","Andoain","1.03","1.02","0.57"
"20010","Anoeta","1.38","0.71","1.57"
"20011","Antzuola","2.78","2.94","3.01"
"48005","Arakaldo","0.00","0.00","0.00"
"20012","Arama","0.00","0.00","0.00"
"01003","Aramaio","1.19","1.18","0.00"
"48006","Arantzazu","0.00","0.00","0.00"
"48093","Areatza","1.04","1.27","0.00"
"20013","Aretxabaleta","0.67","0.69","1.02"
"01006","Armiñón","5.26","5.88","6.67"
"01037","Arraia-Maeztu","0.00","0.00","0.00"
"48009","Arrankudiaga","2.24","2.14","2.33"
"20055","Arrasate/Mondragón","0.54","0.55","1.04"
"48914","Arratzu","0.00","0.00","0.00"
"01008","Arratzua-Ubarrundia","0.00","0.00","0.00"
"48010","Arrieta","0.00","0.00","0.00"
"48011","Arrigorriaga","0.66","0.66","0.84"
"48023","Artea","0.00","0.00","0.00"
"48008","Artzentales","0.00","0.00","0.00"
"01004","Artziniega","2.14","2.34","1.68"
"01009","Asparrena","3.94","3.31","0.85"
"20014","Asteasu","0.53","0.53","0.56"
"20903","Astigarraga","0.44","0.45","0.48"
"20015","Ataun","0.00","0.00","0.00"
"48091","Atxondo","2.61","2.68","2.80"
"48070","Aulesti","0.00","0.00","0.00"
"01010","Ayala/Aiara","2.82","2.87","0.00"
"20017","Azkoitia","0.85","0.85","1.02"
"20018","Azpeitia","0.61","0.48","0.51"
"01049","Añana","0.00","0.00","0.00"
"48012","Bakio","1.03","0.00","0.00"
"20904","Baliarrain","0.00","0.00","0.00"
"48090","Balmaseda","0.50","0.54","0.18"
"48013","Barakaldo","0.19","0.18","0.26"
"48014","Barrika","0.00","0.00","0.00"
"01013","Barrundia","0.00","0.00","2.17"
"48015","Basauri","0.56","0.55","0.45"
"01011","Baños de Ebro/Mañueta","0.00","0.00","0.00"
"20019","Beasain","0.46","0.51","0.56"
"48092","Bedia","0.71","0.73","2.27"
"20020","Beizama","0.00","0.00","0.00"
"20021","Belauntza","0.00","0.00","0.00"
"48016","Berango","1.25","1.04","0.58"
"01014","Berantevilla","1.69","1.67","1.85"
"20022","Berastegi","1.30","1.41","2.90"
"20074","Bergara","1.57","1.35","1.33"
"48017","Bermeo","0.39","0.40","0.35"
"01016","Bernedo","0.00","0.00","0.00"
"48018","Berriatua","1.61","1.67","1.94"
"48019","Berriz","0.97","1.01","0.00"
"20023","Berrobi","3.12","3.12","0.00"
"20024","Bidania-Goiatz","0.00","0.00","0.00"
"48020","Bilbao","0.47","0.44","0.43"
"48021","Busturia","0.00","0.00","0.00"
"01017","Campezo/Kanpezu","0.00","0.00","0.00"
"20029","Deba","1.16","1.17","1.04"
"48901","Derio","1.91","1.77","1.57"
"48026","Dima","1.06","1.18","0.00"
"20069","Donostia / San Sebastián","0.38","0.35","0.36"
"48027","Durango","0.38","0.41","0.22"
"48028","Ea","0.00","0.00","0.00"
"20030","Eibar","0.46","0.46","0.26"
"48031","Elantxobe","0.00","0.00","0.00"
"01021","Elburgo/Burgelu","2.27","2.50","0.00"
"01022","Elciego","2.06","2.02","2.35"
"20031","Elduain","0.00","0.00","0.00"
"20033","Elgeta","2.44","2.34","1.63"
"20032","Elgoibar","1.29","1.19","1.35"
"48032","Elorrio","1.62","1.35","0.79"
"01023","Elvillar/Bilar","0.00","0.00","0.00"
"48902","Erandio","0.97","0.97","1.24"
"48033","Ereño","0.00","0.00","0.00"
"48034","Ermua","0.63","0.64","0.58"
"20067","Errenteria","0.13","0.12","0.13"
"20066","Errezil","2.04","2.17","2.33"
"01046","Erriberagoitia/Ribera Alta","0.00","0.00","0.00"
"48079","Errigoiti","0.00","0.00","4.55"
"20034","Eskoriatza","1.40","1.48","2.38"
"48029","Etxebarri","0.81","0.85","0.90"
"48030","Etxebarria","3.03","3.03","3.12"
"20035","Ezkio-Itsaso","2.86","3.12","1.14"
"48906","Forua","0.00","0.00","0.00"
"48035","Fruiz","0.00","0.00","0.00"
"20038","Gabiria","2.63","2.70","2.70"
"20037","Gaintza","0.00","0.00","0.00"
"48036","Galdakao","0.39","0.41","0.35"
"48037","Galdames","1.59","1.59","1.69"
"48038","Gamiz-Fika","0.00","0.00","0.00"
"48039","Garai","0.00","0.00","0.00"
"48040","Gatika","0.78","0.85","2.78"
"48041","Gautegiz Arteaga","0.00","0.00","0.00"
"20907","Gaztelu","0.00","0.00","0.00"
"48046","Gernika-Lumo","0.37","0.41","0.07"
"20039","Getaria","0.00","0.00","0.00"
"48044","Getxo","0.22","0.23","0.19"
"48047","Gizaburuaga","0.00","0.00","0.00"
"48042","Gordexola","0.00","0.00","0.00"
"48043","Gorliz","0.00","0.00","0.00"
"48045","Güeñes","0.22","0.22","0.23"
"01056","Harana/Valle de Arana","0.00","0.00","0.00"
"20040","Hernani","0.73","0.62","0.49"
"20041","Hernialde","0.00","0.00","0.00"
"20036","Hondarribia","0.22","0.23","0.41"
"20042","Ibarra","0.31","0.33","0.38"
"48048","Ibarrangelu","0.00","0.00","0.00"
"20043","Idiazabal","0.52","0.55","0.00"
"48094","Igorre","1.45","1.55","1.36"
"20044","Ikaztegieta","0.00","0.00","0.00"
"20045","Irun","0.21","0.20","0.18"
"20046","Irura","0.00","0.00","0.00"
"01027","Iruraiz-Gauna","0.00","0.00","0.00"
"01901","Iruña Oka/Iruña de Oca","0.87","0.92","1.98"
"48049","Ispaster","2.44","2.86","2.94"
"20047","Itsasondo","2.33","2.38","0.00"
"48910","Iurreta","2.02","2.05","1.08"
"48050","Izurtza","0.00","0.00","0.00"
"48022","Karrantza Harana/Valle de Carranza","0.88","0.92","0.93"
"48907","Kortezubi","0.00","0.00","0.00"
"01019","Kripan","0.00","0.00","0.00"
"01020","Kuartango","0.00","0.00","0.00"
"01028","Labastida/Bastida","0.00","0.00","0.00"
"01030","Lagrán","0.00","0.00","0.00"
"01031","Laguardia","1.56","1.63","1.06"
"01032","Lanciego/Lantziego","0.00","0.00","0.00"
"48051","Lanestosa","0.00","0.00","0.00"
"01902","Lantarón","9.09","8.97","2.78"
"01033","Lapuebla de Labarca","0.00","0.00","0.00"
"48052","Larrabetzu","2.53","1.27","1.35"
"20048","Larraul","31.25","30.77","0.00"
"20902","Lasarte-Oria","0.00","0.00","0.35"
"01036","Laudio/Llodio","0.47","0.48","0.25"
"48053","Laukiz","0.00","0.00","0.00"
"20049","Lazkao","0.24","0.26","0.28"
"20050","Leaburu","0.00","0.00","0.00"
"20051","Legazpi","1.60","1.68","0.97"
"20052","Legorreta","2.88","2.83","3.19"
"01058","Legutio","5.17","5.17","4.19"
"20068","Leintz-Gatzaga","0.00","0.00","0.00"
"48054","Leioa","0.81","0.80","0.65"
"48057","Lekeitio","0.19","0.19","0.21"
"48055","Lemoa","1.56","1.35","2.87"
"48056","Lemoiz","0.00","0.00","0.00"
"01034","Leza","0.00","0.00","0.00"
"48081","Lezama","1.11","1.09","1.10"
"20053","Lezo","0.14","0.00","0.30"
"20054","Lizartza","0.00","0.00","0.00"
"48903","Loiu","2.11","2.20","0.69"
"48058","Mallabia","1.37","0.98","1.08"
"48060","Markina-Xemein","0.76","0.79","0.29"
"48061","Maruri-Jatabe","0.00","0.00","0.00"
"48059","Mañaria","1.89","0.00","0.00"
"20901","Mendaro","1.82","1.83","0.76"
"48062","Mendata","0.00","0.00","0.00"
"48063","Mendexa","0.00","0.00","0.00"
"48064","Meñaka","0.00","0.00","0.00"
"01039","Moreda de Álava / Moreda Araba","0.00","0.00","0.00"
"48066","Morga","0.00","0.00","0.00"
"48068","Mundaka","4.73","4.35","0.00"
"48069","Mungia","0.90","0.86","0.78"
"48007","Munitibar-Arbatzegi Gerrikaitz-","0.00","0.00","0.00"
"48908","Murueta","0.00","0.00","0.00"
"48071","Muskiz","0.40","0.42","0.44"
"20057","Mutiloa","6.67","6.25","8.33"
"20056","Mutriku","0.00","0.00","0.00"
"48067","Muxika","0.93","0.93","0.00"
"48909","Nabarniz","0.00","0.00","0.00"
"01041","Navaridas","12.50","12.12","0.00"
"20063","Oiartzun","0.40","0.41","0.54"
"01042","Okondo","2.20","2.38","2.56"
"20058","Olaberria","1.55","1.67","1.79"
"48073","Ondarroa","0.15","0.15","0.00"
