"Udalerri kodea","Udalerria","2004","2003","2002","2001"
"48001","Abadiño","479.59","386.97","372.40","392.19"
"20001","Abaltzisketa","6.46","5.31","1.21","1.22"
"48002","Abanto y Ciérvana-Abanto Zierbena","11.556.30","134.05","131.22","41.40"
"20002","Aduna","110.02","81.44","1.903.92","32.81"
"20016","Aia","93.50","56.10","68.30","48.47"
"20003","Aizarnazabal","252.47","312.42","247.96","292.61"
"48911","Ajangiz","2.162.06","1.951.50","2.264.54","2.116.87"
"20004","Albiztur","7.40","5.70","11.71","41.33"
"20005","Alegia","49.02","32.07","36.58","25.53"
"01001","Alegría-Dulantzi","139.58","171.07","188.66","177.29"
"20006","Alkiza","6.74","5.80","1.30","1.21"
"48912","Alonsotegi","2.020.74","1.259.92","1.832.80","1.221.40"
"20906","Altzaga","6.91","6.08","1.38","1.13"
"20007","Altzo","35.74","15.27","6.96","47.44"
"20008","Amezketa","15.72","16.95","4.14","38.40"
"48003","Amorebieta-Etxano","1.130.08","929.96","1.022.86","978.47"
"48004","Amoroto","735.51","536.49","539.09","590.37"
"01002","Amurrio","1.368.09","1.345.83","1.214.27","1.030.76"
"20009","Andoain","39.49","44.77","36.73","37.15"
"20010","Anoeta","11.24","20.48","3.49","10.57"
"20011","Antzuola","204.74","211.37","176.04","174.48"
"48005","Arakaldo","7.56","3.89","1.92","1.75"
"20012","Arama","7.16","5.58","1.30","1.19"
"01003","Aramaio","9.16","6.39","3.29","2.35"
"48006","Arantzazu","26.63","4.22","1.99","1.70"
"48093","Areatza","9.44","4.61","2.12","1.68"
"20013","Aretxabaleta","342.59","44.25","54.38","46.36"
"01006","Armiñón","8.95","5.55","2.15","12.73"
"01037","Arraia-Maeztu","23.71","17.85","8.76","3.43"
"48009","Arrankudiaga","26.95","384.07","30.62","74.42"
"20055","Arrasate/Mondragón","179.50","148.68","139.07","114.11"
"48914","Arratzu","7.47","3.86","1.89","1.66"
"01008","Arratzua-Ubarrundia","21.65","38.03","2.28","7.63"
"48010","Arrieta","7.63","4.13","1.92","1.71"
"48011","Arrigorriaga","73.21","98.37","129.21","90.65"
"48023","Artea","8.54","4.11","1.93","19.65"
"48008","Artzentales","15.36","4.40","2.07","1.67"
"01004","Artziniega","85.43","72.23","31.96","49.77"
"01009","Asparrena","362.32","177.11","35.98","29.80"
"20014","Asteasu","43.51","83.45","40.06","57.87"
"20903","Astigarraga","48.64","36.57","32.47","31.98"
"20015","Ataun","32.53","23.70","40.44","30.03"
"48091","Atxondo","696.10","629.38","616.55","625.65"
"48070","Aulesti","7.64","4.09","3.15","1.69"
"01010","Ayala/Aiara","57.37","60.77","69.51","104.14"
"20017","Azkoitia","192.81","343.13","130.79","136.28"
"20018","Azpeitia","1.669.00","1.654.07","1.394.71","1.395.65"
"01049","Añana","7.17","6.19","44.62","36.32"
"48012","Bakio","7.55","5.58","3.55","0.07"
"20904","Baliarrain","7.30","6.01","1.37","29.34"
"48090","Balmaseda","43.16","35.52","54.30","70.36"
"48013","Barakaldo","56.60","98.42","25.03","15.06"
"48014","Barrika","7.60","6.82","1.96","1.77"
"01013","Barrundia","7.24","10.19","1.52","2.17"
"48015","Basauri","404.50","382.07","417.43","347.55"
"01011","Baños de Ebro/Mañueta","7.36","3.36","1.47","2.15"
"20019","Beasain","72.16","73.50","80.05","82.01"
"48092","Bedia","146.71","176.77","163.60","133.26"
"20020","Beizama","6.95","5.81","1.29","1.22"
"20021","Belauntza","146.75","15.87","1.86","16.34"
"48016","Berango","710.59","1.334.73","1.441.84","1.992.53"
"01014","Berantevilla","911.84","569.47","192.70","109.54"
"20022","Berastegi","21.36","14.64","7.04","3.23"
"20074","Bergara","905.41","958.19","1.151.89","824.09"
"48017","Bermeo","22.78","34.94","23.36","21.90"
"01016","Bernedo","62.15","28.21","160.64","23.19"
