"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48001","Abadiño","62.84","38.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20001","Abaltzisketa","19.48","12.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","56.19","27.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20002","Aduna","37.23","15.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20016","Aia","35.35","18.24","27.52","27.59","27.59","27.62","27.75","37.85","27.52","29.70","33.57","0.00"
"20003","Aizarnazabal","17.01","13.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48911","Ajangiz","9.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20004","Albiztur","38.04","10.87","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20005","Alegia","87.42","18.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01001","Alegría-Dulantzi","53.37","18.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20006","Alkiza","29.24","17.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48912","Alonsotegi","33.82","21.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20906","Altzaga","14.08","14.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20007","Altzo","81.76","13.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20008","Amezketa","32.37","10.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48003","Amorebieta-Etxano","69.28","25.81","18.55","18.79","18.96","19.04","19.43","19.66","15.88","11.86","12.14","12.92"
"48004","Amoroto","10.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01002","Amurrio","71.67","36.98","5.15","5.14","5.28","5.33","5.39","5.41","5.61","5.64","0.00","0.00"
"20009","Andoain","49.19","27.67","18.44","18.44","18.49","18.49","18.53","18.55","0.00","0.00","0.00","0.00"
"20010","Anoeta","84.07","40.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20011","Antzuola","45.60","17.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48005","Arakaldo","13.51","12.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","15.06","12.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48006","Arantzazu","18.60","9.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48093","Areatza","84.30","66.78","21.09","21.09","21.09","21.09","21.13","21.62","23.62","21.66","0.00","0.00"
"20013","Aretxabaleta","58.03","34.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01006","Armiñón","41.38","20.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01037","Arraia-Maeztu","29.21","5.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48009","Arrankudiaga","17.58","8.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20055","Arrasate/Mondragón","103.80","64.78","20.90","20.90","20.99","21.58","0.00","0.00","0.00","0.00","0.00","0.00"
"48914","Arratzu","81.82","82.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01008","Arratzua-Ubarrundia","33.33","17.72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48010","Arrieta","14.13","3.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48011","Arrigorriaga","129.35","70.85","39.53","39.53","19.96","19.96","19.96","19.96","11.98","11.96","11.97","12.16"
"48023","Artea","19.50","11.14","72.42","72.42","72.42","72.42","72.42","0.00","72.63","72.63","73.86","90.91"
"48008","Artzentales","26.39","21.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01004","Artziniega","45.82","43.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
