"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"48001","Abadiño","1.41","1.41","1.41","1.41","1.40","1.39","1.39","1.39","1.41","1.41","1.41"
"20001","Abaltzisketa","0.47","0.47","0.47","0.49","0.49","0.50","0.50","0.78","0.78","0.78","0.78"
"48002","Abanto y Ciérvana-Abanto Zierbena","3.82","4.13","4.13","4.61","4.61","4.14","4.71","4.74","4.78","4.78","3.97"
"20002","Aduna","0.52","0.52","0.52","0.52","0.52","0.52","0.52","0.52","0.53","1.15","1.15"
"20016","Aia","0.36","0.36","0.36","0.36","0.36","0.36","0.35","0.35","0.35","0.61","0.61"
"20003","Aizarnazabal","0.33","0.33","0.33","0.33","0.33","0.32","1.58","1.58","1.58","1.58","1.58"
"48911","Ajangiz","0.82","0.82","0.82","0.82","0.82","0.79","0.80","0.80","0.80","0.80","0.80"
"20004","Albiztur","0.30","0.31","0.31","0.31","0.31","0.30","0.31","1.01","1.01","1.01","1.01"
"20005","Alegia","1.73","1.73","1.72","1.71","1.71","1.75","1.72","1.96","1.96","1.96","1.96"
"01001","Alegría-Dulantzi","0.97","0.97","0.97","0.97","0.97","0.96","0.97","0.97","0.94","1.07","1.08"
"20006","Alkiza","0.23","0.23","0.23","0.23","0.23","0.23","0.22","0.31","0.31","0.31","0.31"
"48912","Alonsotegi","1.92","1.92","1.92","1.92","1.92","2.30","1.72","1.72","1.65","1.65","1.65"
"20906","Altzaga","0.76","0.76","0.76","0.78","0.78","0.74","1.68","1.68","1.68","1.68","1.68"
"20007","Altzo","0.38","0.40","0.41","0.40","0.40","0.39","0.39","0.81","0.81","0.81","0.81"
"20008","Amezketa","0.32","0.32","0.32","0.31","0.31","0.32","0.32","0.32","0.32","0.32","0.23"
"48003","Amorebieta-Etxano","1.21","1.21","1.21","1.21","1.21","1.22","1.22","1.22","1.25","1.25","1.25"
"48004","Amoroto","0.41","0.41","0.40","0.40","0.40","0.40","0.40","0.40","0.39","0.39","0.39"
"01002","Amurrio","0.70","0.69","0.69","0.69","0.69","0.68","0.68","0.68","0.69","0.69","0.69"
"20009","Andoain","1.82","1.82","1.82","1.81","1.81","0.62","0.72","0.72","0.72","0.72","0.72"
"20010","Anoeta","0.87","0.87","0.88","0.88","0.88","0.88","0.88","0.40","0.40","0.40","0.40"
"20011","Antzuola","0.39","0.39","0.39","0.39","0.39","0.39","0.60","0.52","0.52","0.52","0.52"
"48005","Arakaldo","2.47","2.47","2.47","2.47","2.47","2.49","2.59","2.59","2.58","2.58","2.58"
"20012","Arama","2.71","2.71","2.71","2.71","2.71","2.80","2.95","2.95","2.88","2.88","2.88"
"01003","Aramaio","0.34","0.34","0.28","0.28","0.20","0.21","0.21","0.21","0.23","0.23","0.23"
"48006","Arantzazu","2.09","2.09","2.09","2.09","2.09","1.95","1.95","1.95","1.89","1.89","1.93"
"48093","Areatza","0.31","0.31","0.31","0.31","0.31","0.31","0.31","0.31","0.27","0.27","0.25"
"20013","Aretxabaleta","0.66","0.66","0.66","0.66","0.71","0.66","0.65","0.65","0.65","0.65","0.65"
"01006","Armiñón","3.46","3.46","3.46","3.47","3.47","4.23","4.23","4.23","4.32","4.32","4.32"
"01037","Arraia-Maeztu","0.34","0.34","0.34","0.34","0.35","0.35","0.35","0.35","0.35","0.35","0.35"
"48009","Arrankudiaga","0.86","0.86","0.86","0.86","0.86","0.86","0.86","0.74","0.67","0.67","0.67"
"20055","Arrasate/Mondragón","1.12","1.12","1.12","1.12","0.77","0.82","0.74","0.74","0.63","0.63","0.63"
"48914","Arratzu","0.37","0.37","0.37","0.37","0.37","0.37","0.38","0.38","0.38","0.38","0.38"
"01008","Arratzua-Ubarrundia","1.68","1.68","1.68","1.68","1.18","1.18","1.18","1.18","1.12","1.13","1.13"
"48010","Arrieta","0.82","0.59","0.59","0.59","0.59","0.59","0.59","0.59","0.63","0.63","0.63"
"48011","Arrigorriaga","4.85","4.85","4.85","4.92","4.92","4.91","4.97","4.89","4.82","4.82","5.31"
"48023","Artea","0.76","0.76","0.76","0.76","0.76","0.76","0.76","0.76","0.79","0.79","0.79"
"48008","Artzentales","0.75","0.75","0.75","0.31","0.31","0.31","0.31","0.31","0.32","0.32","0.32"
