"Udalerri kodea","Udalerria","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20001","Abaltzisketa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","60.04","61.35","61.39","61.47","61.39","60.51","61.63","61.67","41.59"
"20002","Aduna","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20016","Aia","60.13","60.51","59.41","65.36","64.72","57.51","49.18","50.00","63.12"
"20003","Aizarnazabal","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48911","Ajangiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20004","Albiztur","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20005","Alegia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01001","Alegría-Dulantzi","95.06","98.43","103.31","111.61","122.55","123.15","57.89","62.50","63.22"
"20006","Alkiza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48912","Alonsotegi","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20007","Altzo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20008","Amezketa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48003","Amorebieta-Etxano","89.83","77.05","78.83","80.13","81.54","82.04","82.98","59.01","59.52"
"48004","Amoroto","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01002","Amurrio","34.04","35.00","35.86","36.91","39.95","40.93","32.12","32.28","33.31"
"20009","Andoain","40.21","41.87","43.56","37.12","38.35","26.98","27.48","28.10","28.48"
"20010","Anoeta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20011","Antzuola","20.15","21.00","21.39","21.98","0.00","0.00","0.00","0.00","0.00"
"48005","Arakaldo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48006","Arantzazu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48093","Areatza","0.00","0.00","0.00","0.00","140.85","139.53","110.60","113.74","109.59"
"20013","Aretxabaleta","136.11","143.58","172.14","21.96","22.39","23.05","23.05","23.90","24.49"
"01006","Armiñón","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01037","Arraia-Maeztu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48009","Arrankudiaga","0.00","0.00","0.00","0.00","33.71","0.00","0.00","0.00","0.00"
"20055","Arrasate/Mondragón","29.57","30.35","31.05","32.21","33.11","33.06","33.53","33.87","33.78"
"48914","Arratzu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01008","Arratzua-Ubarrundia","101.45","101.45","105.26","111.11","111.11","112.90","117.65","111.11","111.11"
"48010","Arrieta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48011","Arrigorriaga","71.39","72.93","79.36","3.49","0.00","3.56","0.00","0.00","0.00"
"48023","Artea","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48008","Artzentales","0.00","0.00","0.00","0.00","201.18","0.00","0.00","0.00","0.00"
"01004","Artziniega","189.09","189.78","194.03","200.77","203.12","206.35","215.77","220.34","226.09"
"01009","Asparrena","38.34","37.62","37.74","37.85","24.17","23.32","22.79","22.54","21.86"
"20014","Asteasu","26.32","27.27","27.15","27.78","27.91","29.13","29.85","30.46","30.61"
"20903","Astigarraga","25.21","28.32","29.47","25.34","31.81","33.20","34.56","35.16","35.09"
"20015","Ataun","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48091","Atxondo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48070","Aulesti","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01010","Ayala/Aiara","29.05","29.98","31.04","30.63","31.39","30.97","31.53","33.56","33.56"
"20017","Azkoitia","37.42","37.84","38.00","39.29","40.06","25.13","25.18","25.39","25.48"
"20018","Azpeitia","33.01","29.27","30.03","20.82","21.45","21.32","21.65","21.95","21.61"
"01049","Añana","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48012","Bakio","114.14","118.56","120.10","123.66","129.21","138.14","141.54","145.57","149.84"
"20904","Baliarrain","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48090","Balmaseda","107.06","111.73","113.28","55.94","56.81","56.74","55.77","55.73","55.17"
"48013","Barakaldo","40.72","45.05","41.48","42.10","37.95","25.92","25.13","23.41","22.14"
"48014","Barrika","806.82","855.42","848.61","816.09","828.79","816.09","850.62","841.67","825.20"
"01013","Barrundia","230.77","227.59","229.17","237.41","285.71","113.82","114.75","118.64","112.00"
"48015","Basauri","22.71","23.34","23.35","23.89","12.27","10.92","13.29","8.60","8.67"
"01011","Baños de Ebro/Mañueta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20019","Beasain","29.71","31.62","32.71","33.61","32.97","33.55","28.42","28.90","29.10"
"48092","Bedia","257.73","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20020","Beizama","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20021","Belauntza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48016","Berango","12.81","41.28","43.53","44.94","47.31","48.71","49.52","51.50","50.78"
"01014","Berantevilla","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20022","Berastegi","29.76","29.24","29.07","29.59","0.00","0.00","0.00","0.00","0.00"
"20074","Bergara","34.75","35.33","35.89","36.60","37.48","39.76","39.81","39.21","38.92"
"48017","Bermeo","38.95","39.01","21.78","22.13","25.79","25.75","25.24","26.14","28.20"
"01016","Bernedo","253.33","245.16","246.75","234.57","227.54","211.11","226.19","233.13","0.00"
"48018","Berriatua","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48019","Berriz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20023","Berrobi","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20024","Bidania-Goiatz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48020","Bilbao","45.44","40.60","40.76","38.58","43.41","43.18","36.85","35.81","35.36"
"48021","Busturia","313.11","318.52","329.92","379.22","314.81","309.90","314.81","318.18","326.92"
"01017","Campezo/Kanpezu","50.36","49.82","50.72","50.36","65.22","29.85","30.89","30.19","30.42"
"20029","Deba","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48901","Derio","127.41","157.05","159.77","164.36","172.38","180.24","186.94","182.14","190.30"
"48026","Dima","314.18","312.98","316.60","309.43","298.18","291.97","229.89","231.66","153.85"
"20069","Donostia / San Sebastián","57.71","60.52","62.00","61.37","62.38","62.60","58.27","56.97","51.16"
"48027","Durango","37.33","38.12","38.49","39.44","39.19","39.97","25.12","19.55","16.52"
"48028","Ea","93.75","95.45","90.91","88.50","88.50","88.11","90.09","89.29","93.02"
"20030","Eibar","36.95","39.25","39.84","39.18","40.45","42.47","45.18","46.91","46.65"
"48031","Elantxobe","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01021","Elburgo/Burgelu","358.49","358.49","387.76","304.35","283.02","277.78","274.51","277.78","314.81"
"01022","Elciego","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20031","Elduain","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20033","Elgeta","14.78","15.23","0.00","0.00","0.00","0.00","0.00","14.78","0.00"
"20032","Elgoibar","19.88","20.01","20.41","20.72","20.93","22.10","21.48","21.82","22.32"
"48032","Elorrio","41.91","42.70","43.21","43.75","45.10","44.94","44.72","45.71","45.81"
"01023","Elvillar/Bilar","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48902","Erandio","103.61","106.70","110.08","114.47","119.75","63.12","63.92","61.40","62.68"
"48033","Ereño","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48034","Ermua","40.67","42.06","44.09","0.00","0.00","0.00","0.00","0.00","0.00"
"20067","Errenteria","32.90","32.62","33.78","34.89","35.95","36.90","37.54","38.63","38.57"
"20066","Errezil","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01046","Erriberagoitia/Ribera Alta","220.00","211.54","163.27","158.94","195.80","197.18","171.43","163.27","163.27"
"48079","Errigoiti","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20034","Eskoriatza","42.78","44.02","45.65","46.51","48.12","54.63","50.00","50.55","50.39"
"48029","Etxebarri","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48030","Etxebarria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20035","Ezkio-Itsaso","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48906","Forua","218.91","221.11","224.49","218.91","224.49","220.00","218.91","224.49","55.56"
"48035","Fruiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20038","Gabiria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20037","Gaintza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48036","Galdakao","43.34","44.54","45.64","47.14","47.46","41.96","24.28","17.18","13.81"
"48037","Galdames","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","106.80"
"48038","Gamiz-Fika","150.00","148.15","150.63","153.19","153.19","156.52","153.19","156.52","153.85"
"48039","Garai","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48040","Gatika","96.09","107.57","114.89","117.90","117.90","116.38","121.08","120.54","117.39"
"48041","Gautegiz Arteaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20907","Gaztelu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48046","Gernika-Lumo","43.62","38.56","39.45","40.51","42.10","30.37","29.64","30.14","31.09"
"20039","Getaria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48044","Getxo","29.40","29.64","31.22","31.71","32.22","29.50","28.03","28.59","24.95"
"48047","Gizaburuaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48042","Gordexola","61.50","60.05","60.21","59.90","61.50","62.50","63.01","63.54","64.07"
"48043","Gorliz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48045","Güeñes","20.67","20.97","21.59","21.45","21.61","21.22","21.22","21.19","20.92"
"01056","Harana/Valle de Arana","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20040","Hernani","33.63","34.33","34.82","36.10","36.97","37.45","36.94","37.45","37.72"
"20041","Hernialde","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20036","Hondarribia","18.42","19.11","20.11","19.04","24.11","24.97","25.67","26.49","26.97"
"20042","Ibarra","0.00","7.81","12.38","0.00","0.00","0.00","0.00","0.00","0.00"
"48048","Ibarrangelu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20043","Idiazabal","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48094","Igorre","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20044","Ikaztegieta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20045","Irun","35.65","36.44","35.40","34.02","33.37","34.03","35.53","36.25","36.23"
"20046","Irura","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01027","Iruraiz-Gauna","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01901","Iruña Oka/Iruña de Oca","115.62","117.09","120.13","122.52","140.94","152.78","0.00","0.00","159.42"
"48049","Ispaster","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20047","Itsasondo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48910","Iurreta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48050","Izurtza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48022","Karrantza Harana/Valle de Carranza","80.56","82.86","84.30","84.18","83.10","84.65","82.15","82.62","81.81"
"48907","Kortezubi","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01019","Kripan","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01020","Kuartango","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01028","Labastida/Bastida","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01030","Lagrán","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01031","Laguardia","45.60","46.36","47.62","47.95","49.83","48.86","49.18","48.54","47.32"
"01032","Lanciego/Lantziego","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48051","Lanestosa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01902","Lantarón","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01033","Lapuebla de Labarca","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48052","Larrabetzu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20048","Larraul","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20902","Lasarte-Oria","17.00","18.16","18.98","19.84","21.12","22.02","23.22","24.58","25.54"
"01036","Laudio/Llodio","15.76","16.13","16.72","17.08","17.44","17.95","17.75","18.87","19.32"
"48053","Laukiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20049","Lazkao","114.29","116.25","119.47","118.29","121.21","0.00","0.00","0.00","0.00"
"20050","Leaburu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20051","Legazpi","53.54","54.40","56.21","57.47","46.67","46.93","47.35","48.17","42.58"
"20052","Legorreta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01058","Legutio","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20068","Leintz-Gatzaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48054","Leioa","69.18","66.90","76.98","79.13","82.76","87.72","89.20","93.08","94.71"
"48057","Lekeitio","52.17","52.38","52.51","53.29","51.45","52.02","52.96","53.63","51.17"
"48055","Lemoa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48056","Lemoiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01034","Leza","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
