"Udalerri kodea","Udalerria","2009","2008","2007"
"48001","Abadiño","0.00","0.00","0.00"
"20001","Abaltzisketa","0.00","0.00","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","0.00","0.00","0.00"
"20002","Aduna","0.00","0.00","0.00"
"20016","Aia","0.00","0.00","0.00"
"20003","Aizarnazabal","0.00","0.00","0.00"
"48911","Ajangiz","0.00","0.00","0.00"
"20004","Albiztur","0.00","0.00","0.00"
"20005","Alegia","0.00","0.00","0.00"
"01001","Alegría-Dulantzi","0.00","0.00","0.00"
"20006","Alkiza","0.00","0.00","0.00"
"48912","Alonsotegi","0.00","0.00","0.00"
"20906","Altzaga","0.00","0.00","0.00"
"20007","Altzo","0.00","0.00","0.00"
"20008","Amezketa","0.00","0.00","0.00"
"48003","Amorebieta-Etxano","20.35","20.59","20.86"
"48004","Amoroto","0.00","0.00","0.00"
"01002","Amurrio","33.30","33.51","34.01"
"20009","Andoain","19.07","19.41","19.70"
"20010","Anoeta","0.00","0.00","0.00"
"20011","Antzuola","0.00","0.00","0.00"
"48005","Arakaldo","0.00","0.00","0.00"
"20012","Arama","0.00","0.00","0.00"
"01003","Aramaio","0.00","0.00","0.00"
"48006","Arantzazu","0.00","0.00","0.00"
"48093","Areatza","0.00","0.00","0.00"
"20013","Aretxabaleta","14.80","0.00","0.00"
"01006","Armiñón","0.00","0.00","0.00"
"01037","Arraia-Maeztu","0.00","0.00","0.00"
"48009","Arrankudiaga","0.00","0.00","0.00"
"20055","Arrasate/Mondragón","11.10","11.15","11.08"
"48914","Arratzu","0.00","0.00","0.00"
"01008","Arratzua-Ubarrundia","0.00","0.00","0.00"
"48010","Arrieta","0.00","0.00","0.00"
"48011","Arrigorriaga","0.00","0.00","0.00"
"48023","Artea","0.00","0.00","0.00"
"48008","Artzentales","0.00","0.00","0.00"
"01004","Artziniega","0.00","0.00","0.00"
"01009","Asparrena","0.00","0.00","0.00"
"20014","Asteasu","0.00","0.00","0.00"
"20903","Astigarraga","0.00","0.00","0.00"
"20015","Ataun","209.46","211.61","218.89"
"48091","Atxondo","0.00","0.00","0.00"
"48070","Aulesti","0.00","0.00","0.00"
"01010","Ayala/Aiara","0.00","0.00","0.00"
"20017","Azkoitia","47.93","48.69","50.06"
"20018","Azpeitia","0.00","0.00","0.00"
"01049","Añana","0.00","0.00","0.00"
"48012","Bakio","0.00","0.00","0.00"
"20904","Baliarrain","0.00","0.00","0.00"
"48090","Balmaseda","34.94","41.82","42.22"
"48013","Barakaldo","60.55","61.26","66.20"
"48014","Barrika","0.00","0.00","0.00"
"01013","Barrundia","0.00","0.00","0.00"
"48015","Basauri","60.37","59.93","59.54"
"01011","Baños de Ebro/Mañueta","0.00","0.00","0.00"
"20019","Beasain","33.19","33.31","34.80"
"48092","Bedia","0.00","0.00","0.00"
"20020","Beizama","0.00","0.00","0.00"
"20021","Belauntza","0.00","0.00","0.00"
"48016","Berango","0.00","0.00","0.00"
"01014","Berantevilla","0.00","0.00","0.00"
"20022","Berastegi","0.00","0.00","0.00"
"20074","Bergara","0.00","0.00","0.00"
"48017","Bermeo","8.21","8.21","8.26"
"01016","Bernedo","0.00","0.00","0.00"
"48018","Berriatua","0.00","0.00","0.00"
"48019","Berriz","0.00","0.00","0.00"
"20023","Berrobi","0.00","0.00","0.00"
"20024","Bidania-Goiatz","0.00","0.00","0.00"
"48020","Bilbao","13.13","13.19","12.61"
"48021","Busturia","0.00","0.00","0.00"
"01017","Campezo/Kanpezu","0.00","0.00","0.00"
"20029","Deba","64.72","64.77","65.21"
"48901","Derio","24.50","0.00","0.00"
"48026","Dima","0.00","0.00","0.00"
"20069","Donostia / San Sebastián","29.00","29.17","29.36"
"48027","Durango","28.34","28.71","29.12"
"48028","Ea","0.00","0.00","0.00"
"20030","Eibar","20.06","20.00","34.67"
"48031","Elantxobe","0.00","0.00","0.00"
"01021","Elburgo/Burgelu","0.00","0.00","0.00"
"01022","Elciego","0.00","0.00","0.00"
"20031","Elduain","0.00","0.00","0.00"
"20033","Elgeta","0.00","0.00","0.00"
"20032","Elgoibar","35.65","0.00","36.72"
"48032","Elorrio","74.72","75.37","76.15"
"01023","Elvillar/Bilar","0.00","0.00","0.00"
"48902","Erandio","0.00","0.00","0.00"
"48033","Ereño","0.00","0.00","0.00"
"48034","Ermua","0.00","37.91","37.94"
"20067","Errenteria","32.19","32.41","32.55"
"20066","Errezil","0.00","0.00","0.00"
"01046","Erriberagoitia/Ribera Alta","0.00","0.00","0.00"
"48079","Errigoiti","0.00","0.00","0.00"
"20034","Eskoriatza","0.00","0.00","0.00"
"48029","Etxebarri","0.00","0.00","0.00"
"48030","Etxebarria","0.00","0.00","0.00"
"20035","Ezkio-Itsaso","0.00","0.00","0.00"
"48906","Forua","0.00","0.00","0.00"
"48035","Fruiz","0.00","0.00","0.00"
"20038","Gabiria","0.00","0.00","0.00"
"20037","Gaintza","0.00","0.00","0.00"
"48036","Galdakao","13.69","13.68","13.71"
"48037","Galdames","0.00","0.00","0.00"
"48038","Gamiz-Fika","0.00","0.00","0.00"
"48039","Garai","0.00","0.00","0.00"
"48040","Gatika","0.00","0.00","0.00"
"48041","Gautegiz Arteaga","0.00","0.00","0.00"
"20907","Gaztelu","0.00","0.00","0.00"
"48046","Gernika-Lumo","21.12","21.10","21.21"
"20039","Getaria","0.00","0.00","0.00"
"48044","Getxo","28.13","29.68","29.51"
"48047","Gizaburuaga","0.00","0.00","0.00"
"48042","Gordexola","0.00","0.00","0.00"
"48043","Gorliz","0.00","0.00","0.00"
"48045","Güeñes","0.00","0.00","0.00"
"01056","Harana/Valle de Arana","0.00","0.00","0.00"
"20040","Hernani","0.00","0.00","0.00"
"20041","Hernialde","0.00","0.00","0.00"
"20036","Hondarribia","0.00","0.00","0.00"
"20042","Ibarra","0.00","0.00","0.00"
"48048","Ibarrangelu","0.00","0.00","0.00"
"20043","Idiazabal","0.00","0.00","0.00"
