"Udalerri kodea","Udalerria","2009","2008","2007","2006","2005"
"48001","Abadiño","6.02","6.06","6.39","6.30","5.17"
"20001","Abaltzisketa","12.27","12.66","12.62","13.16","13.56"
"48002","Abanto y Ciérvana-Abanto Zierbena","5.14","5.08","3.64","3.64","2.08"
"20002","Aduna","20.98","17.46","15.96","21.62","10.87"
"20016","Aia","10.46","12.77","6.47","6.56","6.77"
"20003","Aizarnazabal","4.24","4.48","4.59","4.70","4.89"
"48911","Ajangiz","4.44","4.49","4.49","4.52","4.54"
"20004","Albiztur","12.70","6.41","9.55","6.62","6.83"
"20005","Alegia","4.57","4.62","3.51","4.74","4.79"
"01001","Alegría-Dulantzi","5.53","6.11","6.49","3.04","3.20"
"20006","Alkiza","11.33","11.20","11.53","9.32","9.38"
"48912","Alonsotegi","5.66","5.64","4.24","8.20","7.18"
"20906","Altzaga","12.58","12.42","12.74","12.82","13.07"
"20007","Altzo","10.05","9.95","10.00","10.55","11.14"
"20008","Amezketa","5.03","4.04","5.09","4.19","4.11"
"48003","Amorebieta-Etxano","4.23","4.32","4.26","3.45","3.16"
"48004","Amoroto","7.25","7.35","7.43","7.33","7.58"
"01002","Amurrio","5.37","5.35","4.69","4.66","4.36"
"20009","Andoain","4.37","4.36","3.88","4.36","4.33"
"20010","Anoeta","6.49","6.48","5.52","6.72",NA
"20011","Antzuola","2.78","2.77","2.80","2.83","2.89"
"48005","Arakaldo","26.79","21.05","21.51","10.31","10.64"
"20012","Arama","13.76","15.08","10.64","10.87","11.56"
"01003","Aramaio","12.02","12.01","8.73","8.04","8.05"
"48006","Arantzazu","12.31","9.84","13.03","9.84","10.20"
"48093","Areatza","5.25","5.31","4.50","4.63","4.66"
"20013","Aretxabaleta","4.63","3.14","2.56","3.05","3.09"
"01006","Armiñón","13.33","19.32","5.05","10.05","11.17"
"01037","Arraia-Maeztu","21.19","21.13","18.39","18.11","17.86"
"48009","Arrankudiaga","14.13","14.30","14.69","14.15","14.56"
"20055","Arrasate/Mondragón","3.54","3.40","3.41","3.12","3.05"
"48914","Arratzu","15.83","24.00","25.14","25.50","25.64"
"01008","Arratzua-Ubarrundia","26.29","26.06","26.61","27.27","27.84"
"48010","Arrieta","8.96","9.07","7.26","1.81","1.85"
"48011","Arrigorriaga","2.59","2.41","2.98","3.00","2.53"
"48023","Artea","5.26","3.99","2.75","2.94","2.96"
"48008","Artzentales","12.35","12.64","12.68","13.12","13.08"
"01004","Artziniega","14.85","13.75","10.20","9.40","9.81"
"01009","Asparrena","13.10","11.56","16.30","16.48","16.42"
"20014","Asteasu","5.43","5.41","4.70","4.81","4.92"
"20903","Astigarraga","6.16","3.21","3.10","3.19","3.30"
"20015","Ataun","6.59","6.58","6.65","8.13","8.26"
"48091","Atxondo","9.77","11.00","10.30","6.91","6.94"
"48070","Aulesti","8.82","7.32","7.35","4.45","4.45"
"01010","Ayala/Aiara","11.67","10.86","8.86","7.59","7.62"
"20017","Azkoitia","3.52","3.55","3.61","3.71","3.57"
"20018","Azpeitia","3.64","3.41","3.46","3.49","2.58"
"01049","Añana","11.43","11.36","11.36","11.05","10.99"
"48012","Bakio","9.31","6.49","6.64","0.46","7.10"
"20904","Baliarrain","8.33","9.09","10.00","10.99","10.53"
"48090","Balmaseda","3.12","2.61","2.65","1.97","1.98"
"48013","Barakaldo","2.72","2.70","2.58","1.87","1.88"
"48014","Barrika","16.14","16.56","16.94","9.96","10.18"
"01013","Barrundia","23.08","24.00","24.97","25.67","26.42"
"48015","Basauri","2.54","2.53","2.49","2.47","2.29"
"01011","Baños de Ebro/Mañueta","6.08","9.01","5.60","5.60","5.45"
"20019","Beasain","3.80","3.84","3.85","4.72","4.81"
"48092","Bedia","7.25","7.28","6.11","1.02","1.02"
"20020","Beizama","10.93","11.11","11.11","5.49","5.88"
"20021","Belauntza","6.76","6.85","18.81","19.61","16.29"
"48016","Berango","7.26","7.74","7.92","8.12","6.99"
"01014","Berantevilla","12.02","9.13","15.66","15.70","15.84"
"20022","Berastegi","3.81","3.87","2.91","2.99","2.99"
"20074","Bergara","3.62","3.60","3.66","3.44","3.43"
"48017","Bermeo","4.35","4.43","3.07","3.09","2.78"
"01016","Bernedo","20.87","15.65","20.41","18.93","19.33"
"48018","Berriatua","6.23","5.35","5.46","5.68","5.10"
"48019","Berriz","3.89","3.89","3.93","4.41","4.49"
"20023","Berrobi","6.94","5.00","5.09","5.11","5.10"
"20024","Bidania-Goiatz","13.18","7.84","8.13","8.28","8.62"
"48020","Bilbao","2.28","2.21","1.84","1.99","1.84"
"48021","Busturia","3.97","4.01","4.08","4.04","4.08"
"01017","Campezo/Kanpezu","11.55","11.63","9.03","8.14","8.37"
"20029","Deba","4.83","4.81","4.81","2.98","2.82"
"48901","Derio","7.07","6.78","6.85","7.13","6.85"
"48026","Dima","9.14","9.20","9.48","7.26","7.79"
"20069","Donostia / San Sebastián","2.33","2.31","2.01","2.07","2.02"
"48027","Durango","4.60","4.46","4.49","3.68","3.22"
"48028","Ea","3.34","3.31","7.85","8.05","4.74"
"20030","Eibar","2.70","2.70","2.58","2.59","2.51"
"48031","Elantxobe","6.83","4.54","6.85","4.47","4.50"
"01021","Elburgo/Burgelu","11.88","20.33","11.41","11.45","12.50"
"01022","Elciego","4.76","5.74","5.85","5.99","6.44"
"20031","Elduain","8.51","8.40","4.24","8.81","9.30"
"20033","Elgeta","5.56","4.68","4.76","3.81","3.92"
"20032","Elgoibar","4.06","4.19","4.07","4.13","3.84"
"48032","Elorrio","4.55","4.57","4.33","3.95","3.93"
"01023","Elvillar/Bilar","8.17","5.42","5.60","5.62","5.71"
"48902","Erandio","3.21","3.17","3.17","2.50","2.54"
"48033","Ereño","15.50","15.50","11.86","15.38","15.56"
"48034","Ermua","2.22","2.22","2.09","2.09","2.08"
"20067","Errenteria","2.67","2.68","2.70","2.48","2.51"
"20066","Errezil","8.12","15.92","16.03","9.48","9.82"
"01046","Erriberagoitia/Ribera Alta","20.00","15.11","14.18","14.64","16.61"
"48079","Errigoiti","7.56","7.80","7.72","7.83","7.98"
"20034","Eskoriatza","3.95","3.94","3.44","3.54","3.31"
"48029","Etxebarri","3.93","3.60","4.22","3.68","3.80"
"48030","Etxebarria","8.53","7.22","7.21","7.29","7.39"
"20035","Ezkio-Itsaso","9.87","10.19",NA,"8.77",NA
"48906","Forua","4.94","4.92","5.07","8.29","8.21"
"48035","Fruiz","13.33","7.09","7.35","7.43","7.46"
"20038","Gabiria","8.13","8.44","8.93","11.52","11.66"
"20037","Gaintza","15.62","15.15","15.15","14.71","15.15"
"48036","Galdakao","2.97","2.91","2.91","1.37","1.19"
"48037","Galdames","13.13","13.14","12.30","13.27","13.53"
"48038","Gamiz-Fika","3.01","3.03","1.56","1.56","1.55"
"48039","Garai","12.38","12.58","12.46","12.94","14.34"
"48040","Gatika","4.46","4.49","7.89","2.73","2.82"
"48041","Gautegiz Arteaga","5.75","4.57","4.60","4.59","4.54"
"20907","Gaztelu","6.02","6.33","6.02","5.88","6.58"
"48046","Gernika-Lumo","3.56","3.57","3.45","3.15","2.76"
"20039","Getaria","6.73","6.47","6.58","6.33","6.34"
"48044","Getxo","2.33","2.39","2.17","1.52","1.46"
"48047","Gizaburuaga","14.93","10.20","16.48","11.49","11.17"
"48042","Gordexola","8.62","8.62","7.04","6.09","5.66"
"48043","Gorliz","5.45","4.81","5.30","3.48","3.37"
"48045","Güeñes","4.79","4.88","4.94","4.35","4.05"
"01056","Harana/Valle de Arana","13.51","13.11","12.86","12.78","12.16"
"20040","Hernani","3.58","1.87","1.87","2.62","2.64"
"20041","Hernialde","14.37","11.56","14.58","14.97","14.97"
"20036","Hondarribia","4.43","4.07","4.11","3.94","4.11"
"20042","Ibarra","4.14","4.15","3.72","3.04","3.02"
"48048","Ibarrangelu","13.03","12.99","13.09","10.12","10.45"
"20043","Idiazabal","3.98","3.98","4.07","5.49",NA
"48094","Igorre","5.90","5.90","5.53","2.70","2.46"
"20044","Ikaztegieta","10.64","10.75","4.36","4.40","4.42"
"20045","Irun","3.64","3.64","3.55","3.46","3.55"
"20046","Irura","6.98","7.26","4.94","5.51","5.87"
"01027","Iruraiz-Gauna","23.48","24.34","24.69","22.77","23.21"
"01901","Iruña Oka/Iruña de Oca","13.12","4.50","4.67","5.03","5.33"
"48049","Ispaster","11.98","12.08","10.57","11.13","11.33"
"20047","Itsasondo","9.08","9.24","6.34","8.20","6.77"
"48910","Iurreta","6.82","5.99","5.71","5.46",NA
"48050","Izurtza","11.11","11.63","11.54","8.16","7.97"
"48022","Karrantza Harana/Valle de Carranza","6.46","6.41","6.36","6.39","5.64"
