"Udalerri kodea","Udalerria","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","17.80","17.99","16.90","16.05","12.97","13.31"
"20001","Abaltzisketa","0.00","0.00","0.00","0.00","0.00","0.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","13.94","14.25","11.95","12.78","10.40","6.25"
"20002","Aduna","24.39","25.00","25.64","27.52","27.52","9.35"
"20016","Aia","0.00","0.00","0.00","0.00","0.00","0.00"
"20003","Aizarnazabal","71.43","78.43","60.00","68.18","69.77","81.08"
"48911","Ajangiz","52.63","55.56","52.63","52.63","55.56","55.56"
"20004","Albiztur","26.32","29.41","0.00","0.00","0.00","0.00"
"20005","Alegia","0.00","0.00","0.00","0.00","0.00","0.00"
"01001","Alegría-Dulantzi","15.71","16.95","12.05","6.67","7.46","8.06"
"20006","Alkiza","0.00","0.00","0.00","0.00","0.00","0.00"
"48912","Alonsotegi","22.81","23.62","19.92","21.46","17.86","13.33"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","0.00"
"20007","Altzo","78.95","76.92","75.00","73.17","90.91","0.00"
"20008","Amezketa","11.90","12.35","12.82","13.33","13.16","12.66"
"48003","Amorebieta-Etxano","9.19","8.33","8.34","6.75","4.81","4.98"
"48004","Amoroto","52.63","52.63","58.82","55.56","55.56","0.00"
"01002","Amurrio","12.18","11.03","11.73","7.43","6.04","6.17"
"20009","Andoain","10.29","10.20","8.20","6.04","5.49","4.59"
"20010","Anoeta","13.79","7.14","7.87","8.00","0.00","0.00"
"20011","Antzuola","27.78","29.41","22.56","14.81","7.58","7.46"
"48005","Arakaldo","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","0.00","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","11.90","11.76","0.00","0.00","0.00","0.00"
"48006","Arantzazu","0.00","0.00","0.00","0.00","0.00","0.00"
"48093","Areatza","10.42","12.66","13.70","13.89","0.00","0.00"
"20013","Aretxabaleta","6.67","6.88","7.67","7.98","8.20","8.11"
"01006","Armiñón","52.63","58.82","66.67","62.50","62.50","58.82"
"01037","Arraia-Maeztu","0.00","0.00","0.00","0.00","0.00","0.00"
