"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009"
"48001","Abadiño","46.17","45.27","44.21","44.85","45.61","43.93","42.61"
"20001","Abaltzisketa","54.62","48.74","49.59","52.50","59.32","53.45","50.83"
"48002","Abanto y Ciérvana-Abanto Zierbena","42.84","41.98","40.15","39.63","40.44","39.83","36.45"
"20002","Aduna","55.28","50.31","48.45","45.68","52.83","52.41","54.43"
"20016","Aia","20.98","19.69","19.95","20.47","19.74","19.71","20.30"
"20003","Aizarnazabal","49.66","48.28","50.51","49.31","47.42","46.04","49.27"
"48911","Ajangiz","45.21","44.68","41.49","42.33","43.39","37.37","37.82"
"20004","Albiztur","56.56","57.38","56.00","53.28","59.35","56.80","51.61"
"20005","Alegia","49.13","46.97","45.13","45.44","42.22","39.83","39.61"
"01001","Alegría-Dulantzi","52.29","52.29","50.87","49.44","48.44","44.02","41.44"
"20006","Alkiza","57.14","61.11","48.87","48.87","47.69","48.00","44.35"
"48912","Alonsotegi","37.80","36.28","35.26","36.52","35.10","33.57","32.10"
"20906","Altzaga","50.82","47.54","48.28","47.37","42.86","39.29","46.30"
"20007","Altzo","41.72","40.40","41.50","42.86","43.36","40.71","37.23"
"20008","Amezketa","44.29","42.90","42.71","40.99","41.51","36.48","35.96"
"48003","Amorebieta-Etxano","46.05","44.93","43.02","43.51","44.31","42.66","41.95"
"48004","Amoroto","43.98","40.36","40.00","40.74","47.80","45.06","40.61"
"01002","Amurrio","43.38","41.97","42.17","42.92","43.59","41.84","41.81"
"20009","Andoain","44.45","44.38","42.97","42.80","43.14","41.69","41.04"
"20010","Anoeta","47.39","45.48","43.42","45.59","47.24","44.96","45.55"
"20011","Antzuola","47.79","47.79","45.62","43.46","43.71","40.62","39.44"
"48005","Arakaldo","34.55","21.82","30.61","30.95","31.71","22.73","17.07"
"20012","Arama","44.44","40.74","43.90","40.00","48.68","42.50","38.27"
"01003","Aramaio","50.17","48.46","51.31","50.09","48.64","46.35","45.52"
"48006","Arantzazu","38.36","34.59","36.08","34.62","31.85","29.11","31.25"
"48093","Areatza","44.08","42.33","42.13","40.60","37.69","35.77","36.58"
"20013","Aretxabaleta","51.55","50.78","50.38","49.42","51.65","51.47","49.30"
"01006","Armiñón","31.63","34.69","30.30","25.00","27.37","22.68","27.37"
"01037","Arraia-Maeztu","38.15","40.37","40.88","40.21","38.83","37.72","38.30"
"48009","Arrankudiaga","42.23","41.02","37.90","36.17","40.53","35.24","35.91"
"20055","Arrasate/Mondragón","43.12","43.10","44.39","45.08","47.69","47.28","47.17"
"48914","Arratzu","38.73","37.57","39.88","40.88","39.63","39.76","35.80"
"01008","Arratzua-Ubarrundia","48.96","47.41","45.76","46.61","46.94","45.12","45.60"
"48010","Arrieta","46.32","39.39","40.60","44.64","46.82","42.53","35.06"
"48011","Arrigorriaga","40.20","39.38","38.07","38.43","36.89","36.10","35.14"
"48023","Artea","36.53","39.01","37.89","38.34","35.45","35.93","34.53"
"48008","Artzentales","38.67","35.67","33.33","31.00","35.12","34.97","32.38"
"01004","Artziniega","40.31","40.70","39.61","39.11","40.49","37.37","35.37"
"01009","Asparrena","42.07","40.30","39.79","38.17","38.10","39.89","38.52"
"20014","Asteasu","53.11","54.88","54.97","53.10","51.72","48.28","47.08"
