"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"48001","Abadiño","11.53","12.34","12.50","12.24","13.44","15.68","16.34","16.76","16.17","14.99","15.36","13.00","12.97","13.14","13.62","13.89","14.13"
"20001","Abaltzisketa","2.78","3.03","2.94","5.13","10.00","14.81","16.00","16.67","14.81","16.67","13.04","18.75","17.65","21.05","20.00","25.00","18.18"
"48002","Abanto y Ciérvana-Abanto Zierbena","18.06","18.88","18.97","20.29","20.00","20.51","21.24","21.74","21.80","22.54","22.84","22.59","20.51","19.84","19.11","18.86","17.63"
"20002","Aduna","14.00","15.32","14.78","14.41","16.39","15.79","16.67","16.53","14.63","13.33","11.97","10.09","11.93","11.21","10.91","14.91","12.28"
"20016","Aia","13.58","13.00","11.90","12.08","12.76","21.53","21.56","21.78","21.78","20.19","18.23","17.68","16.07","15.06","12.94","13.55","11.39"
"20003","Aizarnazabal","6.94","7.35","9.21","8.00","6.67","11.67","9.43","10.71","8.93","13.73","12.00","13.64","13.95","8.11","7.14","6.98","6.25"
"48911","Ajangiz","6.90","6.67","8.00","7.69","7.41","18.18","20.83","25.00","21.05","16.67","21.05","15.79","16.67","16.67","10.53","10.53","11.11"
"20004","Albiztur","14.29","13.51","12.20","11.63","9.30","12.90","16.22","17.14","13.16","14.71","12.50","11.11","11.11","10.71","12.50","9.52","11.54"
"20005","Alegia","16.28","15.79","15.83","15.94","16.67","17.97","22.14","22.73","22.96","25.19","24.09","23.88","24.29","22.70","21.74","18.44","18.25"
"01001","Alegría-Dulantzi","17.46","19.44","18.28","17.93","16.56","14.71","14.92","17.65","17.28","17.51","16.87","16.00","17.16","16.13","17.24","17.92","16.13"
"20006","Alkiza","7.69","5.13","5.26","8.33","13.89","19.23","22.22","20.00","17.86","17.86","14.81","8.00","8.70","8.70","9.09","14.29","17.39"
"48912","Alonsotegi","15.53","16.09","14.91","16.02","16.67","19.82","21.74","21.62","20.15","19.29","19.12","16.74","14.73","14.67","15.09","12.68","11.21"
"20906","Altzaga","25.00","21.43","15.38","23.53","26.67","36.36","46.15","40.00","33.33","42.86","38.46","35.71","35.71","38.46","23.08","27.27","30.00"
"20007","Altzo","15.22","14.89","17.02","16.33","19.15","25.00","21.62","21.05","15.79","12.82","15.00","12.20","15.15","18.75","20.69","23.08","16.00"
"20008","Amezketa","21.90","21.50","22.61","21.24","24.27","31.88","33.73","35.63","30.95","32.10","32.05","29.33","34.21","36.71","36.71","34.94","30.12"
"48003","Amorebieta-Etxano","16.03","15.31","15.27","16.31","17.91","19.45","20.31","22.13","20.71","13.96","13.80","13.64","12.98","13.12","12.62","11.50","11.15"
