"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007"
"48001","Abadiño","6.67","6.67","6.67","6.69","6.69","6.70","6.70","6.70","6.70","7.35"
"20001","Abaltzisketa","0.83","0.83","0.83","1.06","1.06","1.09","1.09","1.38","1.38","1.38"
"48002","Abanto y Ciérvana-Abanto Zierbena","25.36","25.66","25.66","26.01","24.01","22.89","24.96","23.27","23.31","23.31"
"20002","Aduna","10.17","10.17","10.20","10.23","9.69","9.73","9.73","9.73","9.73","6.33"
"20016","Aia","1.98","1.97","1.91","1.91","1.86","1.85","1.83","1.83","1.49","2.19"
"20003","Aizarnazabal","5.20","5.20","5.20","5.13","5.27","5.23","6.55","6.55","6.55","6.55"
"48911","Ajangiz","2.79","2.79","2.79","2.88","3.19","3.07","3.11","3.11","3.11","3.11"
"20004","Albiztur","1.00","1.01","1.01","1.00","0.84","0.81","0.82","1.53","1.52","1.52"
"20005","Alegia","5.05","5.05","5.05","4.93","4.80","4.92","4.86","5.10","5.09","5.09"
"01001","Alegría-Dulantzi","11.03","11.03","11.03","10.86","11.66","11.58","11.64","11.64","11.62","7.29"
"20006","Alkiza","0.58","0.58","0.57","0.56","0.63","0.66","0.65","0.74","0.73","0.73"
"48912","Alonsotegi","5.26","5.26","5.26","5.23","5.58","6.92","5.18","5.18","5.04","5.07"
"20906","Altzaga","2.36","2.36","2.36","2.42","2.42","2.32","3.28","3.28","3.28","3.28"
"20007","Altzo","1.63","1.65","1.66","1.66","1.66","1.59","1.59","2.02","2.01","2.01"
"20008","Amezketa","1.53","1.53","1.53","1.51","1.66","1.74","1.74","1.74","1.74","1.69"
"48003","Amorebieta-Etxano","9.25","9.25","9.26","9.17","9.13","9.21","9.25","9.25","9.27","9.25"
"48004","Amoroto","1.66","1.66","1.72","1.68","1.52","1.53","1.53","1.53","1.52","1.52"
"01002","Amurrio","4.85","4.86","4.86","4.78","4.81","4.78","4.78","4.78","4.79","4.79"
"20009","Andoain","10.97","10.97","10.97","10.95","10.95","7.35","7.40","7.40","7.40","7.40"
"20010","Anoeta","9.00","9.00","9.00","9.02","9.51","8.90","8.90","8.44","8.49","8.49"
"20011","Antzuola","1.78","1.78","1.78","1.77","1.77","1.78","1.99","1.84","1.83","1.85"
"48005","Arakaldo","8.42","8.42","8.42","8.27","8.16","8.22","8.54","8.54","8.54","8.54"
"20012","Arama","8.53","8.53","8.53","8.90","9.26","9.69","9.85","9.85","9.77","9.77"
"01003","Aramaio","1.02","1.02","0.96","0.56","0.39","0.42","0.42","0.42","0.43","0.43"
"48006","Arantzazu","5.96","5.96","5.96","5.85","7.37","6.87","6.61","6.61","6.55","6.55"
"48093","Areatza","2.36","2.36","2.36","2.32","2.32","2.33","2.33","2.33","2.29","2.29"
"20013","Aretxabaleta","4.14","4.14","4.14","4.05","4.14","3.84","3.87","3.87","3.85","3.85"
"01006","Armiñón","6.60","6.60","6.60","6.92","6.60","8.06","8.06","8.06","8.15","8.15"
"01037","Arraia-Maeztu","1.06","1.06","1.06","1.05","1.05","1.05","1.05","1.06","1.06","1.06"
"48009","Arrankudiaga","3.84","3.84","3.84","3.83","3.47","3.38","3.28","2.51","2.45","2.45"
"20055","Arrasate/Mondragón","14.21","14.21","14.25","13.78","13.64","15.91","14.67","14.67","14.54","14.54"
"48914","Arratzu","1.45","1.45","1.45","1.42","1.42","1.39","1.45","1.45","1.44","1.44"
"01008","Arratzua-Ubarrundia","4.98","4.98","4.98","4.28","3.17","3.17","3.17","3.17","3.10","3.10"
"48010","Arrieta","1.57","1.40","1.40","1.37","1.35","1.36","1.36","1.36","1.39","1.39"
"48011","Arrigorriaga","15.77","15.77","17.03","17.10","17.04","17.00","17.21","16.08","16.03","16.03"
"48023","Artea","4.35","4.35","4.35","4.21","4.56","4.53","4.53","4.53","4.56","4.56"
"48008","Artzentales","1.73","1.73","1.73","0.87","0.90","0.90","0.87","0.87","0.88","0.88"
"01004","Artziniega","4.17","4.17","4.17","4.19","4.16","3.22","3.23","3.23","3.23","3.23"
"01009","Asparrena","3.82","3.82","3.82","3.80","3.99","3.98","3.98","3.98","3.98","3.98"
"20014","Asteasu","2.95","2.95","2.94","2.94","3.47","3.48","3.46","3.46","3.50","3.05"
"20903","Astigarraga","15.75","15.94","15.98","15.38","15.47","15.58","14.68","14.68","14.04","14.04"
"20015","Ataun","0.71","0.71","0.71","0.70","0.66","0.66","0.71","0.71","0.71","0.71"
"48091","Atxondo","2.46","2.46","2.46","2.45","2.45","2.46","2.46","2.46","2.52","2.52"
"48070","Aulesti","1.01","1.01","1.01","0.86","0.82","0.83","0.82","0.82","0.86","0.86"
"01010","Ayala/Aiara","1.71","1.71","1.71","1.71","1.78","1.78","1.78","1.78","1.78","1.78"
"20017","Azkoitia","4.09","4.09","4.09","4.02","4.06","4.09","3.95","3.95","3.95","3.56"
"20018","Azpeitia","5.42","5.42","5.42","5.04","4.95","5.29","5.29","5.29","5.29","4.54"
