"Udalerri kodea","Udalerria","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","296.51","357.20","416.54","469.87","535.01","585.01","500.83","555.07","609.83","315.15","349.42","379.18"
"20001","Abaltzisketa","11.19","11.19","99.28","122.94","146.42","388.17","288.07","198.07","195.88","228.85","274.06","305.79"
"48002","Abanto y Ciérvana-Abanto Zierbena","328.16","381.56","450.67","509.69","532.17","411.35","419.33","421.04","269.12","135.05","28.55","55.66"
"20002","Aduna","324.26","422.25","503.50","561.26","1011.06","700.25","749.14","2028.28","2134.56","2365.07","1983.86","1463.07"
"20016","Aia","0.00","0.00","0.00","0.00","0.00","162.17","70.01","0.00","0.00","0.80","4.73","12.85"
"20003","Aizarnazabal","926.55","993.93","1068.21","1141.96","1264.67","1575.84","124.26","0.00","17.55","55.56","90.79","169.26"
"48911","Ajangiz","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20004","Albiztur","172.82","183.49","0.00","0.00","0.00","230.37","0.00","0.00","0.00","0.00","0.00","0.00"
"20005","Alegia","111.58","127.03","127.24","155.28","168.73","366.44","307.35","257.99","281.45","102.89","185.94","226.77"
"01001","Alegría-Dulantzi","416.39","485.71","576.53","657.94","754.55","655.67","636.41","512.69","527.79","554.17","628.26","14.72"
"20006","Alkiza","0.00","0.00","0.00","0.00","252.10","170.65","0.00","0.00","0.00","0.00","0.00","0.00"
"48912","Alonsotegi","1226.58","1305.67","1411.62","963.56","1351.77","1075.92","630.09","653.84","24.16","43.57","72.30","104.14"
"20906","Altzaga","0.00","0.00","67.07","83.18","168.75","571.76","461.12","409.85","485.30","569.20","639.02","739.76"
"20007","Altzo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20008","Amezketa","533.91","585.87","648.96","708.98","813.40","779.38","452.75","465.38","489.16","154.26","155.06","153.32"
"48003","Amorebieta-Etxano","210.30","233.90","286.11","299.76","312.79","0.00","0.00","0.00","0.00","0.00","0.21","2.65"
"48004","Amoroto","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01002","Amurrio","106.44","141.88","178.77","214.36","251.45","286.08","318.68","354.71","396.21","441.22","480.33","371.61"
"20009","Andoain","231.66","271.03","308.68","335.04","208.80","460.02","162.06","103.20","119.65","148.96","110.49","141.04"
"20010","Anoeta","911.02","1034.48","1090.23","1206.03","1336.24","1545.17","1491.53","1584.85","1668.92","1678.31","1671.73","0.00"
"20011","Antzuola","1063.69","1169.32","1276.28","1383.62","1119.34","1663.89","332.29","333.38","362.73","412.49","368.24","305.24"
"48005","Arakaldo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20012","Arama","0.00","0.00","0.00","0.00","0.00","253.85","115.79","0.00","0.00","0.00","0.00","0.00"
"01003","Aramaio","191.05","261.16","278.57","283.10","4.01","2.35","30.01","68.88","107.29","207.64","134.69","171.34"
"48006","Arantzazu","0.00","0.00","0.00","0.00","0.00","0.00","12.16","24.16","36.49","50.47","0.00","36.37"
