"Udalerri kodea","Udalerria","2008","2004"
"48001","Abadiño","0.70","0.54"
"20001","Abaltzisketa","0.08","0.01"
"48002","Abanto y Ciérvana-Abanto Zierbena","11.44","10.47"
"20002","Aduna","2.53","1.69"
"20016","Aia","0.25","0.25"
"20003","Aizarnazabal","0.11","0.01"
"48911","Ajangiz","0.51","0.39"
"20004","Albiztur","0.12","0.00"
"20005","Alegia","0.31","0.29"
"01001","Alegría-Dulantzi","0.06","0.00"
"20006","Alkiza","0.01","0.01"
"48912","Alonsotegi","2.04","1.99"
"20906","Altzaga","0.08","0.28"
"20007","Altzo","2.00","2.00"
"20008","Amezketa","0.07","0.07"
"48003","Amorebieta-Etxano","2.03","1.71"
"48004","Amoroto","0.26","1.10"
"01002","Amurrio","0.97","1.67"
"20009","Andoain","1.33","1.21"
"20010","Anoeta","0.56","0.45"
"20011","Antzuola","0.49","0.47"
"48005","Arakaldo","2.61","2.40"
"20012","Arama","1.32","1.32"
"01003","Aramaio","0.02","0.01"
"48006","Arantzazu","0.14","0.14"
"48093","Areatza","0.01","0.01"
"20013","Aretxabaleta","0.67","0.72"
"01006","Armiñón","0.86","0.75"
"01037","Arraia-Maeztu","0.07","0.06"
"48009","Arrankudiaga","0.27","0.19"
"20055","Arrasate/Mondragón","2.84","2.60"
"48914","Arratzu","0.01","0.01"
"01008","Arratzua-Ubarrundia","0.01","0.00"
"48010","Arrieta","0.00","0.00"
"48011","Arrigorriaga","2.25","1.85"
"48023","Artea","0.15","1.37"
"48008","Artzentales","0.02","0.01"
"01004","Artziniega","0.22","0.17"
"01009","Asparrena","0.06","0.05"
"20014","Asteasu","0.01","0.00"
"20903","Astigarraga","1.11","0.43"
"20015","Ataun","0.01","0.01"
"48091","Atxondo","0.36","0.27"
"48070","Aulesti","0.46","0.01"
"01010","Ayala/Aiara","0.08","0.05"
"20017","Azkoitia","0.83","0.81"
"20018","Azpeitia","1.34","1.01"
"01049","Añana","0.02","0.01"
"48012","Bakio","0.03","0.03"
"20904","Baliarrain","0.00","0.00"
"48090","Balmaseda","0.25","0.22"
"48013","Barakaldo","7.80","6.78"
"48014","Barrika","0.39","0.00"
"01013","Barrundia","0.08","0.04"
"48015","Basauri","19.30","21.26"
"01011","Baños de Ebro/Mañueta","0.21","0.17"
"20019","Beasain","2.23","1.97"
"48092","Bedia","0.26","0.18"
"20020","Beizama","0.00","0.00"
"20021","Belauntza","0.48","0.48"
"48016","Berango","0.73","0.65"
"01014","Berantevilla","0.62","0.62"
"20022","Berastegi","0.15","0.02"
"20074","Bergara","1.63","1.67"
"48017","Bermeo","0.87","0.70"
"01016","Bernedo","0.02","0.01"
"48018","Berriatua","0.26","0.25"
"48019","Berriz","0.48","0.30"
"20023","Berrobi","0.43","0.43"
"20024","Bidania-Goiatz","0.06","0.03"
"48020","Bilbao","5.51","6.40"
"48021","Busturia","0.14","0.03"
"01017","Campezo/Kanpezu","0.06","0.01"
"20029","Deba","0.21","0.04"
"48901","Derio","1.67","1.53"
"48026","Dima","0.00","0.00"
"20069","Donostia / San Sebastián","1.91","1.27"
"48027","Durango","2.78","2.98"
"48028","Ea","0.04","0.04"
"20030","Eibar","1.92","1.64"
"48031","Elantxobe","0.02","0.00"
"01021","Elburgo/Burgelu","0.24","0.14"
"01022","Elciego","0.09","0.09"
"20031","Elduain","0.03","0.03"
"20033","Elgeta","0.61","0.26"
"20032","Elgoibar","1.18","0.98"
"48032","Elorrio","1.31","0.66"
"01023","Elvillar/Bilar","0.10","0.07"
"48902","Erandio","7.69","7.64"
"48033","Ereño","0.52","0.47"
"48034","Ermua","5.74","2.23"
"20067","Errenteria","1.76","1.97"
"20066","Errezil","0.00","0.01"
"01046","Erriberagoitia/Ribera Alta","0.02","0.00"
"48079","Errigoiti","0.02","0.01"
"20034","Eskoriatza","0.33","0.30"
"48029","Etxebarri","22.94","22.43"
"48030","Etxebarria","0.34","0.37"
"20035","Ezkio-Itsaso","0.72","0.54"
"48906","Forua","0.15","0.10"
"48035","Fruiz","0.04","0.02"
"20038","Gabiria","3.52","3.09"
"20037","Gaintza","0.39","0.44"
"48036","Galdakao","10.03","10.00"
"48037","Galdames","0.08","0.09"
"48038","Gamiz-Fika","0.05","0.05"
"48039","Garai","0.26","0.12"
"48040","Gatika","0.66","0.19"
"48041","Gautegiz Arteaga","0.02","0.03"
"20907","Gaztelu","0.02","0.00"
"48046","Gernika-Lumo","4.48","4.14"
"20039","Getaria","0.76","0.21"
"48044","Getxo","2.03","2.03"
"48047","Gizaburuaga","0.01","0.01"
"48042","Gordexola","0.11","0.10"
"48043","Gorliz","0.02","0.02"
"48045","Güeñes","0.52","0.30"
"01056","Harana/Valle de Arana","0.03","0.01"
"20040","Hernani","2.06","2.08"
"20041","Hernialde","0.00","0.00"
"20036","Hondarribia","0.42","0.06"
"20042","Ibarra","0.06","0.06"
"48048","Ibarrangelu","0.04","0.04"
"20043","Idiazabal","0.83","0.50"
"48094","Igorre","0.80","0.76"
"20044","Ikaztegieta","0.36","0.36"
"20045","Irun","41.45","41.65"
"20046","Irura","2.57","1.42"
"01027","Iruraiz-Gauna","0.01","0.01"
"01901","Iruña Oka/Iruña de Oca","0.34","0.22"
"48049","Ispaster","0.13","0.05"
"20047","Itsasondo","0.51","0.53"
"48910","Iurreta","3.07","1.95"
"48050","Izurtza","1.05","1.05"
"48022","Karrantza Harana/Valle de Carranza","0.03","0.01"
"48907","Kortezubi","0.01","0.01"
"01019","Kripan","0.02","0.01"
"01020","Kuartango","0.01","0.00"
