"Udalerri kodea","Udalerria","2014","2013","2011","2009","2006","2003","2001","1997"
"48001","Abadiño","19.690.00","19.133.00","19.440.00","19.111.00","17.224.00","14.292.00","12.343.00","9.557.00"
"20001","Abaltzisketa","21.637.00","21.723.00","23.782.00","20.451.00","17.248.00","14.195.00","12.756.00","8.818.00"
"48002","Abanto y Ciérvana-Abanto Zierbena","16.727.00","16.599.00","16.916.00","17.109.00","15.603.00","12.021.00","10.764.00","8.228.00"
"20002","Aduna","21.538.00","20.580.00","21.585.00","21.279.00","18.826.00","13.740.00","10.643.00","8.134.00"
"20016","Aia","18.209.00","18.293.00","18.226.00","17.876.00","13.771.00","11.540.00","10.135.00","8.532.00"
"20003","Aizarnazabal","17.957.00","17.216.00","18.723.00","20.093.00","14.368.00","13.588.00","11.712.00","9.152.00"
"48911","Ajangiz","22.358.00","22.470.00","22.278.00","20.486.00","17.220.00","13.212.00","12.461.00","10.170.00"
"20004","Albiztur","22.338.00","21.670.00","21.837.00","21.531.00","17.631.00","13.627.00","12.742.00","9.803.00"
"20005","Alegia","17.586.00","17.846.00","18.185.00","17.408.00","15.263.00","12.609.00","11.440.00","8.638.00"
"01001","Alegría-Dulantzi","20.228.00","19.743.00","20.976.00","20.837.00","18.763.00","15.404.00","13.539.00","8.687.00"
"20006","Alkiza","20.277.00","20.020.00","19.064.00","19.380.00","15.749.00","12.908.00","11.695.00","8.858.00"
"48912","Alonsotegi","16.137.00","15.839.00","16.301.00","16.368.00","14.709.00","11.627.00","9.963.00","7.754.00"
"20906","Altzaga","20.767.00","19.715.00","21.184.00","20.552.00","16.577.00","14.286.00","11.238.00","8.255.00"
"20007","Altzo","21.019.00","20.029.00","20.318.00","20.469.00","16.195.00","15.258.00","13.152.00","10.459.00"
"20008","Amezketa","19.539.00","19.101.00","19.754.00","18.559.00","15.303.00","14.132.00","13.138.00","9.884.00"
"48003","Amorebieta-Etxano","19.418.00","19.244.00","19.264.00","20.063.00","17.142.00","13.926.00","12.468.00","9.563.00"
"48004","Amoroto","19.149.00","18.734.00","18.022.00","18.070.00","15.013.00","12.698.00","11.340.00","9.373.00"
"01002","Amurrio","19.368.00","19.241.00","19.311.00","18.556.00","16.421.00","12.866.00","11.948.00","8.986.00"
"20009","Andoain","18.113.00","18.146.00","18.381.00","18.348.00","15.647.00","12.461.00","11.282.00","8.678.00"
"20010","Anoeta","18.440.00","18.771.00","19.054.00","18.362.00","15.533.00","12.805.00","11.817.00","9.113.00"
"20011","Antzuola","22.106.00","22.174.00","22.297.00","21.863.00","18.543.00","15.672.00","13.993.00","10.897.00"
"48005","Arakaldo","21.267.00","18.638.00","20.925.00","22.075.00","18.846.00","13.901.00","12.945.00","10.091.00"
"20012","Arama","26.847.00","23.610.00","27.309.00","22.886.00","17.403.00","13.868.00","12.572.00","9.111.00"
"01003","Aramaio","21.832.00","21.107.00","23.416.00","21.567.00","17.775.00","15.075.00","13.979.00","9.954.00"
"48006","Arantzazu","20.891.00","21.771.00","21.951.00","21.557.00","17.595.00","15.461.00","13.586.00","10.629.00"
"48093","Areatza","18.668.00","18.161.00","17.780.00","17.359.00","16.812.00","12.362.00","11.614.00","9.546.00"
"20013","Aretxabaleta","19.917.00","20.421.00","21.282.00","22.482.00","18.797.00","16.227.00","15.332.00","12.093.00"
"01006","Armiñón","17.324.00","16.973.00","18.705.00","17.770.00","20.451.00","12.641.00","11.915.00","8.821.00"
"01037","Arraia-Maeztu","19.027.00","19.459.00","19.894.00","18.550.00","16.073.00","12.411.00","11.071.00","7.996.00"
"48009","Arrankudiaga","20.471.00","20.102.00","20.536.00","20.622.00","17.268.00","14.968.00","12.056.00","9.450.00"
"20055","Arrasate/Mondragón","18.506.00","18.952.00","19.689.00","19.837.00","17.383.00","14.415.00","13.798.00","10.619.00"
"48914","Arratzu","20.842.00","20.613.00","20.207.00","19.880.00","16.777.00","13.284.00","13.108.00","10.106.00"
"01008","Arratzua-Ubarrundia","25.052.00","26.242.00","30.663.00","27.608.00","21.268.00","18.547.00","15.553.00","10.573.00"
"48010","Arrieta","22.484.00","21.008.00","20.807.00","21.049.00","17.042.00","13.168.00","11.276.00","7.722.00"
"48011","Arrigorriaga","17.687.00","17.725.00","18.294.00","18.470.00","16.292.00","13.336.00","11.588.00","9.012.00"
"48023","Artea","21.920.00","21.284.00","20.546.00","20.310.00","17.486.00","14.191.00","13.790.00","10.474.00"
"48008","Artzentales","15.580.00","16.308.00","15.548.00","16.926.00","14.636.00","11.517.00","10.270.00","7.701.00"
"01004","Artziniega","18.536.00","18.627.00","18.637.00","18.497.00","15.511.00","12.118.00","12.796.00","8.817.00"
"01009","Asparrena","19.153.00","18.270.00","18.402.00","18.072.00","14.057.00","12.005.00","11.379.00","8.536.00"
"20014","Asteasu","19.321.00","19.296.00","19.845.00","19.552.00","15.940.00","14.515.00","12.355.00","8.527.00"
"20903","Astigarraga","21.193.00","19.960.00","20.133.00","19.646.00","16.170.00","12.899.00","11.949.00","8.896.00"
"20015","Ataun","21.569.00","21.629.00","21.512.00","20.544.00","14.444.00","14.037.00","12.104.00","9.499.00"
"48091","Atxondo","17.723.00","17.863.00","18.269.00","18.710.00","16.236.00","13.397.00","12.360.00","9.561.00"
"48070","Aulesti","18.582.00","18.748.00","18.589.00","17.707.00","14.855.00","11.944.00","11.338.00","8.833.00"
"01010","Ayala/Aiara","19.757.00","19.430.00","19.777.00","19.744.00","16.931.00","13.976.00","11.797.00","8.097.00"
"20017","Azkoitia","19.567.00","19.257.00","19.386.00","19.279.00","16.752.00","13.744.00","12.705.00","9.509.00"
"20018","Azpeitia","19.414.00","19.221.00","19.386.00","20.680.00","16.013.00","14.360.00","13.262.00","10.080.00"
"01049","Añana","14.972.00","17.315.00","17.402.00","16.079.00","13.033.00","11.421.00","10.251.00","8.126.00"
"48012","Bakio","23.520.00","23.914.00","24.666.00","24.012.00","20.762.00","17.059.00","13.837.00","10.213.00"
"20904","Baliarrain","21.664.00","23.252.00","21.339.00","19.812.00","14.843.00","11.554.00","9.884.00","8.106.00"
"48090","Balmaseda","14.896.00","14.670.00","15.388.00","15.248.00","14.199.00","10.742.00","9.801.00","7.839.00"
