"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48001","Abadiño","15.87","13.25","33.49","41.55","41.83","43.39","43.88","19.91","17.06","30.90","46.64","48.59","53.04"
"20001","Abaltzisketa","6.12","6.13","6.19","9.35","25.24","64.10","75.91","77.70","100.35","77.19","50.36","87.91","104.09"
"48002","Abanto y Ciérvana-Abanto Zierbena","1.03","1.13","1.13","0.93","2.59","8.82","14.49","18.89","19.69","23.76","28.39","35.39","36.80"
"20002","Aduna","2.17","2.21","4.57","4.74","4.93","95.12","99.20","104.97","121.13","138.33","67.85","69.49","64.62"
"20016","Aia","6.40","6.43","8.97","9.65","9.33","38.75","92.74","92.54","105.05","109.09","82.14","27.71","27.85"
"20003","Aizarnazabal","0.00","0.00","0.00","0.00","0.00","10.67","84.24","94.70","114.62","125.65","136.28","97.07","89.05"
"48911","Ajangiz","0.00","4.39","4.42","4.43","8.93","8.99","13.57","18.22","18.35","13.89","16.39","7.09","4.75"
"20004","Albiztur","0.00","0.00","0.00","3.18","3.22","3.26","62.50","63.12","70.95","74.83","103.45","41.52","45.30"
"20005","Alegia","3.41","0.00","0.00","0.00","0.00","18.13","18.95","19.10","30.21","22.56","11.68","13.61","17.42"
"01001","Alegría-Dulantzi","0.00","0.00","0.00","11.87","27.50","36.19","58.04","91.49","116.52","119.98","123.29","139.95","168.22"
"20006","Alkiza","10.84","10.90","10.99","16.81","17.29","26.47","82.07","91.77","109.63","103.45","93.86","29.85","22.90"
"48912","Alonsotegi","21.85","21.88","21.90","7.06","31.87","54.31","54.64","63.45","70.85","61.97","46.68","66.02","75.25"
"20906","Altzaga","0.00","0.00","0.00","0.00","0.00","0.00","12.82","25.97","33.56","49.65","98.48","107.44","207.21"
"20007","Altzo","7.39","4.94","4.94","0.00","0.00","25.77","31.58","46.07","48.16","32.26","47.62","66.47","67.07"
"20008","Amezketa","14.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.09","8.14","14.18","18.18"
"48003","Amorebieta-Etxano","14.47","15.95","24.15","31.91","36.02","36.21","40.10","52.19","50.11","38.48","56.93","52.14","40.60"
"48004","Amoroto","9.78","7.32","7.35","7.33","29.27","29.56","34.91","45.80","51.55","28.87","34.67","37.74","35.14"
"01002","Amurrio","18.02","20.18","23.01","23.56","39.25","28.08","25.09","32.28","58.02","49.81","62.77","63.96","55.26"
