"Udalerri kodea","Udalerria","2005","2004","2003","2002"
"48001","Abadiño","44.28","39.61","25.16","24.66"
"20001","Abaltzisketa","49.18","66.14","67.50","49.88"
"48002","Abanto y Ciérvana-Abanto Zierbena","92.71","75.09","58.33","57.10"
"20002","Aduna","39.12","41.28","41.92","73.28"
"20016","Aia","64.61","64.33","65.82","67.93"
"20003","Aizarnazabal","24.91","29.86","30.64","28.13"
"48911","Ajangiz","33.18","29.65","33.40","39.96"
"20004","Albiztur","63.51","42.68","41.62","25.81"
"20005","Alegia","43.29","38.58","33.92","25.40"
"01001","Alegría-Dulantzi","13.71","23.44","18.96","40.81"
"20006","Alkiza","61.54","59.31","65.40","67.38"
"48912","Alonsotegi","91.62","95.06","88.50","86.95"
"20906","Altzaga","36.01","44.64","35.04","37.55"
"20007","Altzo","54.38","35.29","38.84","36.63"
"20008","Amezketa","28.46","21.23","27.95","20.90"
"48003","Amorebieta-Etxano","65.74","52.03","51.32","48.17"
"48004","Amoroto","43.18","41.13","30.66","24.51"
"01002","Amurrio","27.11","26.49","36.02","24.49"
"20009","Andoain","55.82","51.08","45.09","56.09"
"20010","Anoeta","31.99","27.12","28.18","23.04"
"20011","Antzuola","77.31","82.43","71.35","68.64"
"48005","Arakaldo","64.37","33.20","32.23","19.85"
"20012","Arama","69.44","108.69","100.87","70.82"
"01003","Aramaio","14.87","10.46","25.37","15.03"
"48006","Arantzazu","63.14","97.28","48.55","46.05"
"48093","Areatza","51.41","44.88","43.54","37.90"
"20013","Aretxabaleta","76.58","63.32","58.37","55.66"
"01006","Armiñón","9.46","13.28","4.69","4.31"
"01037","Arraia-Maeztu","18.95","37.17","34.62","30.39"
"48009","Arrankudiaga","25.21","24.34","23.74","29.48"
"20055","Arrasate/Mondragón","50.91","60.90","54.17","35.91"
"48914","Arratzu","43.90","35.31","37.10","29.09"
"01008","Arratzua-Ubarrundia","10.84","16.59","11.03","20.44"
"48010","Arrieta","78.67","65.59","48.47","34.49"
"48011","Arrigorriaga","40.09","39.55","45.70","65.14"
"48023","Artea","45.82","53.36","51.41","53.53"
"48008","Artzentales","87.41","100.81","33.39","40.94"
"01004","Artziniega","22.30","23.01","18.58","16.15"
"01009","Asparrena","34.33","40.29","54.17","55.31"
"20014","Asteasu","28.58","31.15","35.41","33.90"
"20903","Astigarraga","39.70","45.89","44.38","37.39"
"20015","Ataun","30.78","32.43","31.07","26.54"
"48091","Atxondo","20.63","23.41","17.37","17.70"
"48070","Aulesti","76.53","73.25","56.22","54.93"
"01010","Ayala/Aiara","18.98","26.48","17.22","22.62"
"20017","Azkoitia","44.87","36.13","34.50","35.68"
"20018","Azpeitia","34.38","36.76","27.74","30.90"
"01049","Añana","16.37","18.54","13.75","9.64"
"48012","Bakio","51.00","54.38","46.74","44.91"
"20904","Baliarrain","99.11","80.07","87.15","66.03"
"48090","Balmaseda","46.29","42.20","39.54","34.55"
"48013","Barakaldo","86.42","82.43","76.30","60.72"
"48014","Barrika","22.66","19.39","22.14","21.24"
"01013","Barrundia","9.56","18.15","13.95","20.88"
"48015","Basauri","76.71","65.52","58.25","47.73"
"01011","Baños de Ebro/Mañueta","7.81","4.25","5.46","4.98"
"20019","Beasain","38.44","34.42","40.64","31.95"
"48092","Bedia","47.19","41.48","51.70","50.49"
"20020","Beizama","119.25","44.13","74.80","68.64"
"20021","Belauntza","79.63","94.88","96.66","91.38"
"48016","Berango","26.03","22.78","25.15","29.15"
"01014","Berantevilla","10.11","10.92","13.34","26.38"
"20022","Berastegi","47.39","53.17","32.24","30.09"
"20074","Bergara","100.34","57.78","79.44","75.30"
"48017","Bermeo","96.91","79.69","63.31","51.48"
"01016","Bernedo","7.14","8.74","5.04","14.87"
"48018","Berriatua","54.24","47.47","48.84","66.89"
"48019","Berriz","74.31","65.80","51.60","43.78"
"20023","Berrobi","49.56","60.67","60.30","60.22"
"20024","Bidania-Goiatz","107.16","60.70","73.47","98.51"
"48020","Bilbao","73.82","64.35","57.13","52.31"
"48021","Busturia","42.45","40.32","38.01","37.55"
"01017","Campezo/Kanpezu","8.96","20.31","11.55","20.06"
"20029","Deba","53.76","41.17","47.77","41.24"
"48901","Derio","37.95","45.53","49.78","34.26"
"48026","Dima","42.01","46.89","59.99","52.18"
"20069","Donostia / San Sebastián","61.16","56.31","59.43","52.73"
"48027","Durango","62.96","61.67","49.68","53.07"
"48028","Ea","40.90","43.58","48.02","33.80"
"20030","Eibar","45.05","42.75","39.68","31.23"
"48031","Elantxobe","47.67","42.33","4.73","66.88"
"01021","Elburgo/Burgelu","17.86","54.29","12.75","23.93"
"01022","Elciego","15.01","11.13","14.90","9.30"
"20031","Elduain","79.50","96.82","105.66","62.00"
"20033","Elgeta","75.24","65.69","74.55","57.08"
"20032","Elgoibar","37.77","32.76","45.46","39.62"
"48032","Elorrio","35.80","31.95","33.13","24.96"
"01023","Elvillar/Bilar","18.10","21.29","14.15","22.47"
"48902","Erandio","58.51","55.89","51.55","40.26"
"48033","Ereño","78.27","64.13","61.26","60.01"
"48034","Ermua","49.65","39.70","43.35","45.30"
"20067","Errenteria","73.83","71.03","68.68","55.84"
"20066","Errezil","58.55","77.62","70.03","48.51"
"01046","Erriberagoitia/Ribera Alta","10.59","13.89","9.77","8.97"
"48079","Errigoiti","54.05","56.43","26.86","47.97"
"20034","Eskoriatza","40.65","52.45","38.25","38.97"
"48029","Etxebarri","56.76","57.07","17.89","46.47"
"48030","Etxebarria","65.65","57.36","68.61","63.53"
"20035","Ezkio-Itsaso","71.24","70.33","72.04","52.78"
"48906","Forua","32.04","19.81","6.95","31.85"
"48035","Fruiz","50.46","49.26","37.86","27.81"
"20038","Gabiria","32.30","29.80","31.49","42.78"
"20037","Gaintza","50.22","63.69","45.26","55.87"
"48036","Galdakao","44.63","39.89","31.24","28.39"
"48037","Galdames","35.88","38.51","37.73","21.01"
"48038","Gamiz-Fika","36.88","31.35","37.29","33.01"
"48039","Garai","14.65","12.65","13.00","12.51"
"48040","Gatika","34.44","48.13","0.00","48.03"
"48041","Gautegiz Arteaga","36.77","22.80","1.09","35.31"
"20907","Gaztelu","97.10","109.99","115.79","107.16"
"48046","Gernika-Lumo","36.87","30.49","31.95","32.75"
"20039","Getaria","35.90","34.16","28.74","27.59"
"48044","Getxo","73.92","65.49","67.10","73.54"
"48047","Gizaburuaga","173.33","137.38","110.30","82.71"
"48042","Gordexola","65.14","67.84","51.09","56.92"
"48043","Gorliz","27.71","26.14","27.08","24.48"
"48045","Güeñes","38.66","40.78","33.21","34.09"
"01056","Harana/Valle de Arana","49.02","61.12","38.32","20.28"
"20040","Hernani","89.75","90.66","83.44","97.91"
"20041","Hernialde","23.35","25.05","24.90","28.53"
"20036","Hondarribia","33.99","33.63","29.51","30.86"
"20042","Ibarra","52.48","44.83","41.56","26.82"
"48048","Ibarrangelu","32.59","41.87","39.79","47.64"
"20043","Idiazabal","44.33","38.56","30.82","36.33"
"48094","Igorre","41.31","35.97","46.24","41.73"
"20044","Ikaztegieta","36.37","44.61","53.36","38.12"
"20045","Irun","42.77","38.26","33.71","34.24"
"20046","Irura","31.61","26.16","26.57","18.17"
"01027","Iruraiz-Gauna","17.13","14.03","15.04","19.95"
"01901","Iruña Oka/Iruña de Oca","24.07","26.41","15.89","14.62"
"48049","Ispaster","67.23","59.34","57.83","51.55"
"20047","Itsasondo","38.17","76.92","64.19","59.63"
"48910","Iurreta","44.92","42.53","32.40","29.13"
"48050","Izurtza","63.83","54.58","39.05","37.77"
"48022","Karrantza Harana/Valle de Carranza","34.92","37.71","29.91","25.54"
"48907","Kortezubi","39.94","24.81","12.05","25.98"
"01019","Kripan","37.13","37.18","24.27","19.44"
"01020","Kuartango","19.66","14.60","12.93","13.21"
"01028","Labastida/Bastida","11.49","7.23","8.34","9.18"
"01030","Lagrán","17.24","14.28","9.56","19.64"
"01031","Laguardia","12.63","8.03","7.48","7.62"
"01032","Lanciego/Lantziego","8.31","6.92","9.40","17.70"
"48051","Lanestosa","30.39","40.92","27.40","59.43"
"01902","Lantarón","10.65","11.44","9.86","8.83"
"01033","Lapuebla de Labarca","7.98","7.44","8.37","9.16"
"48052","Larrabetzu","40.82","30.17","33.48","31.43"
"20048","Larraul","49.98","87.70","63.18","139.37"
"20902","Lasarte-Oria","87.18","74.49","66.33","60.36"
"01036","Laudio/Llodio","24.96","19.75","22.85","22.22"
"48053","Laukiz","41.12","32.28","24.26","22.22"
"20049","Lazkao","26.45","25.96","29.54","26.96"
"20050","Leaburu","86.02","91.99","106.18","108.60"
"20051","Legazpi","67.33","60.83","61.97","47.81"
"20052","Legorreta","58.79","58.90","54.17","48.64"
"01058","Legutio","9.30","8.44","11.70","23.51"
"20068","Leintz-Gatzaga","48.90","54.58","51.00","25.82"
"48054","Leioa","42.13","39.32","32.74","36.04"
"48057","Lekeitio","66.42","55.74","52.05","48.63"
"48055","Lemoa","62.53","50.00","47.01","38.44"
"48056","Lemoiz","40.13","37.16","41.31","35.93"
"01034","Leza","10.21","11.23","37.21","9.92"
"48081","Lezama","29.46","28.38","17.75","17.72"
"20053","Lezo","60.14","45.80","41.22","46.36"
"20054","Lizartza","40.21","26.65","19.54","47.79"
"48903","Loiu","38.62","32.31","40.05","33.24"
"48058","Mallabia","87.52","74.45","59.69","61.48"
"48060","Markina-Xemein","69.98","66.32","58.38","55.07"
"48061","Maruri-Jatabe","58.53","76.63","85.32","79.20"
"48059","Mañaria","16.00","15.82","12.77","12.55"
"20901","Mendaro","37.13","48.23","39.70","39.99"
"48062","Mendata","42.04","46.70","55.59","42.91"
"48063","Mendexa","63.56","61.47","41.16","36.82"
"48064","Meñaka","56.11","40.90","27.25","22.08"
"01039","Moreda de Álava / Moreda Araba","7.73","10.11","10.76","17.67"
"48066","Morga","55.36","45.37","45.23","53.58"
"48068","Mundaka","51.26","29.19","34.30","34.30"
"48069","Mungia","47.82","46.91","31.65","33.12"
"48007","Munitibar-Arbatzegi Gerrikaitz-","101.30","74.73","79.63","65.42"
"48908","Murueta","44.74","42.67","34.29","48.77"
"48071","Muskiz","103.23","120.47","104.49","92.78"
"20057","Mutiloa","138.03","52.22","47.48","47.66"
"20056","Mutriku","27.23","28.99","30.18","33.38"
"48067","Muxika","42.12","34.95","35.65","35.17"
"48909","Nabarniz","55.92","56.52","59.98","36.95"
"01041","Navaridas","4.30","4.07","2.80","6.42"
"20063","Oiartzun","66.93","57.59","44.35","44.76"
"01042","Okondo","14.21","16.22","7.49","7.58"
"20058","Olaberria","80.12","82.47","101.16","94.37"
"48073","Ondarroa","106.18","83.50","63.25","44.36"
"20076","Ordizia","72.98","55.87","47.77","52.35"
"20905","Orendain","132.43","67.77","57.94","47.47"
"20060","Orexa","119.36","120.31","97.42","89.38"
"20061","Orio","43.46","41.48","30.62","25.11"
"20062","Ormaiztegi","28.57","18.92","19.82","29.49"
"48075","Orozko","42.47","34.36","35.35","27.15"
"48083","Ortuella","58.15","66.84","59.76","53.04"
"48072","Otxandio","46.59","43.50","33.20","23.70"
"01043","Oyón-Oion","11.52","7.17","9.69","19.62"
"20059","Oñati","63.38","52.23","44.96","39.63"
"20064","Pasaia","91.17","82.49","67.57","69.20"
"01044","Peñacerrada-Urizaharra","14.16","14.98","17.36","22.60"
"48077","Plentzia","34.42","32.09","31.95","31.18"
"48078","Portugalete","55.72","54.57","50.63","46.00"
"01047","Ribera Baja/Erribera Beitia","22.30","42.29","10.29","11.85"
"01051","Salvatierra/Agurain","26.89","20.15","33.02","47.21"
"01052","Samaniego","5.41","3.28","2.33","5.25"
"01053","San Millán/Donemiliaga","9.81","14.23","11.12","21.23"
"48082","Santurtzi","117.00","118.31","102.02","75.22"
"20070","Segura","37.18","36.39","28.50","23.09"
"48084","Sestao","93.87","80.66","64.05","55.38"
"48904","Sondika","38.45","29.57","35.43","29.20"
"48085","Sopela","28.94","30.39","31.05","24.15"
"48086","Sopuerta","28.83","32.11","29.92","28.63"
"20065","Soraluze-Placencia de las Armas","48.79","35.30","34.14","25.72"
"48076","Sukarrieta","20.81","16.18","18.28","23.13"
"20071","Tolosa","64.92","44.60","34.26","38.37"
"48087","Trucios-Turtzioz","30.09","35.33","27.36","37.36"
"48088","Ubide","60.04","116.54","89.42","151.73"
