"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,"66.71",NA,"69.38",NA,NA,"62.11",NA,NA,"61.45",NA,"66.18",NA,"66.11",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Abaltzisketa",NA,NA,NA,"60.52",NA,"61.62",NA,NA,"50.81",NA,NA,"52.12",NA,"48.64",NA,"52.31",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,"64.82",NA,"66.17",NA,NA,"64.39",NA,NA,"66.69",NA,"68.91",NA,"68.77",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Aduna",NA,NA,NA,"61.43",NA,"65.19",NA,NA,"57.36",NA,NA,"72.07",NA,"71.94",NA,"68.88",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Aia",NA,NA,NA,"55.61",NA,"58.25",NA,NA,"58.31",NA,NA,"62.19",NA,"59.08",NA,"63.84",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Aizarnazabal",NA,NA,NA,"64.14",NA,"69.48",NA,NA,"71.78",NA,NA,"53.36",NA,"63.94",NA,"65.02",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Ajangiz",NA,NA,NA,"62.31",NA,"63.37",NA,NA,"63.04",NA,NA,"68.42",NA,"68.87",NA,"59.66",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Albiztur",NA,NA,NA,"60.51",NA,"50.04",NA,NA,"62.72",NA,NA,"60.79",NA,"64.49",NA,"67.33",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Alegia",NA,NA,NA,"62.53",NA,"62.51",NA,NA,"59.47",NA,NA,"60.25",NA,"60.5",NA,"60.14",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Alegría-Dulantzi",NA,NA,NA,"76.39",NA,"77.84",NA,NA,"76.02",NA,NA,"72.73",NA,"77.5",NA,"74.6",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Alkiza",NA,NA,NA,"75.16",NA,"71.37",NA,NA,"79.21",NA,NA,"69.45",NA,"72.69",NA,"72.68",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Alonsotegi",NA,NA,NA,"56.25",NA,"55.81",NA,NA,"58.76",NA,NA,"61.15",NA,"64.22",NA,"61.01",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Altzaga",NA,NA,NA,"70.45",NA,"63.42",NA,NA,"57.45",NA,NA,"57.52",NA,"51.66",NA,"51.03",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Altzo",NA,NA,NA,"65.13",NA,"66.72",NA,NA,"72.45",NA,NA,"70.44",NA,"69.55",NA,"69.67",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Amezketa",NA,NA,NA,"61.07",NA,"55.87",NA,NA,"57.86",NA,NA,"54.67",NA,"52.95",NA,"55.96",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Amorebieta-Etxano",NA,NA,NA,"66.99",NA,"68.13",NA,NA,"66.34",NA,NA,"71.38",NA,"68.62",NA,"68.3",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Amoroto",NA,NA,NA,"41.23",NA,"37.82",NA,NA,"51.34",NA,NA,"57.99",NA,"56.14",NA,"59.31",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Amurrio",NA,NA,NA,"58.78",NA,"59.11",NA,NA,"57.62",NA,NA,"61.79",NA,"61.55",NA,"59.15",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Andoain",NA,NA,NA,"64.5",NA,"62.85",NA,NA,"65.25",NA,NA,"61.97",NA,"61.92",NA,"61.39",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Anoeta",NA,NA,NA,"66.95",NA,"64.94",NA,NA,"63.63",NA,NA,"62.85",NA,"63.21",NA,"64.07",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Antzuola",NA,NA,NA,"65.72",NA,"66.28",NA,NA,"66.5",NA,NA,"61",NA,"64.38",NA,"64.5",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Arakaldo",NA,NA,NA,"72.04",NA,"72.51",NA,NA,"57.71",NA,NA,"58.79",NA,"67.14",NA,"74.78",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Arama",NA,NA,NA,"72.94",NA,"67.24",NA,NA,"70.59",NA,NA,"64.58",NA,"57.89",NA,"66.1",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Aramaio",NA,NA,NA,"75.29",NA,"70.05",NA,NA,"69.96",NA,NA,"69.62",NA,"66.54",NA,"69.43",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Arantzazu",NA,NA,NA,"61.1",NA,"62.6",NA,NA,"58.21",NA,NA,"71.8",NA,"70.75",NA,"73.33",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Areatza",NA,NA,NA,"58.3",NA,"54.52",NA,NA,"45.22",NA,NA,"63.82",NA,"69.75",NA,"66.83",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Aretxabaleta",NA,NA,NA,"73.63",NA,"72.22",NA,NA,"70.1",NA,NA,"61.16",NA,"65.62",NA,"64.44",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Armiñón",NA,NA,NA,"50.44",NA,"48.03",NA,NA,"45.13",NA,NA,"63.53",NA,"61.48",NA,"62.38",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Arraia-Maeztu",NA,NA,NA,"57.16",NA,"59.51",NA,NA,"59.59",NA,NA,"64.37",NA,"62.24",NA,"63.48",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Arrankudiaga",NA,NA,NA,"68.11",NA,"69.92",NA,NA,"63.21",NA,NA,"69.59",NA,"71.15",NA,"67.56",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Arrasate/Mondragón",NA,NA,NA,"70.09",NA,"68.3",NA,NA,"66.12",NA,NA,"59.55",NA,"61.81",NA,"60.32",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Arratzu",NA,NA,NA,"62.65",NA,"60.1",NA,NA,"60.2",NA,NA,"62.87",NA,"67.22",NA,"67.91",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Arratzua-Ubarrundia",NA,NA,NA,"57.25",NA,"62",NA,NA,"63.07",NA,NA,"65.89",NA,"61.49",NA,"61.79",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Arrieta",NA,NA,NA,"56.41",NA,"64.61",NA,NA,"65.35",NA,NA,"65.79",NA,"70.78",NA,"70.37",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Arrigorriaga",NA,NA,NA,"67.4",NA,"69.69",NA,NA,"67.9",NA,NA,"69.37",NA,"69.43",NA,"68.83",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Artea",NA,NA,NA,"68.04",NA,"71.79",NA,NA,"68.46",NA,NA,"69.88",NA,"71.71",NA,"67.49",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Artzentales",NA,NA,NA,"49.41",NA,"54.41",NA,NA,"52.03",NA,NA,"58.61",NA,"58.18",NA,"57.42",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Artziniega",NA,NA,NA,"63.63",NA,"66.02",NA,NA,"63.16",NA,NA,"65.47",NA,"62.44",NA,"62.66",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Asparrena",NA,NA,NA,"67.8",NA,"68.32",NA,NA,"64.24",NA,NA,"65.51",NA,"65.7",NA,"65.85",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Asteasu",NA,NA,NA,"66.17",NA,"62.38",NA,NA,"67.73",NA,NA,"63.55",NA,"65.32",NA,"65.82",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Astigarraga",NA,NA,NA,"69.7",NA,"68.7",NA,NA,"70.86",NA,NA,"68.7",NA,"71.92",NA,"72.65",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Ataun",NA,NA,NA,"62.82",NA,"59.09",NA,NA,"64.29",NA,NA,"64.61",NA,"63.4",NA,"62.51",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Atxondo",NA,NA,NA,"63.11",NA,"64.77",NA,NA,"64.11",NA,NA,"61.98",NA,"64.58",NA,"60.46",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Aulesti",NA,NA,NA,"56.27",NA,"57.61",NA,NA,"56.9",NA,NA,"60.66",NA,"61.85",NA,"59.09",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Ayala/Aiara",NA,NA,NA,"55.62",NA,"62.35",NA,NA,"60.41",NA,NA,"61.9",NA,"60.07",NA,"62.82",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Azkoitia",NA,NA,NA,"58.08",NA,"58.78",NA,NA,"59.7",NA,NA,"59.35",NA,"60.44",NA,"60.6",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Azpeitia",NA,NA,NA,"61.56",NA,"61.41",NA,NA,"62.66",NA,NA,"60.01",NA,"60.24",NA,"61.17",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Añana",NA,NA,NA,"47.46",NA,"44.37",NA,NA,"44.03",NA,NA,"48.79",NA,"47.9",NA,"47.46",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Bakio",NA,NA,NA,"61.99",NA,"59.91",NA,NA,"61.78",NA,NA,"68.73",NA,"67.66",NA,"68.02",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Baliarrain",NA,NA,NA,"57.84",NA,"55.64",NA,NA,"54.23",NA,NA,"67.65",NA,"69.95",NA,"69.21",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Balmaseda",NA,NA,NA,"55.67",NA,"58.67",NA,NA,"56.72",NA,NA,"61.48",NA,"62.68",NA,"61.22",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Barakaldo",NA,NA,NA,"62.16",NA,"62.65",NA,NA,"61.79",NA,NA,"64.29",NA,"64.76",NA,"64.11",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Barrika",NA,NA,NA,"65.36",NA,"65.44",NA,NA,"61",NA,NA,"68.18",NA,"68.89",NA,"66.65",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Barrundia",NA,NA,NA,"61.98",NA,"66.27",NA,NA,"60.41",NA,NA,"65.84",NA,"64.53",NA,"60.48",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Basauri",NA,NA,NA,"63.85",NA,"62.66",NA,NA,"60.4",NA,NA,"61.43",NA,"61.6",NA,"60.56",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Baños de Ebro/Mañueta",NA,NA,NA,"16.53",NA,"21.66",NA,NA,"25.27",NA,NA,"32.7",NA,"42.79",NA,"28.9",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Beasain",NA,NA,NA,"63.53",NA,"62.19",NA,NA,"61.16",NA,NA,"59.14",NA,"60.53",NA,"60.94",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Bedia",NA,NA,NA,"58.24",NA,"60.6",NA,NA,"61.76",NA,NA,"65.08",NA,"65.1",NA,"68.13",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Beizama",NA,NA,NA,"65.09",NA,"70.79",NA,NA,"67.33",NA,NA,"72.1",NA,"64.51",NA,"59.6",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Belauntza",NA,NA,NA,"58.92",NA,"65.07",NA,NA,"74.02",NA,NA,"62.98",NA,"60.72",NA,"64.01",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
"Berango",NA,NA,NA,"70.06",NA,"69.92",NA,NA,"67.77",NA,NA,"74",NA,"72.54",NA,"70.98",NA,NA,NA,"Renta personal derivada del trabajo (% renta personal total). Mujeres"
