"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,"4.12","4.21","4.19","4.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Abaltzisketa",NA,NA,NA,NA,NA,"7.14","7.04","3.39","3.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,"7.94","8.21","7.7","7.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Aduna",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Aia",NA,NA,NA,NA,NA,"9.37","8","7.33","6.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Aizarnazabal",NA,NA,NA,NA,NA,"3.45","4.77","4.89","6.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Ajangiz",NA,NA,NA,NA,NA,"0","0","0","15.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Albiztur",NA,NA,NA,NA,NA,"3.38","3.36","3.41","3.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Alegia",NA,NA,NA,NA,NA,"5.42","6.68","6.58","7.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,"4.17","3.91","2.74","1.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Alkiza",NA,NA,NA,NA,NA,"6.9","6.64","6.25","6.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Alonsotegi",NA,NA,NA,NA,NA,"7.24","7.29","5.75","5.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Altzaga",NA,NA,NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Altzo",NA,NA,NA,NA,NA,"5.73","5.57","5.57","5.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Amezketa",NA,NA,NA,NA,NA,"7.14","6.19","5.13","6.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Amorebieta-Etxano",NA,NA,NA,NA,NA,"5.24","5.24","4.85","4.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Amoroto",NA,NA,NA,NA,NA,"8.11","7.75","10.1","9.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Amurrio",NA,NA,NA,NA,NA,"3.78","2.81","2.7","2.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Andoain",NA,NA,NA,NA,NA,"4.85","4.36","4.05","3.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Anoeta",NA,NA,NA,NA,NA,"2.25","2.24","2.25","2.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Antzuola",NA,NA,NA,NA,NA,"6.17","5.39","4.82","5.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Arakaldo",NA,NA,NA,NA,NA,"0","0","0","10.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Arama",NA,NA,NA,NA,NA,"6.13","12.2","11.56","10.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
"Aramaio",NA,NA,NA,NA,NA,"2.02","0.67","1.34","0.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Población perceptora de pensiones no contributivas (‰ habitantes)"
