"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,"6.13","6.78","6.86","6.71","6.56","6.56","7.3","6.84","6.12","5.99","5.48","5.19","5.71",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Abaltzisketa",NA,NA,NA,NA,NA,"0","0","0","3.33","3.22","3.22","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,"3.89","4.04","3.87","4.47","4.37","4.89","4.56","4.22","4.22","4.02","3.81","3.1","3.23",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Aduna",NA,NA,NA,NA,NA,"0","0","0","0","5.36","5.36","4.99","2.27","2.21","2.21","2.16","2.12","2.13",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Aia",NA,NA,NA,NA,NA,"3.57","2.89","2.27","2.22","2.17","2.71","3.06","3.99","3.48","3.48","2.94","2.93","2.93",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Aizarnazabal",NA,NA,NA,NA,NA,"0","0","0","1.6","1.55","1.55","4.48","4.16","4","4","2.59","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Ajangiz",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Albiztur",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Alegia",NA,NA,NA,NA,NA,"4.89","4.84","4.82","5.96","4.12","4.12","4.04","3.4","2.82","2.25","2.29","2.87","2.88",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,"1.65","2.02","2.36","2.23","2.1","2.51","2.29","2.17","2.47","1.76","1.73","1.03","1.05",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Alkiza",NA,NA,NA,NA,NA,"0","0","0","0","0","0","2.8","2.82","2.75","2.75","2.65","2.72","5.56",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Alonsotegi",NA,NA,NA,NA,NA,"1.51","1.86","2.89","3.22","2.84","2.84","2.82","2.48","2.47","2.12","2.47","2.11","2.45",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Altzaga",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Altzo",NA,NA,NA,NA,NA,"0","2.82","0","2.71","2.56","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Amezketa",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Amorebieta-Etxano",NA,NA,NA,NA,NA,"7.15","7.42","7.08","6.72","7.94","8.85","9.02","8.86","8.68","8.78","8.49","7.99","7.45",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Amoroto",NA,NA,NA,NA,NA,"2.67","2.64","2.55","2.48","2.46","2.46","2.45","2.42","2.44","2.44","2.44","2.42","2.39",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Amurrio",NA,NA,NA,NA,NA,"7.45","8.58","8.11","8.3","8.04","7.64","7.43","7.18","7.25","7.15","6.48","6.73","7.02",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Andoain",NA,NA,NA,NA,NA,"6.14","6.4","6.05","7","7.33","7.12","6.47","6.41","5.59","5.66","5.26","4.98","5.12",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Anoeta",NA,NA,NA,NA,NA,"5.06","5.06","5.05","5.61","6.11","5.56","5.94","5.43","6.01","5.46","4.78","4.15","5.06",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Antzuola",NA,NA,NA,NA,NA,"3.63","4.51","3.4","3.81","3.28","3.28","2.77","3.22","3.21","4.12","3.65","3.65","3.2",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Arakaldo",NA,NA,NA,NA,NA,"21.05","21.51","21.74","20.83","21.05","21.05","21.05","16.67","15.75","15.75","14.6","13.25","12.74",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Arama",NA,NA,NA,NA,NA,"6.06","12.2","11.83","11.17","10.75","10.75","15.08","14.29","14.93","19.9","18.43","18.69","19.23",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
