"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,NA,NA,"5.3","8.75","8.75","8.75","8.75",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Abaltzisketa",NA,NA,NA,NA,NA,NA,NA,"3.46","3.45","51.72","103.45","103.45",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,NA,NA,"7.95","8.6","8.6","8.6","8.6",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Aduna",NA,NA,NA,NA,NA,NA,NA,"4.7","3.79","5.17","4.72","5.03",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Aia",NA,NA,NA,NA,NA,NA,NA,"3.53","3.53","3.53","4.88","4.49",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Aizarnazabal",NA,NA,NA,NA,NA,NA,NA,"2.44","2.44","4.88","4.88","4.88",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Ajangiz",NA,NA,NA,NA,NA,NA,NA,"0.64","0.62","1.24","1.24","9.32",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Albiztur",NA,NA,NA,NA,NA,NA,NA,"1.78","1.79","1.79","1.79","1.79",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Alegia",NA,NA,NA,NA,NA,NA,NA,"17.53","17.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,NA,NA,"13.06","12.42","12.42","9.94","9.94",NA,NA,NA,NA,NA,NA,NA,"Superficie ocupada por parques, jardines y zonas verdes urbanas (%/suelo urbano)"
