"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,NA,NA,"182.05","182.63","188.27","186.64","185.36",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Abaltzisketa",NA,NA,NA,NA,NA,NA,NA,"149.15","164.47","305.99","278.48","269.94",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,NA,NA,"325.15","161.31","161.32","165.85","250.51",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Aduna",NA,NA,NA,NA,NA,NA,NA,"1823.37","378.38","372.34","349.13","326.34",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Aia",NA,NA,NA,NA,NA,NA,NA,"101.15","99.78","117.47","114.6",NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Aizarnazabal",NA,NA,NA,NA,NA,NA,NA,"285.02","274.29","349.16","340.81","338.98",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Ajangiz",NA,NA,NA,NA,NA,NA,NA,"34.01","33.94","65.17","65.17","64.44",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Albiztur",NA,NA,NA,NA,NA,NA,NA,"170.65","165.56","216.56","217.95","215.87",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Alegia",NA,NA,NA,NA,NA,NA,NA,"377.62","374.04","364.11","360.57",NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,NA,NA,"59.39","56.4","125.66","118.32","128.96",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Alkiza",NA,NA,NA,NA,NA,NA,NA,"128.13","186.34","201.73","196.08","201.13",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Alonsotegi",NA,NA,NA,NA,NA,NA,NA,"175.94","178.32","176.62","183.42","318.25",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Altzaga",NA,NA,NA,NA,NA,NA,NA,"222.22","217.95","216.56","211.18","213.84",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Altzo",NA,NA,NA,NA,NA,NA,NA,"245.13","232.19","220","218.91","221.11",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Amezketa",NA,NA,NA,NA,NA,NA,NA,"20.53","20.96","25.43","25.25","25.15",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Amorebieta-Etxano",NA,NA,NA,NA,NA,NA,NA,"152.86","154.32","162.87","170.07",NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Amoroto",NA,NA,NA,NA,NA,NA,NA,"191.92","185.82","188.12","186.27","183.57",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Amurrio",NA,NA,NA,NA,NA,NA,NA,"200.17","202.25","212.03","216.28","206.57",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Andoain",NA,NA,NA,NA,NA,NA,NA,"120.72","136.83","136","133.66","133.82",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Anoeta",NA,NA,NA,NA,NA,NA,NA,"157.57","161.72","159.58","156.13","156.22",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Antzuola",NA,NA,NA,NA,NA,NA,NA,"264.83","266.86","263.87","261.07","261.92",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Arakaldo",NA,NA,NA,NA,NA,NA,NA,"1063.83","1030.93","1075.27","1315.79","892.86",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Arama",NA,NA,NA,NA,NA,NA,NA,"450.87","516.3","505.32","477.39","435.78",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Aramaio",NA,NA,NA,NA,NA,NA,NA,"30.2","30.14","33.58","43.36","66.8",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Arantzazu",NA,NA,NA,NA,NA,NA,NA,"163.27","157.38","325.73","327.87","461.54",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Areatza",NA,NA,NA,NA,NA,NA,NA,"288.25","309.26","300.9","295.31","302.98",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Aretxabaleta",NA,NA,NA,NA,NA,NA,NA,"162.16","159.93","157.69","161.31","161.04",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Armiñón",NA,NA,NA,NA,NA,NA,NA,"223.46","201.01","202.02","207.73","195.56",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Arraia-Maeztu",NA,NA,NA,NA,NA,NA,NA,"456.04","462.4","495.05","492.96","494.35",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Arrankudiaga",NA,NA,NA,NA,NA,NA,NA,"503.64","512.97","478.55","510.87",NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Arrasate/Mondragón",NA,NA,NA,NA,NA,NA,NA,"157.72","164.45","168.93","168.24","181.73",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Arratzu",NA,NA,NA,NA,NA,NA,NA,"45.58","45.33","89.39","141.33","142.48",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Arratzua-Ubarrundia",NA,NA,NA,NA,NA,NA,NA,"771.46","769.32","750.55","735.07","741.51",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Arrieta",NA,NA,NA,NA,NA,NA,NA,"51.76","50.72","63.52","63.52","62.72",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Arrigorriaga",NA,NA,NA,NA,NA,NA,NA,"169.44","2.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Artea",NA,NA,NA,NA,NA,NA,NA,"297.78","343.61","459.42","447.4","442.11",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Artzentales",NA,NA,NA,NA,NA,NA,NA,"71.22","97.67","107.04","106.74","104.25",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Artziniega",NA,NA,NA,NA,NA,NA,NA,"285.1","299.06","306.12","297.03","297.03",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Asparrena",NA,NA,NA,NA,NA,NA,NA,"313.33","337.14","321","301.09","353.57",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Asteasu",NA,NA,NA,NA,NA,NA,NA,"279.49","273.35","267.47","292.29","293.28",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Astigarraga",NA,NA,NA,NA,NA,NA,NA,"333.57","338.58","327.29","330.27","328.1",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
