"","Content","Frequency"
"1","the",333505
"2","to",191753
"3","and",168449
"4","a",166493
"5","of",140199
"6","i",115619
"7","in",114928
"8","for",76737
"9","is",74771
"10","that",72502
"11","you",65851
"12","it",63971
"13","on",57636
"14","with",50055
"15","was",43700
"16","my",42637
"17","at",39821
"18","be",38496
"19","this",38318
"20","have",37203
"21","but",34067
"22","are",33974
"23","as",33485
"24","he",30116
"25","we",29567
"26","not",28768
"27","so",26867
"28","from",26737
"29","me",26016
"30","all",23052
"31","they",22609
"32","will",22295
"33","by",22037
"34","or",21914
"35","said",21465
"36","just",21228
"37","your",21096
"38","his",21018
"39","out",21014
"40","about",20691
"41","up",20637
"42","an",20615
"43","one",20290
"44","if",19545
"45","what",19486
"46","like",18814
"47","when",18546
"48","has",18261
"49","who",17433
"50","can",17104
"51","more",17088
"52","do",16480
"53","had",16347
"54","get",15874
"55","time",15036
"56","there",14822
"57","would",14339
"58","her",14338
"59","their",14182
"60","some",14080
"61","no",13893
"62","new",13714
"63","she",13709
"64","been",13232
"65","our",13083
"66","i'm",12675
"67","it's",12633
"68","now",12577
"69","good",12548
"70","were",12411
"71","how",12199
"72","day",11639
"73","know",11326
"74","people",11320
"75","love",11218
"76","them",11171
"77","which",10068
"78","go",9900
"79","than",9847
"80","see",9785
"81","back",9736
"82","first",9290
"83","make",9274
"84","into",9262
"85","after",9258
"86","also",9100
"87","its",9002
"88","only",8943
"89","other",8927
"90","last",8901
"91","don't",8897
"92","think",8886
"93","great",8721
"94","going",8718
"95","over",8646
"96","then",8560
"97","because",8408
"98","much",8403
"99","us",8369
"100","him",8347
"101","year",8053
"102","too",8047
"103","two",8012
"104","really",7988
"105","way",7928
"106","could",7847
"107","today",7765
"108","got",7707
"109","well",7630
"110","even",7530
"111","want",7472
"112","work",7330
"113","did",7326
"114","still",7245
"115","right",7213
"116","thanks",6971
"117","here",6920
"118","need",6857
"119","where",6773
"120","off",6766
"121","am",6754
"122","years",6601
"123","any",6588
"124","very",6569
"125","most",6547
"126","before",6351
"127","rt",6231
"128","those",6203
"129","down",6165
"130","say",6158
"131","many",6114
"132","life",6036
"133","take",6017
"134","come",5926
"135","should",5897
"136","made",5835
"137","being",5831
"138","these",5831
"139","little",5791
"140","never",5784
"141","home",5725
"142","may",5591
"143","best",5531
